ID	X	Y	ALT	BETA
1	22500	199500	0.0	0.0665
2	22500	198500	0.0	0.2247
3	22500	197500	3.1	0.2819
4	23500	200500	0.0	0.0808
5	23500	199500	0.0	0.1502
6	23500	198500	0.0	0.288
7	23500	197500	2.8	0.2995
8	23500	196500	7.2	0.4234
9	23500	195500	0.8	0.5032
10	23500	194500	2.9	0.5215
11	23500	193500	0.2	0.5883
12	23500	192500	-0.7	0.5984
13	23500	190500	-0.5	0.5916
14	24500	200500	0.0	0.1449
15	24500	199500	0.0	0.2542
16	24500	198500	0.5	0.3651
17	24500	197500	4.3	0.3681
18	24500	196500	4.8	0.4846
19	24500	195500	0.1	0.5246
20	24500	194500	3.0	0.5435
21	24500	193500	0.1	0.592
22	24500	192500	-0.8	0.5903
23	24500	191500	-0.7	0.5812
24	24500	190500	-0.8	0.5799
25	24500	189500	-0.7	0.5816
26	24500	188500	0.0	0.5906
27	24500	180500	12.8	0.5943
28	25500	201500	0.0	0.2021
29	25500	200500	0.0	0.2456
30	25500	199500	0.0	0.3656
31	25500	198500	4.4	0.4348
32	25500	197500	6.7	0.4415
33	25500	196500	3.0	0.5339
34	25500	195500	0.5	0.5498
35	25500	194500	3.1	0.5692
36	25500	193500	-0.4	0.5911
37	25500	192500	-0.5	0.5837
38	25500	191500	-1.0	0.5721
39	25500	190500	-0.8	0.5689
40	25500	189500	-0.7	0.571
41	25500	188500	0.9	0.5842
42	25500	181500	16.0	0.5928
43	25500	180500	13.3	0.589
44	25500	179500	12.6	0.5841
45	25500	178500	11.9	0.5829
46	25500	177500	6.4	0.5862
47	25500	176500	5.7	0.5854
48	25500	175500	11.8	0.5865
49	25500	173500	15.5	0.5884
50	25500	172500	22.4	0.5918
51	26500	201500	0.0	0.2828
52	26500	200500	0.0	0.3566
53	26500	199500	0.8	0.4541
54	26500	198500	8.5	0.5007
55	26500	197500	10.0	0.5115
56	26500	196500	2.5	0.5716
57	26500	195500	1.8	0.5673
58	26500	194500	0.2	0.5817
59	26500	193500	-0.7	0.5845
60	26500	192500	-0.4	0.5748
61	26500	191500	-0.8	0.5641
