ID	LAMBX	LAMBY	ALT	beta_pm10
1	136844	64194	216.3	0.5361
2	133831	64396	207.4	0.5245
3	130818	64595	195.8	0.4378
4	127803	64794	181.6	0.3951
5	124790	64996	166.2	0.585
6	137051	67249	244.9	0.2207
7	134035	67449	210.8	0.4916
8	131023	67648	202.2	0.5261
9	128009	67851	180.6	0.6405
10	124995	68049	174.5	0.6055
11	137260	70302	271.0	0.0158
12	134243	70503	258.3	0.0421
13	131232	70704	236.9	0.023
14	128218	70902	205.2	0.4124
15	125201	71104	196.0	0.5571
16	151915	63187	290.5	0.5576
17	148901	63389	276.5	0.4344
18	145888	63590	242.6	0.5367
19	142875	63793	231.3	0.5001
20	139860	63993	227.0	0.4954
21	152121	66242	343.3	0.4008
22	149109	66443	327.1	0.2235
23	146097	66645	304.6	0.2574
24	143082	66847	273.6	0.4303
25	140066	67046	259.5	0.5027
26	152332	69296	338.6	0.3228
27	149317	69498	334.5	0.1585
28	146304	69699	326.1	0.1266
29	143289	69899	303.7	0.3177
30	140276	70102	293.4	0.1953
31	166985	62175	292.7	0.0061
32	163972	62378	321.8	0.0032
33	160957	62581	368.6	0.1787
34	157942	62783	344.5	0.1419
35	154928	62987	319.5	0.3676
36	167192	65229	338.5	0.1463
37	164180	65432	321.8	0.116
38	161165	65635	368.2	0.5627
39	158149	65837	367.8	0.2957
40	155134	66039	353.2	0.264
41	167400	68284	267.6	0.1036
42	164389	68485	315.6	0.0811
43	161375	68689	370.3	0.5983
44	158358	68891	355.3	0.541
45	155346	69094	340.5	0.5846
46	167603	71337	335.5	0.0257
47	164591	71541	362.7	0.0319
48	161578	71742	334.4	0.4823
49	158561	71946	359.7	0.4669
50	155549	72147	354.4	0.433
51	182055	61157	290.0	0.0938
52	179040	61361	235.7	0.2048
53	176027	61565	234.3	0.0927
54	173013	61769	295.2	0.0938
55	169998	61972	293.8	0.1585
56	182265	64211	236.5	0.0649
57	179252	64415	323.7	0.0126
58	176237	64619	254.8	0.1684
59	173223	64822	289.5	0.0294
60	170206	65027	380.8	0.0768
61	182474	67265	353.2	0.0665
62	179462	67469	426.8	0.0951
63	176447	67673	363.9	0
64	173434	67876	282.4	0.048
65	170417	68080	255.7	0.2611
66	182678	70319	460.2	0.0029
