ID	XLAMB	YLAMB	ALT	BETA
1	24000	174000	16.5	0.4206
2	24000	178000	8.1	0.4227
3	24000	182000	14.0	0.4258
4	24000	190000	0.0	0.4188
5	24000	194000	-0.3	0.3983
6	24000	198000	3.9	0.2606
7	24000	202000	0.6	0.0565
8	28000	170000	29.4	0.4015
9	28000	174000	18.2	0.3928
10	28000	178000	8.7	0.4035
11	28000	182000	6.6	0.3955
12	28000	186000	10.5	0.4069
13	28000	190000	4.9	0.3868
14	28000	194000	0.1	0.404
15	28000	198000	1.6	0.442
16	28000	202000	5.0	0.3019
17	32000	166000	69.5	0.4126
18	32000	170000	31.6	0.3967
19	32000	174000	29.1	0.4283
20	32000	178000	14.6	0.3596
21	32000	182000	2.5	0.3587
22	32000	186000	7.7	0.387
23	32000	190000	5.0	0.3866
24	32000	194000	0.5	0.3853
25	32000	198000	1.1	0.5421
26	32000	202000	3.7	0.4433
27	32000	206000	1.2	0.0468
28	36000	162000	48.8	0.4333
29	36000	166000	69.7	0.3715
30	36000	170000	32.1	0.4238
31	36000	174000	18.7	0.4699
32	36000	178000	11.2	0.3736
33	36000	182000	3.1	0.3382
34	36000	186000	1.3	0.3624
35	36000	190000	0.8	0.3656
36	36000	194000	0.4	0.3684
37	36000	198000	0.2	0.397
38	36000	202000	0.9	0.4765
39	36000	206000	2.7	0.4082
40	40000	158000	20.1	0.3953
41	40000	162000	48.7	0.3555
42	40000	166000	55.9	0.3864
43	40000	170000	24.1	0.3917
44	40000	174000	17.1	0.434
45	40000	178000	11.0	0.4011
46	40000	182000	3.2	0.3555
47	40000	186000	0.2	0.2982
48	40000	190000	0.0	0.3309
49	40000	194000	0.0	0.3431
50	40000	198000	0.1	0.3893
51	40000	202000	0.2	0.3959
52	40000	206000	0.6	0.3835
53	40000	210000	1.1	0.1463
54	44000	154000	16.4	0.6245
55	44000	158000	17.9	0.3929
56	44000	162000	37.4	0.3738
57	44000	166000	45.0	0.3768
58	44000	170000	23.3	0.4416
59	44000	174000	15.6	0.5689
60	44000	178000	10.5	0.4264
61	44000	182000	3.8	0.364
62	44000	186000	2.4	0.309
63	44000	190000	2.6	0.4202
64	44000	194000	0.9	0.4239
65	44000	198000	0.3	0.3451
66	44000	202000	0.0	0.3775
67	44000	206000	0.2	0.4114
68	44000	210000	1.1	0.3859
69	44000	214000	0.2	0.0306
70	48000	154000	16.7	0.4769
71	48000	158000	16.0	0.4311
72	48000	162000	27.7	0.4082
73	48000	166000	40.5	0.3552
74	48000	170000	37.0	0.3649
75	48000	174000	22.4	0.4555
76	48000	178000	13.4	0.4013
77	48000	182000	12.4	0.3758
78	48000	186000	12.7	0.4206
79	48000	190000	15.3	0.4006
80	48000	194000	4.0	0.3465
81	48000	198000	5.7	0.3566
82	48000	202000	0.3	0.3632
83	48000	206000	0.2	0.3638
84	48000	210000	1.1	0.5258
85	48000	214000	3.3	0.6434
86	52000	162000	16.3	0.4906
87	52000	166000	19.8	0.3892
88	52000	170000	42.7	0.3206
89	52000	174000	35.8	0.4008
90	52000	178000	23.0	0.38
91	52000	182000	19.6	0.3985
92	52000	186000	23.1	0.4554
93	52000	190000	6.2	0.3979
94	52000	194000	9.8	0.4264
95	52000	198000	12.8	0.3955
96	52000	202000	2.8	0.3796
97	52000	206000	1.4	0.4308
98	52000	210000	0.7	0.4487
99	52000	214000	2.1	0.7701
100	52000	218000	0.8	0.1142
101	56000	162000	19.6	0.5488
102	56000	166000	19.3	0.4562
103	56000	170000	28.7	0.3613
104	56000	174000	33.4	0.3861
105	56000	178000	36.0	0.4066
106	56000	182000	28.3	0.3926
107	56000	186000	19.6	0.4421
108	56000	190000	13.7	0.5038
109	56000	194000	14.1	0.3895
110	56000	198000	29.2	0.3643
111	56000	202000	8.4	0.4201
112	56000	206000	3.7	0.3573
113	56000	210000	1.2	0.4255
114	56000	214000	0.1	0.378
115	56000	218000	2.3	0.3878
116	56000	222000	0.1	0
117	60000	162000	25.6	0.4805
118	60000	166000	15.8	0.5729
119	60000	170000	23.3	0.4062
120	60000	174000	23.2	0.4126
121	60000	178000	29.0	0.4276
122	60000	182000	21.7	0.504
123	60000	186000	27.5	0.4483
124	60000	190000	17.9	0.4397
125	60000	194000	13.9	0.439
126	60000	198000	30.7	0.4566
127	60000	202000	18.8	0.3579
128	60000	206000	10.0	0.3697
129	60000	210000	2.2	0.4761
130	60000	214000	0.1	0.3459
131	60000	218000	0.4	0.3985
132	60000	222000	1.0	0.1861
133	64000	162000	31.4	0.5927
134	64000	166000	16.3	0.5624
135	64000	170000	17.2	0.443
136	64000	174000	20.1	0.4042
137	64000	178000	22.1	0.444
138	64000	182000	19.4	0.7206
139	64000	186000	22.3	0.5547
140	64000	190000	29.3	0.4545
141	64000	194000	17.6	0.3452
142	64000	198000	21.8	0.374
143	64000	202000	13.0	0.482
144	64000	206000	13.4	0.3178
145	64000	210000	9.6	0.4391
146	64000	214000	0.1	0.3395
147	64000	218000	0.2	0.3498
148	64000	222000	1.4	0.4499
149	64000	226000	0.2	0.0118
150	68000	158000	33.5	0.6818
151	68000	162000	40.2	0.5805
152	68000	166000	22.9	0.5911
153	68000	170000	16.4	0.6558
154	68000	174000	25.6	0.4309
155	68000	178000	19.6	0.5637
156	68000	182000	18.0	0.5119
157	68000	186000	23.1	0.461
158	68000	190000	35.3	0.4072
159	68000	194000	25.4	0.3675
160	68000	198000	15.2	0.3573
161	68000	202000	13.4	0.3457
162	68000	206000	6.5	0.4605
163	68000	210000	8.9	0.688
164	68000	214000	2.0	0.5973
165	68000	218000	1.6	0.4313
166	68000	222000	1.5	0.5064
