ID	X	Y	ALT	BETA
1	22500.000000	199500.000000	0.0	0.069164
2	22500.000000	198500.000000	0.0	0.143465
3	22500.000000	197500.000000	3.1	0.172884
4	23500.000000	200500.000000	0.0	0.080799
5	23500.000000	199500.000000	0.0	0.138396
6	23500.000000	198500.000000	0.0	0.199711
7	23500.000000	197500.000000	2.8	0.183009
8	23500.000000	196500.000000	7.2	0.224021
9	23500.000000	195500.000000	0.8	0.213525
10	23500.000000	194500.000000	2.9	0.192908
11	23500.000000	193500.000000	0.2	0.190409
12	23500.000000	192500.000000	-0.7	0.198454
13	23500.000000	190500.000000	-0.5	0.214398
14	24500.000000	200500.000000	0.0	0.143852
15	24500.000000	199500.000000	0.0	0.231356
16	24500.000000	198500.000000	0.5	0.288405
17	24500.000000	197500.000000	4.3	0.242631
18	24500.000000	196500.000000	4.8	0.265595
19	24500.000000	195500.000000	0.1	0.228945
20	24500.000000	194500.000000	3.0	0.192937
21	24500.000000	193500.000000	0.1	0.195174
22	24500.000000	192500.000000	-0.8	0.210822
23	24500.000000	191500.000000	-0.7	0.236118
24	24500.000000	190500.000000	-0.8	0.239174
25	24500.000000	189500.000000	-0.7	0.235419
26	24500.000000	188500.000000	0.0	0.252544
27	24500.000000	180500.000000	12.8	0.193685
28	25500.000000	201500.000000	0.0	0.202476
29	25500.000000	200500.000000	0.0	0.238440
30	25500.000000	199500.000000	0.0	0.313688
31	25500.000000	198500.000000	4.4	0.335372
32	25500.000000	197500.000000	6.7	0.278776
33	25500.000000	196500.000000	3.0	0.282675
34	25500.000000	195500.000000	0.5	0.244295
35	25500.000000	194500.000000	3.1	0.206973
36	25500.000000	193500.000000	-0.4	0.201586
37	25500.000000	192500.000000	-0.5	0.221843
38	25500.000000	191500.000000	-1.0	0.260356
39	25500.000000	190500.000000	-0.8	0.267678
40	25500.000000	189500.000000	-0.7	0.265215
41	25500.000000	188500.000000	0.9	0.280903
42	25500.000000	181500.000000	16.0	0.211342
43	25500.000000	180500.000000	13.3	0.220419
44	25500.000000	179500.000000	12.6	0.232132
45	25500.000000	178500.000000	11.9	0.228040
46	25500.000000	177500.000000	6.4	0.218343
47	25500.000000	176500.000000	5.7	0.230645
48	25500.000000	175500.000000	11.8	0.235443
