ID	XLAMB	YLAMB	ALT	BETA
1	24000	174000	16.5	0.1896
2	24000	178000	8.1	0.2007
3	24000	182000	14.0	0.1835
4	24000	190000	0.0	0.2223
5	24000	194000	-0.3	0.1903
6	24000	198000	3.9	0.2356
7	24000	202000	0.6	0.0565
8	28000	170000	29.4	0.2165
9	28000	174000	18.2	0.309
10	28000	178000	8.7	0.3193
11	28000	182000	6.6	0.2849
12	28000	186000	10.5	0.2543
13	28000	190000	4.9	0.3159
14	28000	194000	0.1	0.2643
15	28000	198000	1.6	0.5497
16	28000	202000	5.0	0.3249
17	32000	166000	69.5	0.2486
18	32000	170000	31.6	0.2689
19	32000	174000	29.1	0.331
20	32000	178000	14.6	0.3151
21	32000	182000	2.5	0.3314
22	32000	186000	7.7	0.2814
23	32000	190000	5.0	0.324
24	32000	194000	0.5	0.3541
25	32000	198000	1.1	0.6016
26	32000	202000	3.7	0.4337
27	32000	206000	1.2	0.0468
28	36000	162000	48.8	0.274
29	36000	166000	69.7	0.3668
30	36000	170000	32.1	0.3148
31	36000	174000	18.7	0.4374
32	36000	178000	11.2	0.3183
33	36000	182000	3.1	0.4383
34	36000	186000	1.3	0.3774
35	36000	190000	0.8	0.36
36	36000	194000	0.4	0.3248
37	36000	198000	0.2	0.2803
38	36000	202000	0.9	0.492
39	36000	206000	2.7	0.4085
40	40000	158000	20.1	0.3058
41	40000	162000	48.7	0.3908
42	40000	166000	55.9	0.3511
43	40000	170000	24.1	0.3224
44	40000	174000	17.1	0.3675
45	40000	178000	11.0	0.3525
46	40000	182000	3.2	0.3878
47	40000	186000	0.2	0.4512
48	40000	190000	0.0	0.4052
49	40000	194000	0.0	0.3801
50	40000	198000	0.1	0.3232
51	40000	202000	0.2	0.3086
52	40000	206000	0.6	0.4018
53	40000	210000	1.1	0.1415
54	44000	154000	16.4	0.6162
55	44000	158000	17.9	0.341
56	44000	162000	37.4	0.3251
57	44000	166000	45.0	0.3628
58	44000	170000	23.3	0.4558
59	44000	174000	15.6	0.5998
60	44000	178000	10.5	0.3918
61	44000	182000	3.8	0.3884
62	44000	186000	2.4	0.386
63	44000	190000	2.6	0.5026
64	44000	194000	0.9	0.4934
65	44000	198000	0.3	0.3913
66	44000	202000	0.0	0.3298
67	44000	206000	0.2	0.4156
68	44000	210000	1.1	0.5785
69	44000	214000	0.2	0.0306
70	48000	154000	16.7	0.3386
71	48000	158000	16.0	0.4068
72	48000	162000	27.7	0.3434
73	48000	166000	40.5	0.396
74	48000	170000	37.0	0.406
75	48000	174000	22.4	0.3722
76	48000	178000	13.4	0.4308
77	48000	182000	12.4	0.374
78	48000	186000	12.7	0.44
79	48000	190000	15.3	0.3491
80	48000	194000	4.0	0.4331
81	48000	198000	5.7	0.3784
82	48000	202000	0.3	0.3833
83	48000	206000	0.2	0.3701
84	48000	210000	1.1	0.5852
85	48000	214000	3.3	0.6927
86	52000	162000	16.3	0.4545
87	52000	166000	19.8	0.4323
88	52000	170000	42.7	0.4255
89	52000	174000	35.8	0.4555
90	52000	178000	23.0	0.3496
91	52000	182000	19.6	0.3786
92	52000	186000	23.1	0.4288
93	52000	190000	6.2	0.4077
94	52000	194000	9.8	0.3147
95	52000	198000	12.8	0.4417
96	52000	202000	2.8	0.4102
97	52000	206000	1.4	0.4977
98	52000	210000	0.7	0.4909
99	52000	214000	2.1	0.8534
100	52000	218000	0.8	0.1171
101	56000	162000	19.6	0.5062
102	56000	166000	19.3	0.472
103	56000	170000	28.7	0.4411
104	56000	174000	33.4	0.3825
105	56000	178000	36.0	0.4159
