ID	X	Y	ALT	BETA
1	22500.000000	199500.000000	0.0	0.050803
2	22500.000000	198500.000000	0.0	0.120022
3	22500.000000	197500.000000	3.1	0.131624
4	23500.000000	200500.000000	0.0	0.080799
5	23500.000000	199500.000000	0.0	0.117539
6	23500.000000	198500.000000	0.0	0.169049
7	23500.000000	197500.000000	2.8	0.120910
8	23500.000000	196500.000000	7.2	0.161426
9	23500.000000	195500.000000	0.8	0.178162
10	23500.000000	194500.000000	2.9	0.176378
11	23500.000000	193500.000000	0.2	0.211307
12	23500.000000	192500.000000	-0.7	0.222699
13	23500.000000	190500.000000	-0.5	0.214342
14	24500.000000	200500.000000	0.0	0.143362
15	24500.000000	199500.000000	0.0	0.212656
16	24500.000000	198500.000000	0.5	0.250485
17	24500.000000	197500.000000	4.3	0.182648
18	24500.000000	196500.000000	4.8	0.213270
19	24500.000000	195500.000000	0.1	0.191241
20	24500.000000	194500.000000	3.0	0.183629
21	24500.000000	193500.000000	0.1	0.208193
22	24500.000000	192500.000000	-0.8	0.209182
23	24500.000000	191500.000000	-0.7	0.200488
24	24500.000000	190500.000000	-0.8	0.198964
25	24500.000000	189500.000000	-0.7	0.201108
26	24500.000000	188500.000000	0.0	0.233725
27	24500.000000	180500.000000	12.8	0.209788
28	25500.000000	201500.000000	0.0	0.201146
29	25500.000000	200500.000000	0.0	0.222968
30	25500.000000	199500.000000	0.0	0.286154
31	25500.000000	198500.000000	4.4	0.285646
32	25500.000000	197500.000000	6.7	0.200693
33	25500.000000	196500.000000	3.0	0.227352
34	25500.000000	195500.000000	0.5	0.199000
35	25500.000000	194500.000000	3.1	0.193153
36	25500.000000	193500.000000	-0.4	0.206035
37	25500.000000	192500.000000	-0.5	0.198667
38	25500.000000	191500.000000	-1.0	0.191687
39	25500.000000	190500.000000	-0.8	0.187901
40	25500.000000	189500.000000	-0.7	0.191887
41	25500.000000	188500.000000	0.9	0.234219
42	25500.000000	181500.000000	16.0	0.215651
43	25500.000000	180500.000000	13.3	0.211284
44	25500.000000	179500.000000	12.6	0.205560
45	25500.000000	178500.000000	11.9	0.200202
46	25500.000000	177500.000000	6.4	0.203021
47	25500.000000	176500.000000	5.7	0.207937
48	25500.000000	175500.000000	11.8	0.214235
49	25500.000000	173500.000000	15.5	0.220388
50	25500.000000	172500.000000	22.4	0.218796
51	26500.000000	201500.000000	0.0	0.276166
52	26500.000000	200500.000000	0.0	0.305148
53	26500.000000	199500.000000	0.8	0.335728
54	26500.000000	198500.000000	8.5	0.308638
55	26500.000000	197500.000000	10.0	0.222062
56	26500.000000	196500.000000	2.5	0.238756
57	26500.000000	195500.000000	1.8	0.201516
58	26500.000000	194500.000000	0.2	0.196437
59	26500.000000	193500.000000	-0.7	0.198234
60	26500.000000	192500.000000	-0.4	0.188147
61	26500.000000	191500.000000	-0.8	0.182275
62	26500.000000	190500.000000	-0.3	0.179621
63	26500.000000	189500.000000	0.1	0.188776
64	26500.000000	188500.000000	0.2	0.228115
65	26500.000000	187500.000000	0.3	0.242601
66	26500.000000	186500.000000	1.7	0.245169
67	26500.000000	185500.000000	8.9	0.244337
