ID	XLAMB	YLAMB	ALT	BETA
1	24000	174000	16.5	0.22
2	24000	178000	8.1	0.2135
3	24000	182000	14.0	0.2162
4	24000	190000	0.0	0.2101
5	24000	194000	-0.3	0.1954
6	24000	198000	3.9	0.1812
7	24000	202000	0.6	0.0565
8	28000	170000	29.4	0.1914
9	28000	174000	18.2	0.1801
10	28000	178000	8.7	0.1998
11	28000	182000	6.6	0.1805
12	28000	186000	10.5	0.1949
13	28000	190000	4.9	0.171
14	28000	194000	0.1	0.1916
15	28000	198000	1.6	0.3108
16	28000	202000	5.0	0.3014
17	32000	166000	69.5	0.2079
18	32000	170000	31.6	0.1895
19	32000	174000	29.1	0.2543
20	32000	178000	14.6	0.1492
21	32000	182000	2.5	0.1351
22	32000	186000	7.7	0.1655
23	32000	190000	5.0	0.1722
24	32000	194000	0.5	0.1623
25	32000	198000	1.1	0.3896
26	32000	202000	3.7	0.3735
27	32000	206000	1.2	0.0468
28	36000	162000	48.8	0.2323
29	36000	166000	69.7	0.1725
30	36000	170000	32.1	0.2246
31	36000	174000	18.7	0.2996
32	36000	178000	11.2	0.149
33	36000	182000	3.1	0.1112
34	36000	186000	1.3	0.1406
35	36000	190000	0.8	0.1428
36	36000	194000	0.4	0.1413
37	36000	198000	0.2	0.1824
38	36000	202000	0.9	0.3477
39	36000	206000	2.7	0.3648
40	40000	158000	20.1	0.1837
41	40000	162000	48.7	0.138
42	40000	166000	55.9	0.1901
43	40000	170000	24.1	0.1785
44	40000	174000	17.1	0.2621
45	40000	178000	11.0	0.2014
46	40000	182000	3.2	0.1308
47	40000	186000	0.2	0.0542
48	40000	190000	0.0	0.0919
49	40000	194000	0.0	0.108
50	40000	198000	0.1	0.1767
51	40000	202000	0.2	0.1938
52	40000	206000	0.6	0.1922
53	40000	210000	1.1	0.1265
54	44000	154000	16.4	0.5288
55	44000	158000	17.9	0.2096
56	44000	162000	37.4	0.1535
57	44000	166000	45.0	0.1693
58	44000	170000	23.3	0.289
59	44000	174000	15.6	0.41
60	44000	178000	10.5	0.2335
61	44000	182000	3.8	0.1454
62	44000	186000	2.4	0.0886
63	44000	190000	2.6	0.2212
64	44000	194000	0.9	0.2428
65	44000	198000	0.3	0.1224
66	44000	202000	0.0	0.1576
67	44000	206000	0.2	0.243
68	44000	210000	1.1	0.289
69	44000	214000	0.2	0.0306
70	48000	154000	16.7	0.2999
71	48000	158000	16.0	0.2444
72	48000	162000	27.7	0.2093
73	48000	166000	40.5	0.1484
74	48000	170000	37.0	0.1971
75	48000	174000	22.4	0.2854
76	48000	178000	13.4	0.2157
77	48000	182000	12.4	0.1627
78	48000	186000	12.7	0.2352
79	48000	190000	15.3	0.2
80	48000	194000	4.0	0.1244
81	48000	198000	5.7	0.1412
82	48000	202000	0.3	0.1431
83	48000	206000	0.2	0.1417
84	48000	210000	1.1	0.3116
85	48000	214000	3.3	0.698
86	52000	162000	16.3	0.3295
87	52000	166000	19.8	0.1925
88	52000	170000	42.7	0.1357
89	52000	174000	35.8	0.2368
90	52000	178000	23.0	0.1655
91	52000	182000	19.6	0.1821
92	52000	186000	23.1	0.279
93	52000	190000	6.2	0.2058
94	52000	194000	9.8	0.237
95	52000	198000	12.8	0.2264
96	52000	202000	2.8	0.1758
97	52000	206000	1.4	0.2607
98	52000	210000	0.7	0.2468
99	52000	214000	2.1	0.6492
100	52000	218000	0.8	0.112
101	56000	162000	19.6	0.4026
102	56000	166000	19.3	0.2778
103	56000	170000	28.7	0.151
104	56000	174000	33.4	0.1817
105	56000	178000	36.0	0.2217
106	56000	182000	28.3	0.1925
107	56000	186000	19.6	0.2592
108	56000	190000	13.7	0.2998
109	56000	194000	14.1	0.2112
110	56000	198000	29.2	0.202
111	56000	202000	8.4	0.2542
112	56000	206000	3.7	0.1583
113	56000	210000	1.2	0.2073
114	56000	214000	0.1	0.1277
115	56000	218000	2.3	0.3091
116	56000	222000	0.1	0
117	60000	162000	25.6	0.3156
118	60000	166000	15.8	0.4438
119	60000	170000	23.3	0.2159
120	60000	174000	23.2	0.2293
121	60000	178000	29.0	0.2581
122	60000	182000	21.7	0.3538
123	60000	186000	27.5	0.2803
124	60000	190000	17.9	0.2641
125	60000	194000	13.9	0.2804
126	60000	198000	30.7	0.3194
127	60000	202000	18.8	0.1583
128	60000	206000	10.0	0.1781
129	60000	210000	2.2	0.4005
130	60000	214000	0.1	0.1153
131	60000	218000	0.4	0.1958
132	60000	222000	1.0	0.1181
133	64000	162000	31.4	0.4468
134	64000	166000	16.3	0.4768
135	64000	170000	17.2	0.2821
136	64000	174000	20.1	0.2251
137	64000	178000	22.1	0.217
138	64000	182000	19.4	0.6608
139	64000	186000	22.3	0.3857
140	64000	190000	29.3	0.3103
141	64000	194000	17.6	0.139
142	64000	198000	21.8	0.2118
143	64000	202000	13.0	0.3261
144	64000	206000	13.4	0.1844
145	64000	210000	9.6	0.3035
146	64000	214000	0.1	0.1074
147	64000	218000	0.2	0.1214
