ID	LAMBX	LAMBY	ALT	BETA
1	136844	64194	216.3	0.121395
2	133831	64396	207.4	0.128552
3	130818	64595	195.8	0.154354
4	127803	64794	181.6	0.128949
5	124790	64996	166.2	0.0924891
6	137051	67249	244.9	0.0231789
7	134035	67449	210.8	0.221322
8	131023	67648	202.2	0.245641
9	128009	67851	180.6	0.244916
10	124995	68049	174.5	0.111408
11	137260	70302	271.0	0
12	134243	70503	258.3	0.0114715
13	131232	70704	236.9	0.0106669
14	128218	70902	205.2	0.0451138
15	125201	71104	196.0	0.0541315
16	151915	63187	290.5	0.0715732
17	148901	63389	276.5	0.0502121
18	145888	63590	242.6	0.0571805
19	142875	63793	231.3	0.0532099
20	139860	63993	227.0	0.111121
21	152121	66242	343.3	0.0544117
22	149109	66443	327.1	0.0134607
23	146097	66645	304.6	0.0248491
24	143082	66847	273.6	0.0926474
25	140066	67046	259.5	0.0345096
26	152332	69296	338.6	0.00342536
27	149317	69498	334.5	0.000139447
28	146304	69699	326.1	0.000370653
29	143289	69899	303.7	0
30	140276	70102	293.4	1.15592e-05
31	166985	62175	292.7	0.0291062
32	163972	62378	321.8	0.00265593
33	160957	62581	368.6	0.0330054
34	157942	62783	344.5	0.0253717
35	154928	62987	319.5	0.0461517
36	167192	65229	338.5	0.0472622
37	164180	65432	321.8	0.00314965
38	161165	65635	368.2	0.0367883
39	158149	65837	367.8	0.010101
40	155134	66039	353.2	0.073843
41	167400	68284	267.6	0.0817474
42	164389	68485	315.6	0.00475849
43	161375	68689	370.3	0.136749
44	158358	68891	355.3	0.0100157
45	155346	69094	340.5	0.0841023
46	167603	71337	335.5	0.0256658
47	164591	71541	362.7	0
48	161578	71742	334.4	0.069382
49	158561	71946	359.7	0.0707309
50	155549	72147	354.4	0.154369
51	182055	61157	290.0	0.0498632
52	179040	61361	235.7	0.119111
53	176027	61565	234.3	0.0851872
54	173013	61769	295.2	0.0454117
55	169998	61972	293.8	0.031601
56	182265	64211	236.5	0.0649396
57	179252	64415	323.7	0.00878033
58	176237	64619	254.8	0.112121
59	173223	64822	289.5	0.0267134
60	170206	65027	380.8	0.0283367
61	182474	67265	353.2	0
62	179462	67469	426.8	0
63	176447	67673	363.9	0
64	173434	67876	282.4	0.047977
65	170417	68080	255.7	0.207634
66	182678	70319	460.2	0
67	179667	70523	476.4	0
68	176652	70727	441.5	0
69	173639	70931	390.5	0
70	170622	71135	283.1	0.0559847
71	197121	60133	361.3	0.0315096
72	194106	60338	313.0	0.0883463
73	191092	60544	264.3	0.091924
74	188078	60749	296.1	0.105718
75	185067	60953	297.6	0.0293316
76	197332	63187	401.4	0.00990138
77	194319	63393	362.0	0.0506858
78	191304	63597	310.9	0.0597819
79	188291	63802	296.9	0.0477437
80	185278	64007	268.5	0.0917784
81	197543	66241	396.9	0.0183905
82	194530	66445	378.0	0.0878852
83	191516	66651	368.2	0.0178213
84	188503	66856	373.9	0.0371808
85	185488	67060	341.9	0
86	197750	69295	394.2	0.150064
87	194735	69501	401.3	0.0301561
88	191721	69705	397.4	0.0615264
89	188709	69909	399.1	0.00712955
90	185692	70115	423.9	0
91	197957	72349	378.0	0.00213697
92	196075	44884	251.0	0.0950503
93	193064	45089	239.6	0.196612
94	190050	45292	170.2	0.309712
95	187039	45499	172.9	0.0376633
96	184026	45704	175.1	0.240005
97	196287	47933	313.4	0.0114584
98	193275	48138	276.2	0.0554246
99	190263	48344	234.1	0.0617928
100	187251	48548	209.2	0.0366604
101	184235	48751	208.4	0.156181
102	196499	50982	395.3	0
103	193486	51188	382.4	0
104	190474	51392	364.7	0
105	187459	51597	323.5	0
106	184446	51801	245.9	0.0104835
107	196704	54032	346.4	0.0949648
108	193691	54238	374.1	8.7007e-06
109	190677	54442	387.3	0
110	187665	54646	363.8	0.0315935
111	184652	54853	286.9	0.0150452
112	196912	57082	281.5	0.0659412
113	193897	57287	292.5	0.0937861
114	190881	57492	333.9	0
115	187871	57697	355.7	0.0918348
116	184859	57900	316.0	0.0192363
117	212188	59104	401.1	0.0656387
118	209174	59310	384.8	0
119	206162	59517	371.3	0
120	203148	59723	398.1	0.00222938
121	200134	59928	399.7	0.045295
122	212401	62158	435.0	0.125922
123	209386	62364	421.8	0.0729602
124	206374	62570	398.7	0.081144
125	203360	62775	404.8	0.0274608
126	200345	62982	420.4	0.00932208
127	212612	65211	455.4	0.225221
128	209596	65418	432.0	0.10271
129	206583	65624	415.5	0.0730671
130	203570	65830	405.3	0.122466
131	200557	66035	415.3	0.0883469
132	212821	68265	428.3	0
133	209807	68472	428.8	0.015638
134	206793	68678	395.5	0.0416446
135	203778	68884	373.8	0.0554181
136	200763	69089	397.3	0.0517847
137	213032	71320	405.4	0.0355656
138	210018	71525	385.1	0.0452938
139	207004	71732	402.3	0.0468858
140	203989	71937	365.5	0.042079
141	200971	72144	382.2	0.0471194
142	211138	43854	305.9	0.0405108
143	208126	44061	263.5	0.0619717
144	205113	44266	280.4	0.00845309
145	202102	44472	267.7	0.0644213
146	199088	44679	247.8	0.0413764
147	211349	46904	329.5	0.0219257
148	208336	47109	331.5	0.00457426
149	205324	47317	378.4	0.0114888
150	202312	47522	381.9	0
151	199299	47726	354.3	0
152	211561	49952	382.5	0
153	208549	50160	414.0	0
154	205535	50366	408.9	0.0167936
155	202521	50571	374.6	0
156	199511	50777	395.7	0
157	211769	53003	325.2	0.0525304
158	208756	53208	328.9	0.0203095
