ID	X	Y	ALT	BETA
1	22500.000000	199500.000000	0.0	0.112695
2	22500.000000	198500.000000	0.0	0.225770
3	22500.000000	197500.000000	3.1	0.269155
4	23500.000000	200500.000000	0.0	0.120224
5	23500.000000	199500.000000	0.0	0.186922
6	23500.000000	198500.000000	0.0	0.280308
7	23500.000000	197500.000000	2.8	0.268510
8	23500.000000	196500.000000	7.2	0.327819
9	23500.000000	195500.000000	0.8	0.371528
10	23500.000000	194500.000000	2.9	0.384122
11	23500.000000	193500.000000	0.2	0.435235
12	23500.000000	192500.000000	-0.7	0.444758
13	23500.000000	190500.000000	-0.5	0.429835
14	24500.000000	200500.000000	0.0	0.189713
15	24500.000000	199500.000000	0.0	0.281823
16	24500.000000	198500.000000	0.5	0.349594
17	24500.000000	197500.000000	4.3	0.320891
18	24500.000000	196500.000000	4.8	0.373787
19	24500.000000	195500.000000	0.1	0.383144
20	24500.000000	194500.000000	3.0	0.397180
21	24500.000000	193500.000000	0.1	0.432198
22	24500.000000	192500.000000	-0.8	0.426594
23	24500.000000	191500.000000	-0.7	0.406713
24	24500.000000	190500.000000	-0.8	0.403819
25	24500.000000	189500.000000	-0.7	0.407632
26	24500.000000	188500.000000	0.0	0.430684
27	24500.000000	180500.000000	12.8	0.434791
28	25500.000000	201500.000000	0.0	0.218102
29	25500.000000	200500.000000	0.0	0.270213
30	25500.000000	199500.000000	0.0	0.361222
31	25500.000000	198500.000000	4.4	0.388837
32	25500.000000	197500.000000	6.7	0.343707
33	25500.000000	196500.000000	3.0	0.394495
34	25500.000000	195500.000000	0.5	0.391723
35	25500.000000	194500.000000	3.1	0.408052
36	25500.000000	193500.000000	-0.4	0.427786
37	25500.000000	192500.000000	-0.5	0.411658
38	25500.000000	191500.000000	-1.0	0.386613
39	25500.000000	190500.000000	-0.8	0.379333
40	25500.000000	189500.000000	-0.7	0.384403
41	25500.000000	188500.000000	0.9	0.417646
42	25500.000000	181500.000000	16.0	0.432441
43	25500.000000	180500.000000	13.3	0.424220
44	25500.000000	179500.000000	12.6	0.413400
45	25500.000000	178500.000000	11.9	0.410230
46	25500.000000	177500.000000	6.4	0.417377
47	25500.000000	176500.000000	5.7	0.416346
48	25500.000000	175500.000000	11.8	0.420003
49	25500.000000	173500.000000	15.5	0.424724
50	25500.000000	172500.000000	22.4	0.431603
51	26500.000000	201500.000000	0.0	0.296718
52	26500.000000	200500.000000	0.0	0.356703
53	26500.000000	199500.000000	0.8	0.423908
54	26500.000000	198500.000000	8.5	0.420358
55	26500.000000	197500.000000	10.0	0.377489
56	26500.000000	196500.000000	2.5	0.415561
57	26500.000000	195500.000000	1.8	0.392096
58	26500.000000	194500.000000	0.2	0.410276
59	26500.000000	193500.000000	-0.7	0.413154
60	26500.000000	192500.000000	-0.4	0.391727
61	26500.000000	191500.000000	-0.8	0.368463
62	26500.000000	190500.000000	-0.3	0.363317
63	26500.000000	189500.000000	0.1	0.375392
64	26500.000000	188500.000000	0.2	0.411093
65	26500.000000	187500.000000	0.3	0.440465
66	26500.000000	186500.000000	1.7	0.445376
67	26500.000000	185500.000000	8.9	0.449041
68	26500.000000	182500.000000	13.6	0.426465
69	26500.000000	181500.000000	15.1	0.399432
70	26500.000000	180500.000000	11.5	0.393170
71	26500.000000	179500.000000	14.1	0.381623
72	26500.000000	178500.000000	8.9	0.386034
73	26500.000000	177500.000000	5.0	0.400990
