ID	XLAMB	YLAMB	ALT	BETA
1	24000	174000	16.5	0.4423
2	24000	178000	8.1	0.4352
3	24000	182000	14.0	0.4452
4	24000	190000	0.0	0.4222
5	24000	194000	-0.3	0.4148
6	24000	198000	3.9	0.3035
7	24000	202000	0.6	0.0596
8	28000	170000	29.4	0.4035
9	28000	174000	18.2	0.3503
10	28000	178000	8.7	0.3643
11	28000	182000	6.6	0.3634
12	28000	186000	10.5	0.3927
13	28000	190000	4.9	0.3376
14	28000	194000	0.1	0.3846
15	28000	198000	1.6	0.4029
16	28000	202000	5.0	0.326
17	32000	166000	69.5	0.4064
18	32000	170000	31.6	0.377
19	32000	174000	29.1	0.4083
20	32000	178000	14.6	0.3079
21	32000	182000	2.5	0.2899
22	32000	186000	7.7	0.3507
23	32000	190000	5.0	0.3343
24	32000	194000	0.5	0.314
25	32000	198000	1.1	0.4685
26	32000	202000	3.7	0.4593
27	32000	206000	1.2	0.0589
28	36000	162000	48.8	0.4246
29	36000	166000	69.7	0.3035
30	36000	170000	32.1	0.3953
31	36000	174000	18.7	0.4156
32	36000	178000	11.2	0.3145
33	36000	182000	3.1	0.1999
34	36000	186000	1.3	0.2711
35	36000	190000	0.8	0.284
36	36000	194000	0.4	0.3032
37	36000	198000	0.2	0.3676
38	36000	202000	0.9	0.4751
39	36000	206000	2.7	0.466
40	40000	158000	20.1	0.3556
41	40000	162000	48.7	0.2576
42	40000	166000	55.9	0.3322
43	40000	170000	24.1	0.3425
44	40000	174000	17.1	0.4018
45	40000	178000	11.0	0.3477
46	40000	182000	3.2	0.2545
47	40000	186000	0.2	0.1221
48	40000	190000	0.0	0.2025
49	40000	194000	0.0	0.2359
50	40000	198000	0.1	0.3392
51	40000	202000	0.2	0.3584
52	40000	206000	0.6	0.3043
53	40000	210000	1.1	0.1458
54	44000	154000	16.4	0.5797
55	44000	158000	17.9	0.3533
56	44000	162000	37.4	0.3141
57	44000	166000	45.0	0.3068
58	44000	170000	23.3	0.3578
59	44000	174000	15.6	0.4577
60	44000	178000	10.5	0.3666
61	44000	182000	3.8	0.2691
62	44000	186000	2.4	0.1897
63	44000	190000	2.6	0.2962
64	44000	194000	0.9	0.2991
65	44000	198000	0.3	0.2376
66	44000	202000	0.0	0.3166
67	44000	206000	0.2	0.4075
68	44000	210000	1.1	0.3194
69	44000	214000	0.2	0.0306
70	48000	154000	16.7	0.4657
71	48000	158000	16.0	0.3698
72	48000	162000	27.7	0.3618
73	48000	166000	40.5	0.2614
74	48000	170000	37.0	0.2896
75	48000	174000	22.4	0.4261
76	48000	178000	13.4	0.3159
77	48000	182000	12.4	0.2958
78	48000	186000	12.7	0.3382
79	48000	190000	15.3	0.3481
80	48000	194000	4.0	0.2176
81	48000	198000	5.7	0.2673
82	48000	202000	0.3	0.27
83	48000	206000	0.2	0.2767
84	48000	210000	1.1	0.5174
85	48000	214000	3.3	0.8448
86	52000	162000	16.3	0.4403
87	52000	166000	19.8	0.2923
88	52000	170000	42.7	0.2136
89	52000	174000	35.8	0.3161
90	52000	178000	23.0	0.3131
91	52000	182000	19.6	0.3241
92	52000	186000	23.1	0.4014
93	52000	190000	6.2	0.3198
94	52000	194000	9.8	0.4035
95	52000	198000	12.8	0.3135
96	52000	202000	2.8	0.2869
97	52000	206000	1.4	0.3296
98	52000	210000	0.7	0.3463
99	52000	214000	2.1	0.933
100	52000	218000	0.8	0.1199
101	56000	162000	19.6	0.5031
102	56000	166000	19.3	0.3751
103	56000	170000	28.7	0.2405
104	56000	174000	33.4	0.3101
105	56000	178000	36.0	0.3314
106	56000	182000	28.3	0.3101
107	56000	186000	19.6	0.3793
108	56000	190000	13.7	0.4771
109	56000	194000	14.1	0.3283
110	56000	198000	29.2	0.2574
111	56000	202000	8.4	0.3101
112	56000	206000	3.7	0.2007
113	56000	210000	1.2	0.3462
114	56000	214000	0.1	0.299
115	56000	218000	2.3	0.3664
116	56000	222000	0.1	0.0019
117	60000	162000	25.6	0.4506
118	60000	166000	15.8	0.4995
119	60000	170000	23.3	0.3422
120	60000	174000	23.2	0.3463
121	60000	178000	29.0	0.3611
122	60000	182000	21.7	0.413
123	60000	186000	27.5	0.3605
124	60000	190000	17.9	0.3981
125	60000	194000	13.9	0.3661
126	60000	198000	30.7	0.3468
127	60000	202000	18.8	0.2025
128	60000	206000	10.0	0.2103
129	60000	210000	2.2	0.4778
130	60000	214000	0.1	0.235
131	60000	218000	0.4	0.3525
132	60000	222000	1.0	0.1598
133	64000	162000	31.4	0.5391
134	64000	166000	16.3	0.4627
135	64000	170000	17.2	0.39
136	64000	174000	20.1	0.3094
137	64000	178000	22.1	0.3537
138	64000	182000	19.4	0.6494
139	64000	186000	22.3	0.4714
140	64000	190000	29.3	0.3984
141	64000	194000	17.6	0.1736
142	64000	198000	21.8	0.2461
143	64000	202000	13.0	0.3494
144	64000	206000	13.4	0.2444
145	64000	210000	9.6	0.349
146	64000	214000	0.1	0.2166
147	64000	218000	0.2	0.2434
148	64000	222000	1.4	0.3224
149	64000	226000	0.2	0.0116
150	68000	158000	33.5	0.6721
151	68000	162000	40.2	0.4999
152	68000	166000	22.9	0.5832
153	68000	170000	16.4	0.7407
154	68000	174000	25.6	0.348
155	68000	178000	19.6	0.4897
156	68000	182000	18.0	0.4584
157	68000	186000	23.1	0.3973
158	68000	190000	35.3	0.3771
159	68000	194000	25.4	0.2348
160	68000	198000	15.2	0.2212
161	68000	202000	13.4	0.2387
162	68000	206000	6.5	0.4719
163	68000	210000	8.9	0.7291
164	68000	214000	2.0	0.5984
165	68000	218000	1.6	0.2862
166	68000	222000	1.5	0.53
167	68000	226000	2.3	1.5746
168	72000	134000	40.9	0.3573
169	72000	138000	52.2	0.343
170	72000	142000	50.9	0.4298
171	72000	146000	31.2	0.4324
172	72000	150000	26.2	0.4854
173	72000	154000	21.8	0.4629
174	72000	158000	28.4	0.4703
175	72000	162000	33.1	0.4635
176	72000	166000	34.2	0.6783
177	72000	170000	15.5	0.7315
178	72000	174000	18.5	0.4677
179	72000	178000	18.6	0.3794
180	72000	182000	17.1	0.4023
181	72000	186000	23.1	0.3613
182	72000	190000	32.8	0.4333
183	72000	194000	26.7	0.3084
184	72000	198000	15.4	0.2085
185	72000	202000	12.0	0.1988
186	72000	206000	5.9	0.3776
187	72000	210000	5.4	0.6273
188	72000	214000	2.4	0.4731
189	72000	218000	0.7	0.0906
190	72000	222000	1.8	1.0189
191	72000	226000	2.2	0.7476
192	76000	134000	31.5	0.3225
193	76000	138000	51.3	0.3733
194	76000	142000	53.5	0.4158
195	76000	146000	32.9	0.6898
196	76000	150000	18.4	0.4859
197	76000	154000	16.1	0.4697
198	76000	158000	17.5	0.5725
199	76000	162000	39.6	0.374
200	76000	166000	30.2	0.4403
201	76000	170000	15.2	0.5567
202	76000	174000	13.6	0.4382
203	76000	178000	14.6	0.3954
204	76000	182000	20.0	0.3563
205	76000	186000	25.9	0.3961
206	76000	190000	29.5	0.3193
207	76000	194000	20.2	0.1521
208	76000	198000	20.2	0.2391
209	76000	202000	15.9	0.3162
210	76000	206000	6.0	0.1717
211	76000	210000	6.6	0.2609
212	76000	214000	0.8	0.1852
213	76000	218000	1.0	0.1954
214	76000	222000	0.8	0.3235
215	76000	226000	4.1	0.4831
216	76000	230000	0.2	0.0198
217	80000	130000	18.6	0.3293
218	80000	134000	32.7	0.2377
219	80000	138000	40.0	0.4338
220	80000	142000	45.5	0.495
221	80000	146000	22.5	0.662
222	80000	150000	37.4	0.3925
223	80000	154000	23.4	0.4245
224	80000	158000	13.9	0.4637
225	80000	162000	29.5	0.4416
226	80000	166000	34.3	0.4325
227	80000	170000	16.7	0.3862
228	80000	174000	13.7	0.4603
229	80000	178000	11.2	0.4304
230	80000	182000	12.6	0.294
231	80000	186000	16.5	0.2397
232	80000	190000	22.8	0.3054
233	80000	194000	14.6	0.2704
234	80000	198000	21.6	0.2035
