ID	LAMBX	LAMBY	ALT	BETA
1	136844	64194	216.3	0.225474
2	133831	64396	207.4	0.248416
3	130818	64595	195.8	0.332185
4	127803	64794	181.6	0.206559
5	124790	64996	166.2	0.127911
6	137051	67249	244.9	0.139898
7	134035	67449	210.8	0.263716
8	131023	67648	202.2	0.302879
9	128009	67851	180.6	0.265997
10	124995	68049	174.5	0.158004
11	137260	70302	271.0	0.162544
12	134243	70503	258.3	0.167675
13	131232	70704	236.9	0.179801
14	128218	70902	205.2	0.109674
15	125201	71104	196.0	0.122898
16	151915	63187	290.5	0.0892775
17	148901	63389	276.5	0.127388
18	145888	63590	242.6	0.130468
19	142875	63793	231.3	0.113716
20	139860	63993	227.0	0.187716
21	152121	66242	343.3	0.421118
22	149109	66443	327.1	0.142314
23	146097	66645	304.6	0.153518
24	143082	66847	273.6	0.150885
25	140066	67046	259.5	0.0705667
26	152332	69296	338.6	0.0984218
27	149317	69498	334.5	0.131806
28	146304	69699	326.1	0.139201
29	143289	69899	303.7	0.0934036
30	140276	70102	293.4	0.124577
31	166985	62175	292.7	0.160767
32	163972	62378	321.8	0.167334
33	160957	62581	368.6	0.158664
34	157942	62783	344.5	0.159783
35	154928	62987	319.5	0.123618
36	167192	65229	338.5	0.17358
37	164180	65432	321.8	0.142503
38	161165	65635	368.2	0.0517707
39	158149	65837	367.8	0.108879
40	155134	66039	353.2	0.161758
41	167400	68284	267.6	0.204543
42	164389	68485	315.6	0.153936
43	161375	68689	370.3	0.147991
44	158358	68891	355.3	0.0422659
45	155346	69094	340.5	0.0966726
46	167603	71337	335.5	0.181518
47	164591	71541	362.7	0.159467
48	161578	71742	334.4	0.112096
49	158561	71946	359.7	0.151861
50	155549	72147	354.4	0.236968
51	182055	61157	290.0	0.191906
52	179040	61361	235.7	0.227549
53	176027	61565	234.3	0.211812
54	173013	61769	295.2	0.186991
55	169998	61972	293.8	0.15914
56	182265	64211	236.5	0.211085
57	179252	64415	323.7	0.17091
58	176237	64619	254.8	0.232546
59	173223	64822	289.5	0.173618
60	170206	65027	380.8	0.173628
61	182474	67265	353.2	0.152644
62	179462	67469	426.8	0.146775
63	176447	67673	363.9	0.165514
64	173434	67876	282.4	0.189295
65	170417	68080	255.7	0.301921
66	182678	70319	460.2	0.164974
67	179667	70523	476.4	0.131593
68	176652	70727	441.5	0.165514
69	173639	70931	390.5	0.165514
70	170622	71135	283.1	0.19548
71	197121	60133	361.3	0.163342
72	194106	60338	313.0	0.210775
73	191092	60544	264.3	0.197782
74	188078	60749	296.1	0.237576
75	185067	60953	297.6	0.185349
76	197332	63187	401.4	0.126455
77	194319	63393	362.0	0.134225
78	191304	63597	310.9	0.190732
79	188291	63802	296.9	0.163766
80	185278	64007	268.5	0.226241
81	197543	66241	396.9	0.119965
82	194530	66445	378.0	0.154711
83	191516	66651	368.2	0.128331
84	188503	66856	373.9	0.160555
85	185488	67060	341.9	0.164116
86	197750	69295	394.2	0.193151
87	194735	69501	401.3	0.109803
88	191721	69705	397.4	0.128657
89	188709	69909	399.1	0.128245
90	185692	70115	423.9	0.165514
91	197957	72349	378.0	0.129091
92	196075	44884	251.0	0.201816
93	193064	45089	239.6	0.323129
94	190050	45292	170.2	0.322123
95	187039	45499	172.9	0.0827875
96	184026	45704	175.1	0.281411
97	196287	47933	313.4	0.146072
98	193275	48138	276.2	0.172153
99	190263	48344	234.1	0.114635
100	187251	48548	209.2	0.117437
101	184235	48751	208.4	0.261042
102	196499	50982	395.3	0.165514
103	193486	51188	382.4	0.165514
104	190474	51392	364.7	0.165514
105	187459	51597	323.5	0.165514
106	184446	51801	245.9	0.172615
107	196704	54032	346.4	0.206876
108	193691	54238	374.1	0.16552
109	190677	54442	387.3	0.164562
110	187665	54646	363.8	0.151329
111	184652	54853	286.9	0.147313
112	196912	57082	281.5	0.19188
113	193897	57287	292.5	0.218885
114	190881	57492	333.9	0.165477
115	187871	57697	355.7	0.206329
116	184859	57900	316.0	0.175008
117	212188	59104	401.1	0.156525
118	209174	59310	384.8	0.153432
119	206162	59517	371.3	0.133635
120	203148	59723	398.1	0.0654821
121	200134	59928	399.7	0.147427
122	212401	62158	435.0	0.152534
123	209386	62364	421.8	0.154121
124	206374	62570	398.7	0.105977
125	203360	62775	404.8	0.101139
126	200345	62982	420.4	0.122214
127	212612	65211	455.4	0.262205
128	209596	65418	432.0	0.124949
129	206583	65624	415.5	0.124907
130	203570	65830	405.3	0.187516
131	200557	66035	415.3	0.158833
132	212821	68265	428.3	0.103765
133	209807	68472	428.8	0.132254
134	206793	68678	395.5	0.129985
135	203778	68884	373.8	0.131828
136	200763	69089	397.3	0.142435
137	213032	71320	405.4	0.0958224
138	210018	71525	385.1	0.138077
139	207004	71732	402.3	0.15599
140	203989	71937	365.5	0.150506
141	200971	72144	382.2	0.132076
142	211138	43854	305.9	0.157539
143	208126	44061	263.5	0.15812
144	205113	44266	280.4	0.144434
145	202102	44472	267.7	0.185755
146	199088	44679	247.8	0.10648
147	211349	46904	329.5	0.107665
148	208336	47109	331.5	0.148019
149	205324	47317	378.4	0.172602
150	202312	47522	381.9	0.165514
151	199299	47726	354.3	0.164519
152	211561	49952	382.5	0.164188
153	208549	50160	414.0	0.162781
154	205535	50366	408.9	0.175582
155	202521	50571	374.6	0.164861
156	199511	50777	395.7	0.153552
157	211769	53003	325.2	0.153202
158	208756	53208	328.9	0.165228
159	205743	53415	287.1	0.149749
160	202731	53621	298.3	0.153098
161	199719	53828	296.2	0.218555
162	211976	56051	349.1	0.172892
163	208963	56259	346.7	0.147575
164	205951	56464	343.1	0.147284
165	202941	56671	365.8	0.19001
166	199927	56875	344.8	0.124452
167	210085	28597	272.3	0.215587
168	207075	28802	289.2	0.212285
169	204064	29010	208.3	0.294533
170	201054	29214	213.4	0.165819
171	198042	29420	232.9	0.252567
172	210296	31649	192.9	0.213362
173	207285	31856	259.6	0.185352
174	204274	32060	272.3	0.193656
175	201263	32267	176.8	0.221982
176	198252	32472	186.6	0.186219
177	210511	34701	194.5	0.115228
178	207497	34906	169.0	0.212615
179	204488	35113	194.8	0.208117
180	201475	35319	249.1	0.12428
181	198463	35523	168.7	0.0326771
182	210720	37751	210.9	0.146663
183	207706	37959	188.8	0.15757
184	204695	38164	165.8	0.0906656
185	201682	38369	190.4	0.198068
186	198671	38576	161.2	0.156987
187	210928	40804	242.9	0.136159
188	207915	41010	215.7	0.185272
189	204902	41217	201.8	0.165824
190	201890	41422	186.2	0.19429
191	198879	41628	192.5	0.391181
192	227254	58069	443.3	0.25679
193	224243	58276	406.5	0.092664
194	221232	58482	398.2	0.114695
195	218218	58691	397.1	0.145926
196	215202	58897	416.5	0.353074
197	227469	61122	428.9	0.149476
198	224455	61330	428.6	0.0597651
199	221443	61537	413.5	0.113099
200	218429	61743	443.2	0.105927
201	215415	61951	435.8	0.206832
202	227684	64175	470.3	0.096433
203	224671	64383	464.5	0.122519
204	221657	64590	452.2	0.127159
205	218642	64798	472.0	0.141659
206	215626	65004	469.6	0.158367
207	227893	67231	502.4	0.105014
208	224878	67437	499.2	0.128895
209	221864	67645	483.8	0.40726
210	218849	67851	478.1	0.131974
211	215835	68059	445.1	0.143485
212	228104	70284	492.8	0.0787588
213	225088	70491	518.2	0.135046
214	222074	70699	523.7	0.160133
215	219060	70906	463.7	0.147311
216	216046	71113	478.0	0.164414
217	226198	42820	335.1	0.184006
218	223187	43027	333.4	0.140763
219	220175	43234	331.5	0.0923273
220	217161	43442	336.1	0.232309
221	214148	43648	327.3	0.201343
222	226411	45870	359.1	0.179415
223	223397	46076	352.8	0.121058
224	220385	46284	341.7	0.135125
225	217371	46490	334.0	0.125723
226	214360	46698	317.5	0.13316
227	226626	48918	409.6	0.15961
228	223611	49126	395.0	0.146708
229	220600	49332	392.0	0.18359
230	217589	49540	402.6	0.165514
231	214576	49747	360.3	0.156378
232	226834	51967	416.1	0.157919
233	223821	52175	383.6	0.148101
234	220810	52383	405.2	0.152481
235	217797	52589	418.8	0.164241
236	214784	52795	383.0	0.160247
237	227042	55017	421.7	0.162303
238	224032	55224	409.5	0.130968
239	221020	55431	385.1	0.0466872
240	218005	55639	414.8	0.119329
241	214991	55846	393.0	0.163538
242	225140	27563	256.9	0.131649
243	222129	27770	236.7	0.152647
244	219117	27977	312.2	0.205609
245	216105	28185	281.7	0.127578
246	213094	28391	201.0	0.0994669
247	225352	30614	259.6	0.22958
248	222341	30822	257.6	0.122635
249	219330	31029	262.3	0.12361
250	216318	31236	203.7	0.144288
251	213307	31442	177.6	0.10591
252	225568	33666	273.6	0.140364
253	222557	33873	263.2	0.166456
254	219544	34081	222.7	0.176271
255	216533	34286	219.4	0.153029
256	213524	34494	228.9	0.0491962
257	225778	36718	300.7	0.160794
258	222766	36924	289.5	0.153817
259	219752	37133	258.3	0.153471
260	216741	37339	269.3	0.159958
261	213733	37546	253.0	0.0736007
262	225986	39769	354.4	0.220347
263	222976	39977	325.5	0.147501
264	219963	40183	324.3	0.15832
265	216950	40391	324.9	0.141095
266	213940	40597	286.9	0.165832
267	243390	72295	497.2	0.112723
268	240378	72503	503.5	0.128683
269	237361	72712	492.5	0.131684
270	234346	72920	505.2	0.121842
271	242325	57027	488.7	0.165514
272	239310	57237	481.2	0.165514
273	236298	57445	458.5	0.147273
274	233284	57652	451.5	0.322344
275	230269	57861	456.4	0.139567
276	242540	60080	451.0	0.155964
277	239523	60290	470.0	0.0895273
278	236510	60498	479.7	0.0701936
279	233498	60706	477.0	0.351885
280	230485	60914	466.8	0.37498
281	242753	63135	444.2	0.109378
282	239737	63343	440.2	0.0338937
283	236724	63552	453.1	0.053251
284	233713	63759	469.5	0.159973
285	230699	63969	469.1	0.182779
286	242964	66187	458.7	0.0630798
287	239950	66397	453.2	0.171833
288	236936	66606	452.6	0.113515
289	233921	66815	481.2	0.088957
290	230906	67021	517.9	0.110477
291	243175	69242	479.2	0.0608755
292	240163	69451	465.2	0.0832909
293	237147	69659	488.5	0.0799965
294	234130	69867	519.2	0.14637
295	231118	70076	496.1	0.0627877
296	241261	41779	346.5	0.0645906
297	238249	41987	342.1	0.133624
298	235234	42195	337.4	0.168162
299	232222	42405	341.9	0.196457
300	229210	42611	350.0	0.126012
301	241473	44828	368.2	0.149672
302	238463	45036	360.1	0.0825089
303	235449	45245	352.2	0.156988
304	232436	45453	349.9	0.101421
305	229424	45661	348.3	0.136255
306	241687	47878	411.3	0.269858
307	238677	48085	402.1	0.164944
308	235665	48294	410.1	0.183558
309	232651	48502	413.4	0.1781
310	229640	48710	419.4	0.166223
311	241895	50927	456.2	0.162539
312	238884	51136	444.5	0.170993
313	235874	51343	442.5	0.190988
314	232862	51552	419.5	0.193567
315	229849	51761	431.7	0.145679
316	242108	53976	459.2	0.185001
317	239096	54185	447.9	0.131321
318	236088	54393	446.1	0.144045
319	233074	54602	417.4	0.19287
320	230057	54809	426.4	0.179632
321	240196	26522	244.2	0.140299
322	237185	26731	267.5	0.473013
323	234173	26939	244.6	0.232548
324	231160	27147	228.9	0.277337
325	228150	27355	280.2	0.136698
326	240410	29574	267.8	0.15285
327	237398	29782	245.4	0.205321
328	234385	29991	246.6	0.349594
329	231372	30199	248.4	0.20784
330	228361	30407	271.1	0.233305
331	240626	32625	280.5	0.159137
332	237612	32834	289.7	0.192
333	234602	33041	307.0	0.166146
334	231591	33250	279.6	0.187197
335	228578	33458	297.5	0.124826
336	240837	35677	325.9	0.163163
337	237823	35885	332.8	0.191747
338	234812	36095	337.6	0.153478
339	231802	36302	328.8	0.157326
340	228789	36509	327.8	0.149931
341	241049	38728	352.0	0.150312
342	238037	38937	347.5	0.237472
343	235022	39146	352.1	0.179035
344	232010	39353	361.6	0.230261
345	228999	39562	352.7	0.189337
346	239134	11254	268.1	0.293913
347	236125	11462	248.0	0.296088
348	233112	11671	232.3	0.234551
349	230101	11880	255.5	0.250721
350	227093	12087	230.0	0.165202
351	239345	14308	264.6	0.376446
352	236336	14517	267.4	0.24455
353	233325	14724	268.9	0.304525
354	230314	14933	234.5	0.34091
355	227304	15141	255.6	0.378177
356	239559	17362	291.1	0.352043
357	236549	17571	275.5	0.283322
358	233537	17779	274.2	0.318266
359	230529	17986	251.5	0.346133
360	227520	18195	275.6	0.340168
361	239772	20416	357.2	0.362815
362	236762	20623	329.9	0.25905
363	233750	20833	279.7	0.300939
364	230741	21041	248.4	0.240295
365	227732	21248	248.4	0.260198
366	239985	23469	352.6	0.251406
367	236975	23678	362.7	0.329572
368	233964	23886	346.8	0.200591
369	230952	24095	257.0	0.202836
370	227941	24302	239.2	0.214447
371	258461	71247	465.3	0.172636
372	255446	71458	434.7	0.166246
373	252433	71667	475.3	0.179942
374	249420	71876	491.9	0.11117
375	246404	72086	497.7	0.12345
376	257389	55981	415.7	0.0917241
377	254376	56190	456.5	0.126449
378	251362	56400	448.2	0.135754
379	248350	56609	466.8	0.213584
380	245339	56818	483.1	0.165514
381	257605	59034	477.6	0.0882028
382	254591	59244	484.2	0.111095
383	251578	59453	477.8	0.223746
384	248564	59664	418.4	0.193362
385	245552	59872	423.9	0.130707
386	257821	62088	473.4	0.2306
387	254805	62297	421.6	0.124093
388	251793	62507	420.5	0.213197
389	248780	62716	427.7	0.111622
390	245768	62926	441.5	0.107462
391	258034	65141	423.9	0.18635
392	255017	65352	413.0	0.137658
393	252003	65561	414.3	0.0818551
394	248992	65771	436.0	0.127915
395	245979	65979	449.1	0.0912108
396	258247	68195	386.2	0.0716174
397	255230	68404	402.9	0.123336
398	252216	68615	446.6	0.175533
399	249203	68824	443.7	0.11775
400	246188	69033	473.7	0.109818
401	256319	40733	360.8	0.322952
402	253309	40943	399.5	0.413844
403	250298	41152	384.5	0.214573
404	247285	41360	370.3	0.264934
405	244271	41570	350.2	0.271072
406	256535	43782	366.4	0.293463
407	253523	43991	386.0	0.433795
408	250510	44201	386.2	0.489106
409	247498	44411	364.1	0.380416
410	244485	44619	373.4	0.17928
411	256749	46830	337.3	0.178476
412	253738	47041	349.2	0.23661
413	250726	47250	345.6	0.194062
414	247712	47459	351.0	0.12163
415	244699	47668	414.1	0.15284
416	256961	49880	296.6	0.115049
417	253950	50090	311.5	0.162007
418	250936	50299	337.4	0.293655
419	247922	50509	408.6	0.205219
420	244909	50718	452.9	0.165514
421	257173	52929	323.4	0.253535
422	254162	53139	368.9	0.184708
423	251148	53348	415.3	0.207765
424	248135	53558	460.0	0.170724
425	245123	53767	462.5	0.165514
426	255248	25477	329.2	0.517335
427	252236	25687	314.0	0.483768
428	249227	25895	378.2	0.300635
429	246216	26105	320.1	0.282044
430	243205	26314	284.2	0.197658
431	255467	28527	279.4	0.551527
432	252452	28738	291.3	0.297744
433	249440	28947	283.8	0.27807
434	246432	29155	265.3	0.292861
435	243421	29365	264.3	0.203219
436	255685	31579	307.7	0.32634
437	252670	31788	334.6	0.265163
438	249657	31998	322.8	0.14148
439	246648	32208	308.8	0.131323
440	243638	32416	280.5	0.0806878
441	255895	34630	333.9	0.234986
442	252883	34840	309.1	0.228652
443	249870	35051	354.0	0.194255
444	246859	35259	361.5	0.225262
445	243849	35469	315.3	0.215347
446	256105	37682	339.4	0.293443
447	253096	37891	340.0	0.213943
448	250085	38101	361.5	0.222779
449	247072	38311	362.4	0.165514
450	244059	38519	351.4	0.179784
