ID	LAMBX	LAMBY	ALT	BETA
1	136844	64194	216.3	0.346256
2	133831	64396	207.4	0.353529
3	130818	64595	195.8	0.364569
4	127803	64794	181.6	0.334732
5	124790	64996	166.2	0.318813
6	137051	67249	244.9	0.100059
7	134035	67449	210.8	0.331862
8	131023	67648	202.2	0.380346
9	128009	67851	180.6	0.426861
10	124995	68049	174.5	0.331335
11	137260	70302	271.0	0.00581544
12	134243	70503	258.3	0.0227891
13	131232	70704	236.9	0.0234072
14	128218	70902	205.2	0.195587
15	125201	71104	196.0	0.301196
16	151915	63187	290.5	0.277817
17	148901	63389	276.5	0.22186
18	145888	63590	242.6	0.291717
19	142875	63793	231.3	0.25581
20	139860	63993	227.0	0.295413
21	152121	66242	343.3	0.29382
22	149109	66443	327.1	0.105072
23	146097	66645	304.6	0.133676
24	143082	66847	273.6	0.229767
25	140066	67046	259.5	0.232105
26	152332	69296	338.6	0.134751
27	149317	69498	334.5	0.0611109
28	146304	69699	326.1	0.0487046
29	143289	69899	303.7	0.12824
30	140276	70102	293.4	0.0759523
31	166985	62175	292.7	0.0326767
32	163972	62378	321.8	0.00266474
33	160957	62581	368.6	0.0887826
34	157942	62783	344.5	0.0695764
35	154928	62987	319.5	0.176034
36	167192	65229	338.5	0.09732
37	164180	65432	321.8	0.0459277
38	161165	65635	368.2	0.262464
39	158149	65837	367.8	0.124263
40	155134	66039	353.2	0.13967
41	167400	68284	267.6	0.0941674
42	164389	68485	315.6	0.0333659
43	161375	68689	370.3	0.334991
44	158358	68891	355.3	0.244388
45	155346	69094	340.5	0.299939
46	167603	71337	335.5	0.0256658
47	164591	71541	362.7	0.0117878
48	161578	71742	334.4	0.240854
49	158561	71946	359.7	0.257479
50	155549	72147	354.4	0.28465
51	182055	61157	290.0	0.0661678
52	179040	61361	235.7	0.151333
53	176027	61565	234.3	0.0877308
54	173013	61769	295.2	0.0633851
55	169998	61972	293.8	0.0799183
56	182265	64211	236.5	0.0649396
57	179252	64415	323.7	0.0101802
58	176237	64619	254.8	0.136696
59	173223	64822	289.5	0.0267134
60	170206	65027	380.8	0.0557056
61	182474	67265	353.2	0.0248395
62	179462	67469	426.8	0.0358594
63	176447	67673	363.9	0
64	173434	67876	282.4	0.047977
65	170417	68080	255.7	0.238201
66	182678	70319	460.2	0.00106234
67	179667	70523	476.4	0.0540074
68	176652	70727	441.5	0
69	173639	70931	390.5	0
70	170622	71135	283.1	0.060452
