ID	X	Y	ALT	BETA
1	22500.000000	199500.000000	0.0	0.065749
2	22500.000000	198500.000000	0.0	0.126447
3	22500.000000	197500.000000	3.1	0.147758
4	23500.000000	200500.000000	0.0	0.080799
5	23500.000000	199500.000000	0.0	0.132386
6	23500.000000	198500.000000	0.0	0.180086
7	23500.000000	197500.000000	2.8	0.152423
8	23500.000000	196500.000000	7.2	0.178972
9	23500.000000	195500.000000	0.8	0.156861
10	23500.000000	194500.000000	2.9	0.132270
11	23500.000000	193500.000000	0.2	0.122953
12	23500.000000	192500.000000	-0.7	0.131311
13	23500.000000	190500.000000	-0.5	0.146893
14	24500.000000	200500.000000	0.0	0.143603
15	24500.000000	199500.000000	0.0	0.224179
16	24500.000000	198500.000000	0.5	0.269127
17	24500.000000	197500.000000	4.3	0.210973
18	24500.000000	196500.000000	4.8	0.219048
19	24500.000000	195500.000000	0.1	0.170577
20	24500.000000	194500.000000	3.0	0.129212
21	24500.000000	193500.000000	0.1	0.126183
22	24500.000000	192500.000000	-0.8	0.142446
23	24500.000000	191500.000000	-0.7	0.167850
24	24500.000000	190500.000000	-0.8	0.170860
25	24500.000000	189500.000000	-0.7	0.167197
26	24500.000000	188500.000000	0.0	0.189410
27	24500.000000	180500.000000	12.8	0.124531
28	25500.000000	201500.000000	0.0	0.202248
29	25500.000000	200500.000000	0.0	0.234216
30	25500.000000	199500.000000	0.0	0.300358
31	25500.000000	198500.000000	4.4	0.310076
32	25500.000000	197500.000000	6.7	0.237127
33	25500.000000	196500.000000	3.0	0.229392
34	25500.000000	195500.000000	0.5	0.182288
35	25500.000000	194500.000000	3.1	0.139714
36	25500.000000	193500.000000	-0.4	0.132320
37	25500.000000	192500.000000	-0.5	0.152620
38	25500.000000	191500.000000	-1.0	0.192166
39	25500.000000	190500.000000	-0.8	0.199378
40	25500.000000	189500.000000	-0.7	0.197290
41	25500.000000	188500.000000	0.9	0.219057
42	25500.000000	181500.000000	16.0	0.143864
43	25500.000000	180500.000000	13.3	0.152799
44	25500.000000	179500.000000	12.6	0.164329
45	25500.000000	178500.000000	11.9	0.159331
46	25500.000000	177500.000000	6.4	0.149520
47	25500.000000	176500.000000	5.7	0.163082
48	25500.000000	175500.000000	11.8	0.169001
49	25500.000000	173500.000000	15.5	0.172366
50	25500.000000	172500.000000	22.4	0.153032
51	26500.000000	201500.000000	0.0	0.280653
52	26500.000000	200500.000000	0.0	0.319581
53	26500.000000	199500.000000	0.8	0.338491
54	26500.000000	198500.000000	8.5	0.330384
55	26500.000000	197500.000000	10.0	0.244617
56	26500.000000	196500.000000	2.5	0.226622
57	26500.000000	195500.000000	1.8	0.197678
58	26500.000000	194500.000000	0.2	0.149719
59	26500.000000	193500.000000	-0.7	0.148227
60	26500.000000	192500.000000	-0.4	0.173406
61	26500.000000	191500.000000	-0.8	0.209953
62	26500.000000	190500.000000	-0.3	0.214881
63	26500.000000	189500.000000	0.1	0.209457
64	26500.000000	188500.000000	0.2	0.219594
65	26500.000000	187500.000000	0.3	0.187804
66	26500.000000	186500.000000	1.7	0.182583
67	26500.000000	185500.000000	8.9	0.172239
68	26500.000000	182500.000000	13.6	0.142317
69	26500.000000	181500.000000	15.1	0.188329
70	26500.000000	180500.000000	11.5	0.199462
71	26500.000000	179500.000000	14.1	0.210843
72	26500.000000	178500.000000	8.9	0.198519
73	26500.000000	177500.000000	5.0	0.171778
74	26500.000000	176500.000000	6.9	0.182721
75	26500.000000	175500.000000	11.8	0.200227
76	26500.000000	174500.000000	13.7	0.210294
77	26500.000000	173500.000000	14.9	0.200284
78	26500.000000	172500.000000	13.6	0.176568
79	26500.000000	171500.000000	18.3	0.145281
80	27500.000000	202500.000000	0.0	0.238159
81	27500.000000	201500.000000	0.0	0.350430
82	27500.000000	200500.000000	0.0	0.400769
83	27500.000000	199500.000000	4.9	0.382797
84	27500.000000	198500.000000	9.1	0.348639
85	27500.000000	197500.000000	10.4	0.276353
86	27500.000000	196500.000000	2.0	0.231840
87	27500.000000	195500.000000	1.8	0.215603
88	27500.000000	194500.000000	-0.1	0.177899
89	27500.000000	193500.000000	-0.7	0.193732
90	27500.000000	192500.000000	-0.7	0.217718
91	27500.000000	191500.000000	-0.7	0.230885
92	27500.000000	190500.000000	-0.1	0.235452
93	27500.000000	189500.000000	1.1	0.216558
94	27500.000000	188500.000000	1.7	0.204185
95	27500.000000	187500.000000	2.8	0.178855
96	27500.000000	186500.000000	2.7	0.174607
97	27500.000000	185500.000000	7.9	0.165154
98	27500.000000	184500.000000	10.0	0.164356
99	27500.000000	183500.000000	13.7	0.164808
100	27500.000000	182500.000000	13.8	0.186021
101	27500.000000	181500.000000	12.4	0.233446
102	27500.000000	180500.000000	10.2	0.241962
103	27500.000000	179500.000000	12.8	0.244171
104	27500.000000	178500.000000	6.3	0.246430
105	27500.000000	177500.000000	3.6	0.217773
106	27500.000000	176500.000000	5.7	0.218861
107	27500.000000	175500.000000	6.8	0.234266
108	27500.000000	174500.000000	8.2	0.226800
109	27500.000000	173500.000000	8.6	0.215828
110	27500.000000	172500.000000	10.4	0.200761
111	27500.000000	171500.000000	14.3	0.163932
112	27500.000000	170500.000000	16.3	0.148313
113	27500.000000	169500.000000	17.5	0.136052
114	27500.000000	168500.000000	27.8	0.130707
115	28500.000000	202500.000000	0.0	0.280316
116	28500.000000	201500.000000	0.0	0.402733
117	28500.000000	200500.000000	2.2	0.472744
118	28500.000000	199500.000000	8.3	0.450780
119	28500.000000	198500.000000	8.7	0.404778
120	28500.000000	197500.000000	3.2	0.333210
121	28500.000000	196500.000000	0.8	0.270319
122	28500.000000	195500.000000	0.7	0.249108
123	28500.000000	194500.000000	0.1	0.214209
124	28500.000000	193500.000000	-0.1	0.215877
125	28500.000000	192500.000000	-0.1	0.234688
126	28500.000000	191500.000000	-0.3	0.236768
127	28500.000000	190500.000000	0.0	0.246742
128	28500.000000	189500.000000	3.1	0.245298
129	28500.000000	188500.000000	4.7	0.231992
130	28500.000000	187500.000000	4.4	0.226842
131	28500.000000	186500.000000	4.1	0.212963
132	28500.000000	185500.000000	7.4	0.187079
133	28500.000000	184500.000000	11.8	0.190343
134	28500.000000	183500.000000	14.0	0.190179
135	28500.000000	182500.000000	12.3	0.206438
136	28500.000000	181500.000000	9.1	0.253376
137	28500.000000	180500.000000	9.2	0.252950
138	28500.000000	179500.000000	7.9	0.248928
139	28500.000000	178500.000000	2.7	0.260884
140	28500.000000	177500.000000	5.8	0.236427
141	28500.000000	176500.000000	8.2	0.231527
142	28500.000000	175500.000000	9.8	0.248762
143	28500.000000	174500.000000	10.8	0.238606
144	28500.000000	173500.000000	11.7	0.225292
145	28500.000000	172500.000000	13.2	0.216223
146	28500.000000	171500.000000	15.8	0.178352
147	28500.000000	170500.000000	15.9	0.167732
148	28500.000000	169500.000000	17.4	0.152370
149	28500.000000	168500.000000	31.4	0.144997
150	29500.000000	203500.000000	0.0	0.221024
151	29500.000000	202500.000000	0.0	0.330904
152	29500.000000	201500.000000	0.2	0.432315
153	29500.000000	200500.000000	8.7	0.482169
154	29500.000000	199500.000000	10.4	0.461545
155	29500.000000	198500.000000	6.8	0.451861
156	29500.000000	197500.000000	0.6	0.403799
157	29500.000000	196500.000000	0.5	0.334973
158	29500.000000	195500.000000	0.5	0.293921
159	29500.000000	194500.000000	0.1	0.239764
160	29500.000000	193500.000000	0.0	0.224183
161	29500.000000	192500.000000	0.0	0.242455
162	29500.000000	191500.000000	0.0	0.232736
163	29500.000000	190500.000000	0.8	0.247941
164	29500.000000	189500.000000	4.9	0.249911
165	29500.000000	188500.000000	6.5	0.238920
166	29500.000000	187500.000000	5.7	0.251244
167	29500.000000	186500.000000	6.2	0.226662
168	29500.000000	185500.000000	7.8	0.203169
169	29500.000000	184500.000000	11.5	0.222736
170	29500.000000	183500.000000	13.7	0.222163
171	29500.000000	182500.000000	11.3	0.230046
172	29500.000000	181500.000000	7.6	0.257192
173	29500.000000	180500.000000	6.5	0.247824
174	29500.000000	179500.000000	2.3	0.244627
175	29500.000000	178500.000000	4.1	0.277962
