ID	XLAMB	YLAMB	ALT	BETA
1	24000	174000	16.5	0.1242
2	24000	178000	8.1	0.1324
3	24000	182000	14.0	0.1147
4	24000	190000	0.0	0.1547
5	24000	194000	-0.3	0.1245
6	24000	198000	3.9	0.2105
7	24000	202000	0.6	0.0565
8	28000	170000	29.4	0.1485
9	28000	174000	18.2	0.2418
10	28000	178000	8.7	0.2549
11	28000	182000	6.6	0.2165
12	28000	186000	10.5	0.1862
13	28000	190000	4.9	0.248
14	28000	194000	0.1	0.1963
15	28000	198000	1.6	0.3481
16	28000	202000	5.0	0.3054
17	32000	166000	69.5	0.1828
18	32000	170000	31.6	0.2028
19	32000	174000	29.1	0.276
20	32000	178000	14.6	0.2491
21	32000	182000	2.5	0.2619
22	32000	186000	7.7	0.2111
23	32000	190000	5.0	0.2566
24	32000	194000	0.5	0.2655
25	32000	198000	1.1	0.3713
26	32000	202000	3.7	0.3781
27	32000	206000	1.2	0.0468
28	36000	162000	48.8	0.1854
29	36000	166000	69.7	0.3048
30	36000	170000	32.1	0.2381
31	36000	174000	18.7	0.3396
32	36000	178000	11.2	0.2479
33	36000	182000	3.1	0.37
34	36000	186000	1.3	0.3091
35	36000	190000	0.8	0.2911
36	36000	194000	0.4	0.2539
37	36000	198000	0.2	0.212
38	36000	202000	0.9	0.3398
39	36000	206000	2.7	0.3645
40	40000	158000	20.1	0.2389
41	40000	162000	48.7	0.324
42	40000	166000	55.9	0.2896
43	40000	170000	24.1	0.2521
44	40000	174000	17.1	0.2899
45	40000	178000	11.0	0.2898
46	40000	182000	3.2	0.319
47	40000	186000	0.2	0.3797
48	40000	190000	0.0	0.3333
49	40000	194000	0.0	0.3086
50	40000	198000	0.1	0.2563
51	40000	202000	0.2	0.2434
52	40000	206000	0.6	0.3422
53	40000	210000	1.1	0.1352
54	44000	154000	16.4	0.4673
55	44000	158000	17.9	0.2833
56	44000	162000	37.4	0.2562
57	44000	166000	45.0	0.2981
58	44000	170000	23.3	0.3798
59	44000	174000	15.6	0.3696
60	44000	178000	10.5	0.3064
61	44000	182000	3.8	0.3212
62	44000	186000	2.4	0.319
63	44000	190000	2.6	0.3879
64	44000	194000	0.9	0.3878
65	44000	198000	0.3	0.3233
66	44000	202000	0.0	0.261
67	44000	206000	0.2	0.2683
68	44000	210000	1.1	0.3957
69	44000	214000	0.2	0.0306
70	48000	154000	16.7	0.2429
71	48000	158000	16.0	0.2505
72	48000	162000	27.7	0.2772
73	48000	166000	40.5	0.3323
74	48000	170000	37.0	0.3496
75	48000	174000	22.4	0.305
76	48000	178000	13.4	0.3729
77	48000	182000	12.4	0.3079
78	48000	186000	12.7	0.3622
79	48000	190000	15.3	0.2861
80	48000	194000	4.0	0.3659
81	48000	198000	5.7	0.312
82	48000	202000	0.3	0.3156
83	48000	206000	0.2	0.3015
84	48000	210000	1.1	0.6214
85	48000	214000	3.3	0.4937
86	52000	162000	16.3	0.3509
87	52000	166000	19.8	0.3667
88	52000	170000	42.7	0.3683
89	52000	174000	35.8	0.4038
90	52000	178000	23.0	0.2827
91	52000	182000	19.6	0.2744
92	52000	186000	23.1	0.2909
93	52000	190000	6.2	0.3478
94	52000	194000	9.8	0.2547
95	52000	198000	12.8	0.3886
96	52000	202000	2.8	0.3472
97	52000	206000	1.4	0.4232
98	52000	210000	0.7	0.3618
99	52000	214000	2.1	0.7181
100	52000	218000	0.8	0.1162
101	56000	162000	19.6	0.3648
102	56000	166000	19.3	0.3654
103	56000	170000	28.7	0.3769
104	56000	174000	33.4	0.3189
105	56000	178000	36.0	0.3581
106	56000	182000	28.3	0.3367
107	56000	186000	19.6	0.3308
108	56000	190000	13.7	0.5907
109	56000	194000	14.1	0.3333
110	56000	198000	29.2	0.4116
111	56000	202000	8.4	0.4479
112	56000	206000	3.7	0.4461
113	56000	210000	1.2	0.5525
114	56000	214000	0.1	0.4146
115	56000	218000	2.3	0.3607
116	56000	222000	0.1	0
117	60000	162000	25.6	0.3102
118	60000	166000	15.8	0.4495
119	60000	170000	23.3	0.3282
120	60000	174000	23.2	0.3469
121	60000	178000	29.0	0.3766
122	60000	182000	21.7	0.4389
123	60000	186000	27.5	0.4046
124	60000	190000	17.9	0.3176
125	60000	194000	13.9	0.4085
126	60000	198000	30.7	0.4959
127	60000	202000	18.8	0.4441
128	60000	206000	10.0	0.4157
129	60000	210000	2.2	0.4596
130	60000	214000	0.1	0.3229
131	60000	218000	0.4	0.2684
132	60000	222000	1.0	0.1945
133	64000	162000	31.4	0.4733
134	64000	166000	16.3	0.5083
135	64000	170000	17.2	0.373
136	64000	174000	20.1	0.4008
137	64000	178000	22.1	0.5676
138	64000	182000	19.4	0.5755
139	64000	186000	22.3	0.3593
140	64000	190000	29.3	0.4066
141	64000	194000	17.6	0.4521
142	64000	198000	21.8	0.4603
143	64000	202000	13.0	0.4873
144	64000	206000	13.4	0.383
145	64000	210000	9.6	0.4787
146	64000	214000	0.1	0.3381
147	64000	218000	0.2	0.3203
148	64000	222000	1.4	0.4845
149	64000	226000	0.2	0.0129
150	68000	158000	33.5	0.5575
151	68000	162000	40.2	0.5532
152	68000	166000	22.9	0.4883
153	68000	170000	16.4	0.5201
154	68000	174000	25.6	0.4066
155	68000	178000	19.6	0.5183
156	68000	182000	18.0	0.38
157	68000	186000	23.1	0.3264
158	68000	190000	35.3	0.3449
159	68000	194000	25.4	0.4245
160	68000	198000	15.2	0.4426
161	68000	202000	13.4	0.4265
162	68000	206000	6.5	0.4761
163	68000	210000	8.9	0.6223
164	68000	214000	2.0	0.5067
165	68000	218000	1.6	0.3656
166	68000	222000	1.5	0.4738
167	68000	226000	2.3	0.6887
168	72000	134000	40.9	0.2597
169	72000	138000	52.2	0.2761
170	72000	142000	50.9	0.2822
171	72000	146000	31.2	0.2558
172	72000	150000	26.2	0.2718
173	72000	154000	21.8	0.3377
174	72000	158000	28.4	0.3681
175	72000	162000	33.1	0.3682
176	72000	166000	34.2	0.5121
177	72000	170000	15.5	0.5906
178	72000	174000	18.5	0.4691
179	72000	178000	18.6	0.4938
180	72000	182000	17.1	0.3603
181	72000	186000	23.1	0.3485
182	72000	190000	32.8	0.5825
183	72000	194000	26.7	0.3918
184	72000	198000	15.4	0.3963
185	72000	202000	12.0	0.4349
186	72000	206000	5.9	0.485
187	72000	210000	5.4	0.6076
188	72000	214000	2.4	0.5256
189	72000	218000	0.7	0.4348
190	72000	222000	1.8	0.5799
191	72000	226000	2.2	0.4366
192	76000	134000	31.5	0.2404
193	76000	138000	51.3	0.3543
194	76000	142000	53.5	0.2811
195	76000	146000	32.9	0.3227
196	76000	150000	18.4	0.2647
197	76000	154000	16.1	0.3203
198	76000	158000	17.5	0.3431
199	76000	162000	39.6	0.2527
200	76000	166000	30.2	0.4577
201	76000	170000	15.2	0.5026
202	76000	174000	13.6	0.5158
203	76000	178000	14.6	0.4751
204	76000	182000	20.0	0.3697
205	76000	186000	25.9	0.3778
206	76000	190000	29.5	0.377
207	76000	194000	20.2	0.4142
208	76000	198000	20.2	0.3478
