ID	LAMBX	LAMBY	ALT	BETA
1	136844	64194	216.3	0.348338
2	133831	64396	207.4	0.324855
3	130818	64595	195.8	0.211517
4	127803	64794	181.6	0.381012
5	124790	64996	166.2	0.439149
6	137051	67249	244.9	0.166844
7	134035	67449	210.8	0.398885
8	131023	67648	202.2	0.355212
9	128009	67851	180.6	0.451995
10	124995	68049	174.5	0.429216
11	137260	70302	271.0	0.0112128
12	134243	70503	258.3	0.0332379
13	131232	70704	236.9	0.00534994
14	128218	70902	205.2	0.318145
15	125201	71104	196.0	0.385311
16	151915	63187	290.5	0.437973
17	148901	63389	276.5	0.315997
18	145888	63590	242.6	0.371109
19	142875	63793	231.3	0.365107
20	139860	63993	227.0	0.357225
21	152121	66242	343.3	0.69141
22	149109	66443	327.1	0.1511
23	146097	66645	304.6	0.166928
24	143082	66847	273.6	0.342731
25	140066	67046	259.5	0.386826
26	152332	69296	338.6	0.235825
27	149317	69498	334.5	0.114495
28	146304	69699	326.1	0.0908416
29	143289	69899	303.7	0.2347
30	140276	70102	293.4	0.141977
31	166985	62175	292.7	0.0359977
32	163972	62378	321.8	0.00267297
33	160957	62581	368.6	0.138176
34	157942	62783	344.5	0.109142
35	154928	62987	319.5	0.283705
36	167192	65229	338.5	0.0948632
37	164180	65432	321.8	0.0842675
38	161165	65635	368.2	0.435202
39	158149	65837	367.8	0.220205
40	155134	66039	353.2	0.211815
41	167400	68284	267.6	0.0640473
42	164389	68485	315.6	0.0593474
43	161375	68689	370.3	0.478203
44	158358	68891	355.3	0.40365
45	155346	69094	340.5	0.458332
46	167603	71337	335.5	0.0256658
47	164591	71541	362.7	0.0226659
48	161578	71742	334.4	0.378065
49	158561	71946	359.7	0.33103
50	155549	72147	354.4	0.328926
51	182055	61157	290.0	0.0811492
52	179040	61361	235.7	0.180498
53	176027	61565	234.3	0.0816398
54	173013	61769	295.2	0.0798736
55	169998	61972	293.8	0.123001
56	182265	64211	236.5	0.0649396
57	179252	64415	323.7	0.011485
58	176237	64619	254.8	0.120931
59	173223	64822	289.5	0.0267134
60	170206	65027	380.8	0.0615272
61	182474	67265	353.2	0.0474793
62	179462	67469	426.8	0.0682064
63	176447	67673	363.9	0
64	173434	67876	282.4	0.047977
65	170417	68080	255.7	0.163082
66	182678	70319	460.2	0.00205284
67	179667	70523	476.4	0.101911
68	176652	70727	441.5	0
69	173639	70931	390.5	0
70	170622	71135	283.1	0.0496795
71	197121	60133	361.3	0.117643
72	194106	60338	313.0	0.148744
73	191092	60544	264.3	0.203747
74	188078	60749	296.1	0.115142
75	185067	60953	297.6	0.0165573
76	197332	63187	401.4	0.167115
77	194319	63393	362.0	0.267349
78	191304	63597	310.9	0.119806
79	188291	63802	296.9	0.169534
80	185278	64007	268.5	0.073009
81	197543	66241	396.9	0.225157
82	194530	66445	378.0	0.318773
83	191516	66651	368.2	0.185876
84	188503	66856	373.9	0.161862
85	185488	67060	341.9	0.00529782
86	197750	69295	394.2	0.394175
87	194735	69501	401.3	0.275768
88	191721	69705	397.4	0.313876
89	188709	69909	399.1	0.152858
90	185692	70115	423.9	0
91	197957	72349	378.0	0.134347
92	196075	44884	251.0	0.262888
93	193064	45089	239.6	0.261894
94	190050	45292	170.2	0.4913
95	187039	45499	172.9	0.343445
96	184026	45704	175.1	0.382334
97	196287	47933	313.4	0.10902
98	193275	48138	276.2	0.205833
99	190263	48344	234.1	0.357622
100	187251	48548	209.2	0.27344
101	184235	48751	208.4	0.290503
102	196499	50982	395.3	0
103	193486	51188	382.4	0
104	190474	51392	364.7	0
105	187459	51597	323.5	0
106	184446	51801	245.9	0.0314442
107	196704	54032	346.4	0.184214
108	193691	54238	374.1	8.7007e-06
109	190677	54442	387.3	0.00361461
110	187665	54646	363.8	0.1574
111	184652	54853	286.9	0.116709
112	196912	57082	281.5	0.136876
113	193897	57287	292.5	0.139486
114	190881	57492	333.9	0.000142452
115	187871	57697	355.7	0.127046
116	184859	57900	316.0	0.0338923
117	212188	59104	401.1	0.247732
118	209174	59310	384.8	0.0446512
119	206162	59517	371.3	0.112705
120	203148	59723	398.1	0.314861
