ID	STATCODE	XLAMB	YLAMB	ALT	TYPE	BETA
1	40AL02	140660	221640	0.2	0	0.678817
2	40AL03	138320	216020	1.1	0	0.762210
3	40AL04	144738	220093	2.5	0	1.080719
4	40AL05	143727	217029	8.3	0	1.011210
5	40R833	149548	224206	1.7	0	0.737260
6	40SA04	152448	222679	4.0	0	0.523458
7	40SZ01	159524	178259	25.2	2	0.617824
8	41B011	144338	171963	62.1	3	0.696947
9	41MEU1	151686	176084	34.0	3	0.875541
10	41N043	151000	174800	14.6	5	0.865162
11	41R001	147540	171030	23.2	3	1.044991
12	41R012	149280	165130	99.3	2	0.663250
13	42N045	220258	181520	34.1	2	0.649873
14	42R801	154407	211080	7.3	3	1.083773
15	42R802	154390	211050	7.5	0	1.082045
16	42R833	149547	224206	1.7	0	0.737475
17	42R841	157059	188039	6.5	2	0.637507
18	43H201	233400	146700	163.6	3	0.716464
19	43M204	237930	145320	67.0	0	0.661956
20	43N060	85521	145512	25.2	1	0.466343
21	43N063	171200	149460	140.2	1	0.461319
22	43N067	264933	145881	232.0	1	0.288086
23	43N070	119540	128350	32.0	3	0.676332
24	43N073	193960	132620	164.7	1	0.508134
25	43N085	266325	111525	501.4	1	0.073832
26	43N093	211760	107410	254.7	1	0.221343
27	43N100	166170	87160	212.4	1	0.236020
28	43N113	237720	80250	501.6	1	0.269097
29	43N121	209920	63190	426.8	1	0.248420
30	43N132	240980	46070	379.9	1	0.314579
31	43R201	235350	147130	67.2	3	0.744105
32	43R221	239030	150490	59.6	3	0.710623
33	43R222	235031	145438	83.6	4	0.726364
34	43R223	231130	146160	75.6	3	0.776790
35	43R240	222850	141940	119.8	4	0.603244
36	44N029	24655	191071	-0.2	1	0.406936
37	44R701	105169	194435	9.8	3	0.949326
38	44R731	105947	201811	4.8	4	0.732933
39	45R501	155930	122050	127.7	3	0.807664
40	45R502	156390	124240	133.5	3	0.722708
41	45R510	160830	122850	112.4	3	0.730598
42	45R511	153980	118520	155.5	3	0.568752
43	45R512	151930	121880	102.5	4	0.790895
44	40AB02	146729	225661	2.7	0	0.84355
45	40AL01	151150	214030	3.4	0	1.02182
46	40HB23	148059	206699	10.9	0	0.749156
47	40OB01	75367	179078	14.0	0	0.440187
48	40RL01	62340	183280	19.8	0	0.723787
49	40SZ02	160087	178087	27.4	0	0.610602
50	42M802	153884	216790	3.9	0	0.942936
51	42N016	205542	214045	27.2	0	0.319615
52	42N035	182928	185359	54.5	0	0.558795
53	42N054	201869	155940	122.0	0	0.533423
54	42R020	154777	181235	11.4	0	0.712162
55	42R811	158560	215807	8.3	0	0.667165
56	42R815	147446	211639	5.5	0	0.597039
57	42R831	147976	226558	2.9	0	0.445104
58	42R834	150798	197982	14.1	0	0.710059
59	44M705	64521	182374	14.6	0	0.710112
60	44N012	79753	216550	0.0	0	0.373847
61	44N052	76269	167678	21.0	0	0.643552
62	44R702	105549	192468	10.6	0	0.866761
63	44R710	108394	194736	7.0	0	0.599539
64	44R750	111845	209705	6.0	0	0.605798
65	40AB01	147285	219017	2.5	0	1.18329
