ID	STATCODE	XLAMB	YLAMB	ALT	TYPE	BETA
1	40AB01	147285	219017	2.5	4	0.850326
2	40AB02	146729	225661	2.7	4	0.706712
3	40AL01	151150	214030	3.4	2	0.785990
4	40AL02	140660	221640	0.2	0	0.588234
5	40AL05	143727	217029	8.3	0	0.683609
6	40GK06	227463	180307	43.4	0	0.702755
7	40GK09	229010	181080	53.0	0	0.834401
8	40HB23	148059	206699	10.9	4	0.688809
9	40ML01	156569	189536	9.9	2	0.709912
10	40MN01	61230	165530	13.3	4	0.715360
11	40OB01	75367	179078	14.0	4	1.000000
12	40OB02	80203	178758	11.8	0	0.661252
13	40R833	149548	224206	1.7	0	0.751535
14	40RL01	62340	183280	19.8	2	0.760712
15	40SA04	152448	222679	4.0	0	0.604252
16	40SZ02	160087	178087	27.4	2	0.668870
17	41B011	144338	171963	62.1	3	0.703744
18	41MEU1	151686	176084	34.0	3	0.849758
19	41N043	151000	174800	14.6	5	0.813472
20	41R001	147540	171030	23.2	3	0.809101
21	41R012	149280	165130	99.3	2	0.663978
22	41WOL1	154010	171800	77.0	5	0.819632
23	42M802	153884	216790	3.9	4	0.853742
24	42N016	205542	214045	27.2	1	0.367959
25	42N035	182928	185359	54.5	1	0.620125
26	42N045	220258	181520	34.1	2	0.718848
27	42N054	201869	155940	122.0	1	0.633037
28	42R020	154777	181235	11.4	3	0.794946
29	42R801	154407	211080	7.3	3	0.812930
30	42R802	154390	211050	7.5	0	0.811325
31	42R811	158560	215807	8.3	2	0.705939
32	42R815	147446	211639	5.5	4	0.626603
33	42R831	147976	226558	2.9	4	0.517808
34	42R832	148937	196707	2.0	4	0.764394
35	42R834	150795	197988	14.2	0	0.712428
36	42R841	157059	188039	6.5	2	0.674530
37	43H201	233400	146700	163.6	3	0.737044
38	43M204	237930	145320	67.0	0	0.694928
39	43N060	85521	145512	25.2	1	0.577137
40	43N063	171200	149460	140.2	1	0.595632
41	43N067	264933	145881	232.0	1	0.383744
42	43N070	119540	128350	32.0	3	0.657561
43	43N073	193960	132620	164.7	1	0.595080
44	43N085	266325	111525	501.4	1	0.121418
45	43N093	211760	107410	254.7	1	0.324236
46	43N100	166170	87160	212.4	1	0.322726
47	43N113	237720	80250	501.6	1	0.422664
48	43N121	209920	63190	426.8	1	0.344845
49	43N132	240980	46070	379.9	1	0.427054
50	43R201	235350	147130	67.2	3	0.717000
51	43R221	239030	150490	59.6	3	0.759323
52	43R222	235031	145438	83.6	4	0.741208
53	43R223	231130	146160	75.6	3	0.792996
54	43R240	222850	141940	119.8	4	0.648462
55	44M705	64521	182374	14.6	4	1.040317
56	44N012	79753	216550	0.0	1	0.504866
57	44N029	24655	191071	-0.2	1	0.576158
58	44N052	76269	167678	21.0	1	0.722319
59	44R701	105169	194435	9.8	3	0.794183
60	44R710	108394	194736	7.0	2	0.638325
61	44R731	105947	201811	4.8	4	0.730557
62	44R740	110815	204603	4.4	4	0.709266
63	44R750	111845	209705	6.0	4	0.632492
64	45R501	155930	122050	127.7	3	0.553709
65	45R502	156390	124240	133.5	3	0.491911
66	45R510	160830	122850	112.4	3	1.0
67	45R511	153980	118520	155.5	3	0.392502
68	45R512	151930	121880	102.5	4	0.570533
69	44R702	105540	192475	10.8	4	0.772291
