ID	STATCODE	XLAMB	YLAMB	ALT	TYPE	BETA
1	40AB01	147285	219017	2.5	4	0.898338
2	40AL01	151150	214030	3.4	2	0.720137
3	40GK09	229010	181080	53.0	0	0.859904
4	40R833	149547	224206	1.7	0	0.839157
5	40SA04	152448	222679	4.0	0	0.562294
6	40SZ01	159524	178259	25.2	2	0.900771
7	41N043	151000	174800	14.6	5	1.114766
8	41R001	147540	171030	23.2	3	1.180696
9	41R002	151125	168300	80.2	5	1.300000
10	41R012	149280	165130	99.3	2	0.664574
11	41WOL1	154010	171800	77.0	5	0.847888
12	42M802	153884	216790	3.9	4	1.013426
13	42N016	205542	214045	27.2	1	0.381940
14	42N045	220258	181520	34.1	2	0.744944
15	42R801	154407	211080	7.3	3	1.339810
16	42R802	154390	211050	7.5	3	1.336323
17	42R815	147446	211639	5.5	4	0.776236
18	43N085	266325	111525	501.4	1	0.158735
19	43R221	239030	150490	59.6	3	0.730867
20	44M705	64521	182374	14.6	4	0.826761
21	44N029	24655	191071	-0.2	1	0.246547
22	44R701	105169	194435	9.8	3	1.081990
23	44R702	105550	192469	10.6	5	0.974506
24	44R750	111845	209705	6.0	4	0.619006
25	45R512	151930	121880	102.5	4	0.892246
