ID	STATCODE	XLAMB	YLAMB	ALT	TYPE	BETA
1	40GK09	229010	181080	53.0	0	0.540599
2	40HB23	148059	206699	10.9	4	0.565828
3	40LD01	194547	200179	19.3	4	0.510315
4	40LD02	195718	201462	24.9	4	0.497163
5	40ML01	156569	189536	9.9	2	0.716741
6	40OB01	75367	179078	14.0	4	0.272922
7	40R833	149548	224206	1.7	0	0.753134
8	40SZ01	159524	178259	25.2	2	0.606827
9	40SZ02	160087	178087	27.4	2	0.586944
10	41B003	149995	170590	68.1	5	1.313724
11	41B004	148580	171157	25.4	3	1.264610
12	41B005	150703	169968	61.4	3	0.968150
13	41B006	150397	169802	73.0	3	1.006358
14	41B008	150521	170042	67.8	5	1.103518
15	41B011	144338	171963	62.1	3	0.711486
16	41MEU1	151686	176084	34.0	3	1.026680
17	41N043	151000	174800	14.6	5	0.986452
18	41R001	147540	171030	23.2	3	1.137453
19	41R002	151125	168300	80.2	5	1.102474
20	41R012	149280	165130	99.3	2	0.662255
21	41WOL1	154010	171800	77.0	5	0.727394
22	42M802	153884	216790	3.9	4	0.995964
23	42N015	165538	216667	12.5	1	0.440803
24	42N016	205542	214045	27.2	1	0.150395
25	42N027	236644	203352	44.3	1	0.394570
26	42N035	182928	185359	54.5	1	0.474769
27	42N040	139873	161970	51.2	1	0.294662
28	42N045	220258	181520	34.1	2	0.551224
29	42N046	237950	175401	67.8	1	0.349079
30	42N054	201869	155940	122.0	1	0.480257
31	42R010	154201	172749	65.5	4	0.699682
32	42R020	154777	181235	11.4	3	0.575502
33	42R801	154407	211080	7.3	3	1.281727
34	42R802	154390	211050	7.5	3	1.278756
35	42R811	158560	215807	8.3	2	0.614343
36	42R815	147446	211639	5.5	4	0.573549
37	42R820	155302	223403	10.4	2	0.553353
38	42R821	141724	211734	9.3	2	0.445466
39	42R822	148082	217156	2.8	4	0.989953
40	42R830	142601	223162	1.7	4	0.670255
41	42R831	147976	226558	2.9	4	0.372755
42	42R832	148937	196707	2.0	4	0.629812
43	42R834	150795	197988	14.2	0	0.500779
44	42R841	157059	188039	6.5	2	0.640880
45	42R891	151159	216212	3.9	4	1.109151
46	42R892	143727	217020	8.5	4	0.891190
47	42R893	151187	219057	3.3	4	1.263470
48	42R894	148656	219293	4.4	4	1.148950
49	42R897	148139	215578	2.8	4	0.819360
50	43N060	85521	145512	25.2	1	0.233008
51	43N063	171200	149460	140.2	1	0.294938
52	43N066	265570	147740	284.9	1	0.343967
53	43N070	119540	128350	32.0	3	0.723986
54	43N073	193960	132620	164.7	1	0.263348
55	43N085	266325	111525	501.4	1	0.005062
56	43N093	211760	107410	254.7	1	0.061433
57	43N100	166170	87160	212.4	1	0.121445
58	43N113	237720	80250	501.6	1	0.012468
59	43N121	209920	63190	426.8	1	0.117175
60	43N132	240980	46070	379.9	1	0.144094
61	43R201	235350	147130	67.2	3	0.751704
62	43R222	235031	145438	83.6	4	0.750976
63	43R223	231130	146160	75.6	3	0.703783
64	43R240	222850	141940	119.8	4	0.401944
65	44M702	107569	206396	4.2	4	0.553344
66	44M705	64521	182374	14.6	4	0.648073
67	44N012	79753	216550	0.0	1	0.191495
68	44N029	24655	191071	-0.2	1	0.193787
69	44N051	119090	165475	11.2	1	0.261149
70	44N052	76269	167678	21.0	1	0.560627
71	44R701	105169	194435	9.8	3	1.016591
72	44R710	108394	194736	7.0	2	0.544569
73	44R721	104275	197850	7.0	4	0.859020
74	44R731	105947	201811	4.8	4	0.576625
75	44R740	110815	204603	4.4	4	0.567062
76	44R750	111845	209705	6.0	4	0.455961
77	45R501	155930	122050	127.7	3	0.761513
78	45R502	156390	124240	133.5	3	0.702834
79	45R512	151930	121880	102.5	4	0.659021
