ID	STATCODE	XLAMB	YLAMB	ALT	TYPE	BETA
1	41B004	148580	171157	25.4	3	0.824880
2	41B006	150397	169802	73.0	3	0.702315
3	41B011	144338	171963	62.1	3	0.738767
4	41N043	151000	174800	14.6	5	1.035592
5	41R001	147540	171030	23.2	3	0.754189
6	41R012	149280	165130	99.3	2	0.667293
7	41WOL1	154010	171800	77.0	5	0.730028
8	42N016	205542	214045	27.2	1	0.370951
9	42N027	236644	203352	44.3	1	0.429595
10	42N035	182928	185359	54.5	1	0.498000
11	42N040	139873	161970	51.2	1	0.350169
12	42N045	220258	181520	34.1	2	0.547964
13	42N046	237950	175401	67.8	1	0.420294
14	42N054	201869	155940	122.0	1	0.663454
15	42R801	154407	211080	7.3	3	1.079489
16	42R811	158560	215807	8.3	2	0.619931
17	42R831	147976	226558	2.9	4	0.537256
18	42R841	157059	188039	6.5	2	0.708017
19	43N060	85521	145512	25.2	1	0.497425
20	43N063	171200	149460	140.2	1	0.436411
21	43N066	265570	147740	284.9	1	0.338109
22	43N070	119540	128350	32.0	3	0.747308
23	43N073	193960	132620	164.7	1	0.568316
24	43N085	266325	111525	501.4	1	0.132107
25	43N093	211760	107410	254.7	1	0.114506
26	43N100	166170	87160	212.4	1	0.238294
27	43N113	237720	80250	501.6	1	0.012468
28	43N121	209920	63190	426.8	1	0.172458
29	43N132	240980	46070	379.9	1	0.186043
30	43R201	235350	147130	67.2	3	0.692077
31	43R222	235031	145438	83.6	4	0.805394
32	43R240	222850	141940	119.8	4	0.689685
33	44M705	64521	182374	14.6	4	0.653143
34	44N012	79753	216550	0.0	1	0.276311
35	44N029	24655	191071	-0.2	1	0.395358
36	44N051	119090	165475	11.2	1	0.332105
37	44N052	76269	167678	21.0	1	0.614458
38	44R701	105169	194435	9.8	3	0.864521
39	44R710	108394	194736	7.0	2	0.543517
40	44R740	110815	204603	4.4	4	0.834333
41	45R502	156390	124240	133.5	3	0.683431
