ID	STATCODE	XLAMB	YLAMB	ALT	TYPE	BETA
1	40AB01	147285	219017	2.5	4	1.071140
2	40AB02	146729	225661	2.7	4	0.833774
3	40AL01	151150	214030	3.4	2	0.905274
4	40AL02	140660	221640	0.2	0	0.689297
5	40AL05	143727	217029	8.3	0	0.870482
6	40GK06	227463	180307	43.4	0	0.700852
7	40GK09	229010	181080	53.0	0	0.840516
8	40HB23	148059	206699	10.9	4	0.741639
9	40ML01	156569	189536	9.9	2	0.794751
10	40MN01	61230	165530	13.3	4	0.719616
11	40OB01	75367	179078	14.0	4	1.000000
12	40OB02	80203	178758	11.8	0	0.659064
13	40R833	149548	224206	1.7	0	0.900196
14	40RL01	62340	183280	19.8	2	0.768848
15	40SA04	152448	222679	4.0	0	0.608824
16	40SZ02	160087	178087	27.4	2	0.634841
17	40WZ01	211133	211068	42.3	4	0.710677
18	41B011	144338	171963	62.1	3	0.742577
19	41MEU1	151686	176084	34.0	3	1.072483
20	41N043	151000	174800	14.6	5	0.972547
21	41R001	147540	171030	23.2	3	0.832607
22	41R012	149280	165130	99.3	2	0.663581
23	41WOL1	154010	171800	77.0	5	0.838441
24	42M802	153884	216790	3.9	4	1.022612
25	42N016	205542	214045	27.2	1	0.348361
26	42N035	182928	185359	54.5	1	0.616056
27	42N045	220258	181520	34.1	2	0.716294
28	42N054	201869	155940	122.0	1	0.777524
29	42R020	154777	181235	11.4	3	0.808266
30	42R801	154407	211080	7.3	3	0.980919
31	42R802	154390	211050	7.5	0	0.977169
32	42R811	158560	215807	8.3	2	0.706998
33	42R815	147446	211639	5.5	4	0.695518
34	42R831	147976	226558	2.9	4	0.553219
35	42R832	148937	196707	2.0	4	0.831347
36	42R833	149547	224206	1.7	0	0.900381
37	42R834	150795	197988	14.2	0	0.733676
38	42R841	157059	188039	6.5	2	0.753912
39	43H201	233400	146700	163.6	3	0.739587
40	43M204	237930	145320	67.0	0	0.713399
41	43N060	85521	145512	25.2	1	0.609433
42	43N063	171200	149460	140.2	1	0.656769
43	43N066	265570	147740	284.9	1	0.569592
44	43N067	264933	145881	232.0	1	0.339381
45	43N070	119540	128350	32.0	3	0.739500
46	43N073	193960	132620	164.7	1	0.612328
47	43N085	266325	111525	501.4	1	0.095743
48	43N093	211760	107410	254.7	1	0.269429
49	43N100	166170	87160	212.4	1	0.326266
50	43N113	237720	80250	501.6	1	0.341835
51	43N121	209920	63190	426.8	1	0.293717
52	43N132	240980	46070	379.9	1	0.385796
53	43R201	235350	147130	67.2	3	0.728204
54	43R221	239030	150490	59.6	3	0.758479
55	43R222	235031	145438	83.6	4	0.824877
56	43R223	231130	146160	75.6	3	0.797046
57	43R240	222850	141940	119.8	4	0.659000
58	44M705	64521	182374	14.6	4	1.053930
59	44N012	79753	216550	0.0	1	0.512282
60	44N029	24655	191071	-0.2	1	0.662689
61	44N052	76269	167678	21.0	1	0.766154
62	44R701	105169	194435	9.8	3	0.868403
63	44R710	108394	194736	7.0	2	0.621114
64	44R731	105947	201811	4.8	4	0.751298
65	44R740	110815	204603	4.4	4	0.788894
66	44R750	111845	209705	6.0	4	0.664994
67	45R501	155930	122050	127.7	3	0.827768
68	45R502	156390	124240	133.5	3	0.731458
69	45R510	160830	122850	112.4	3	0.820049
70	45R511	153980	118520	155.5	3	0.609226
71	45R512	151930	121880	102.5	4	0.874953
