ID	STATCODE	XLAMB	YLAMB	ALT	TYPE	BETA
1	40BE06	181383	224413	28.1	4	0.876439
2	40GK09	229010	181080	53.0	0	0.494354
3	40HB23	148059	206699	10.9	4	1.000000
4	40OB01	75367	179078	14.0	4	0.561811
5	40TS07	201911	195706	23.0	4	0.750000
6	40TS21	201786	195321	25.5	0	0.495250
7	40WZ01	211133	211068	42.3	4	1.500000
8	40WZ02	209614	209545	39.9	4	0.693147
9	41B003	149995	170590	68.1	5	0.624346
10	41B005	150703	169968	61.4	3	0.647567
11	41B008	150521	170042	67.8	0	0.646974
12	41MEU1	151686	176084	34.0	3	0.508766
13	41N043	151000	174800	14.6	5	0.583809
14	41R001	147540	171030	23.2	3	0.613646
15	41R002	151125	168300	80.2	5	0.636726
16	41R012	149280	165130	99.3	2	0.664177
17	41WOL1	154010	171800	77.0	5	0.609275
18	42M802	153884	216790	3.9	4	0.911988
19	42N016	205542	214045	27.2	1	0.587452
20	42N027	236644	203352	44.3	1	0.482299
21	42N035	182928	185359	54.5	1	0.488935
22	42N045	220258	181520	34.1	2	0.491258
23	42N054	201869	155940	122.0	1	0.267978
24	42R020	154777	181235	11.4	3	0.426941
25	42R801	154407	211080	7.3	3	0.613462
26	42R811	158560	215807	8.3	2	0.686377
27	42R815	147446	211639	5.5	4	0.693147
28	42R820	155302	223403	10.4	2	0.554627
29	42R821	141724	211734	9.3	2	0.546708
30	42R822	148082	217156	2.8	4	1.414745
31	42R830	142601	223162	1.7	4	1.047838
32	42R831	147976	226558	2.9	4	0.516589
33	42R832	148937	196707	2.0	4	0.750000
34	42R891	151159	216212	3.9	4	1.450029
35	42R892	143727	217020	8.5	4	0.975985
36	42R893	151187	219057	3.3	4	1.046917
37	42R894	148656	219293	4.4	4	1.334823
38	42R897	148139	215578	2.8	4	1.203780
39	43H201	233400	146700	163.6	3	0.693147
40	43N060	85521	145512	25.2	1	0.622173
41	43N063	171200	149460	140.2	1	0.305866
42	43N066	265570	147740	284.9	1	0.516854
43	43N070	119540	128350	32.0	3	0.511186
44	43N085	266325	111525	501.4	1	0.134012
45	43N093	211760	107410	254.7	1	0.350552
46	43N100	166170	87160	212.4	1	0.238567
47	43N132	240980	46070	379.9	1	0.417631
48	43R221	239030	150490	59.6	3	0.629888
49	43R222	235031	145438	83.6	4	0.570271
50	43R223	231130	146160	75.6	3	0.710166
51	43R240	222850	141940	119.8	4	0.853820
52	44M702	107569	206396	4.2	4	0.796087
53	44N002	69993	225436	4.6	4	0.756716
54	44N029	24655	191071	-0.2	1	0.177935
55	44N051	119090	165475	11.2	1	0.423534
56	44N052	76269	167678	21.0	1	0.478417
57	44R701	105169	194435	9.8	3	0.667997
58	44R710	108394	194736	7.0	2	0.624530
59	44R721	104275	197850	7.0	4	0.879912
60	44R731	105947	201811	4.8	4	0.828221
61	44R740	110815	204603	4.4	4	0.744577
62	44R750	111845	209705	6.0	4	0.677563
63	45R501	155930	122050	127.7	3	0.613869
64	45R502	156390	124240	133.5	3	0.662889
65	45R510	160830	122850	112.4	3	0.558552
66	45R512	151930	121880	102.5	4	0.755517
