ID	XLAMB	YLAMB	ALT	CorineID
1	226000	618000	0	0.052705
2	230000	618000	0	0.066892
3	234000	618000	0	0.064027
4	206000	614000	0	0.056271
5	210000	614000	0	0.045629
6	214000	614000	0	0.048191
7	218000	614000	0	0.047555
8	174000	610000	0	0.061866
9	178000	610000	0	0.065751
10	182000	610000	0	0.06064
11	186000	610000	0	0.05889
12	190000	610000	0	0.051496
13	206000	610000	0	0.025927
14	210000	610000	0	0.039845
15	242000	610000	0	0.072898
16	246000	610000	0	0.047733
17	250000	610000	0	0.099655
18	158000	606000	0	0.055789
19	162000	606000	0	0.047286
20	166000	606000	0	0.060658
21	170000	606000	0	0.056567
22	174000	606000	0	0.006641
23	178000	606000	0	0.034844
24	182000	606000	0	0.044348
25	186000	606000	0	0.056271
26	190000	606000	0	0.066132
27	194000	606000	0	0.068686
28	206000	606000	0	0.064717
29	210000	606000	0	0.068686
30	226000	606000	0	0.063367
31	230000	606000	0	0.055629
32	234000	606000	0	0.042462
33	238000	606000	0	0.01021
34	242000	606000	0	0.001831
35	246000	606000	0	0.013749
36	250000	606000	0	0.028655
37	254000	606000	0	0.075123
38	142000	602000	0	0.059506
39	146000	602000	0	0.038376
40	150000	602000	2	0.0205
41	154000	602000	1	0.021044
42	158000	602000	0	0.039734
43	186000	602000	0	0.068686
44	190000	602000	0	0.067859
45	194000	602000	0	0.049894
46	198000	602000	0	0.034326
47	202000	602000	0	0.032272
48	206000	602000	0	0.050943
49	210000	602000	0	0.078872
50	214000	602000	0	0.049453
51	218000	602000	0	0.039328
52	222000	602000	0	0.01501
53	226000	602000	0	0.000997
54	230000	602000	0	0
55	234000	602000	0	0.016163
56	238000	602000	0	0.01256
57	242000	602000	0	0.022653
58	246000	602000	0	0.007287
59	250000	602000	0	0.009689
60	254000	602000	0	0.032354
61	142000	598000	2	0.029656
62	146000	598000	0	0.039048
63	150000	598000	0	0.055403
64	182000	598000	0	0.065439
65	186000	598000	0	0.033951
66	190000	598000	0	0.012991
67	194000	598000	0	0.006826
68	198000	598000	0	0.007737
69	202000	598000	0	0.006829
70	206000	598000	0	0.029801
71	210000	598000	0	0.064166
72	214000	598000	0	0.021536
73	218000	598000	0	0.006685
74	222000	598000	0	0.014221
75	226000	598000	0	0.008043
76	230000	598000	0	0.010146
77	234000	598000	0	0
78	238000	598000	0	0.008506
79	242000	598000	0	0
80	246000	598000	0	0.00577
81	250000	598000	0	0
82	254000	598000	0	0.017027
83	138000	594000	0	0.068686
84	174000	594000	0	0.060928
85	178000	594000	0	0.034238
86	182000	594000	0	0.012398
87	186000	594000	0	0.00803
88	190000	594000	0	0
89	194000	594000	0	0.064644
90	198000	594000	0	0.050076
91	202000	594000	0	0
92	206000	594000	0	0.021633
93	210000	594000	0	0.052268
94	214000	594000	0	0.026543
95	218000	594000	0	0.008615
96	222000	594000	0	0
97	226000	594000	0	0
98	230000	594000	0	0.03929
99	234000	594000	0	0.001827
100	238000	594000	-1	0.003954
101	242000	594000	0	0.00743
102	246000	594000	0	0.01105
103	250000	594000	0	0.005942
104	254000	594000	0	0.092765
105	258000	594000	0	0.306637
106	262000	594000	0	0.172081
107	130000	590000	0	0.044287
108	134000	590000	0	0.046405
109	138000	590000	0	0.059083
110	170000	590000	0	0.015466
111	174000	590000	0	0.003896
112	178000	590000	0	0
113	182000	590000	0	0.012234
114	186000	590000	0	0.007737
115	190000	590000	0	0.001185
116	194000	590000	0	0.029006
117	198000	590000	0	0.02111
118	202000	590000	0	0
119	206000	590000	0	0.024991
120	210000	590000	0	0
121	214000	590000	0	0
122	218000	590000	0	0.055514
123	222000	590000	0	0.005912
124	226000	590000	0	0
125	230000	590000	0	0.004259
126	234000	590000	0	0.02215
127	238000	590000	-1	0.015705
128	242000	590000	-1	0.018688
129	246000	590000	-1	0.003615
130	250000	590000	-1	0.011503
131	254000	590000	-2	0.000485
132	258000	590000	-2	0.005171
133	262000	590000	-2	0.09277
134	266000	590000	-1	0.02808
135	270000	590000	0	0.066579
136	126000	586000	0	0.045087
137	166000	586000	0	0.015531
138	170000	586000	0	0.01767
139	174000	586000	0	0.029707
140	178000	586000	0	0.017203
141	182000	586000	0	0.029263
142	186000	586000	0	0
143	190000	586000	0	0.015561
144	194000	586000	-1	0.008752
145	198000	586000	0	0.030687
146	202000	586000	1	0.013326
147	206000	586000	0	0.042443
148	210000	586000	0	0.001674
149	214000	586000	0	0.00137
150	218000	586000	0	0.034264
151	222000	586000	0	0.080192
152	226000	586000	0	0.012554
153	230000	586000	0	0.034224
154	234000	586000	0	0.049829
155	238000	586000	-1	0.021489
156	242000	586000	-1	0.005196
157	246000	586000	-1	0.000886
158	250000	586000	-2	0.013265
159	254000	586000	-2	0.019745
160	258000	586000	-2	0.029505
161	262000	586000	-2	0.006826
162	266000	586000	-1	0.002218
163	270000	586000	0	0.042519
164	274000	586000	0	0.060797
165	122000	582000	1	0.032181
166	126000	582000	0	0.057974
167	158000	582000	0	0.058751
