ID	XLAMB	YLAMB	ALT	BETA
1	226000	618000	0	0.0540559
2	230000	618000	0	0.0590973
3	234000	618000	0	0.0639347
4	206000	614000	0	0.0567237
5	210000	614000	0	0.0464874
6	214000	614000	0	0.0467416
7	218000	614000	0	0.0448635
8	174000	610000	0	0.0622158
9	178000	610000	0	0.0668273
10	182000	610000	0	0.0618467
11	186000	610000	0	0.0597906
12	190000	610000	0	0.0528569
13	206000	610000	0	0.0260661
14	210000	610000	0	0.0391189
15	242000	610000	0	0.0758847
16	246000	610000	0	0.0479154
17	250000	610000	0	0.103148
18	158000	606000	0	0.0558679
19	162000	606000	0	0.047715
20	166000	606000	0	0.0637581
21	170000	606000	0	0.0544913
22	174000	606000	0	0.00744178
23	178000	606000	0	0.0333038
24	182000	606000	0	0.0445335
25	186000	606000	0	0.0563113
26	190000	606000	0	0.0665265
27	194000	606000	0	0.0687795
28	206000	606000	0	0.0650168
29	210000	606000	0	0.0687795
30	226000	606000	0	0.0639602
31	230000	606000	0	0.0564667
32	234000	606000	0	0.0423161
33	238000	606000	0	0.0104069
34	242000	606000	0	0.0010855
35	246000	606000	0	0.0152748
36	250000	606000	0	0.103638
37	254000	606000	0	0.175073
38	142000	602000	0	0.0598298
39	146000	602000	0	0.0382451
40	150000	602000	2	0.0201028
41	154000	602000	1	0.0208067
42	158000	602000	0	0.0389456
43	186000	602000	0	0.0687795
44	190000	602000	0	0.0675487
45	194000	602000	0	0.0506144
46	198000	602000	0	0.0343219
47	202000	602000	0	0.0322856
48	206000	602000	0	0.0507506
49	210000	602000	0	0.0751371
50	214000	602000	0	0.0576051
51	218000	602000	0	0.0391059
52	222000	602000	0	0.0157535
53	226000	602000	0	0.000881866
54	230000	602000	0	0.00654957
55	234000	602000	0	0.0190166
56	238000	602000	0	0.0194295
57	242000	602000	0	0.0356547
58	246000	602000	0	0.0055822
59	250000	602000	0	0.0143344
60	254000	602000	0	0.0321983
61	142000	598000	2	0.0289944
62	146000	598000	0	0.0565801
63	150000	598000	0	0.0551395
64	182000	598000	0	0.0654147
65	186000	598000	0	0.0342602
66	190000	598000	0	0.0132794
67	194000	598000	0	0.00751705
68	198000	598000	0	0.00860025
69	202000	598000	0	0.00638324
70	206000	598000	0	0.0450679
71	210000	598000	0	0.0430742
72	214000	598000	0	0.0219549
73	218000	598000	0	0.01389
74	222000	598000	0	0.017065
75	226000	598000	0	0.0139403
76	230000	598000	0	0.0133045
77	234000	598000	0	0
78	238000	598000	0	0.0168256
79	242000	598000	0	0
80	246000	598000	0	0.00511565
81	250000	598000	0	0
82	254000	598000	0	0.0179615
83	138000	594000	0	0.0687795
84	174000	594000	0	0.0610518
85	178000	594000	0	0.0381017
86	182000	594000	0	0.0165504
87	186000	594000	0	0.00861477
88	190000	594000	0	0
89	194000	594000	0	0.0936532
90	198000	594000	0	0.0547762
91	202000	594000	0	0
92	206000	594000	0	0.0201025
93	210000	594000	0	0.052326
94	214000	594000	0	0.0268997
95	218000	594000	0	0.0136649
96	222000	594000	0	0.00133503
97	226000	594000	0	0.000712063
98	230000	594000	0	0.0434025
99	234000	594000	0	0.00179138
100	238000	594000	-1	0.00472469
101	242000	594000	0	0.00900371
102	246000	594000	0	0.0182704
103	250000	594000	0	0.00529829
104	254000	594000	0	0.100519
105	258000	594000	0	0.305443
106	262000	594000	0	0.19013
107	130000	590000	0	0.044576
108	134000	590000	0	0.0560877
109	138000	590000	0	0.0590441
110	170000	590000	0	0.0157249
111	174000	590000	0	0.00526883
112	178000	590000	0	0
113	182000	590000	0	0.0169533
114	186000	590000	0	0.00738826
115	190000	590000	0	0.0012245
116	194000	590000	0	0.03239
117	198000	590000	0	0.0190122
118	202000	590000	0	0.00659835
119	206000	590000	0	0.029886
120	210000	590000	0	0
121	214000	590000	0	4.49E-05
122	218000	590000	0	0.0357151
123	222000	590000	0	0.00518098
124	226000	590000	0	0.00447991
125	230000	590000	0	0.00534894
126	234000	590000	0	0.0298497
127	238000	590000	-1	0.0210986
128	242000	590000	-1	0.0229156
129	246000	590000	-1	0.00977728
130	250000	590000	-1	0.0173123
131	254000	590000	-2	0.00298361
132	258000	590000	-2	0.00255354
133	262000	590000	-2	0.0623953
134	266000	590000	-1	0.027133
135	270000	590000	0	0.0664922
136	126000	586000	0	0.0452001
137	166000	586000	0	0.0156392
138	170000	586000	0	0.0215552
139	174000	586000	0	0.049329
140	178000	586000	0	0.0176668
141	182000	586000	0	0.0316166
142	186000	586000	0	0
143	190000	586000	0	0.0187792
144	194000	586000	-1	0.0209077
145	198000	586000	0	0.0403331
146	202000	586000	1	0.018347
147	206000	586000	0	0.0606534
148	210000	586000	0	0.00154591
149	214000	586000	0	0.00230704
150	218000	586000	0	0.0396818
151	222000	586000	0	0.0894505
152	226000	586000	0	0.0137336
153	230000	586000	0	0.0408278
154	234000	586000	0	0.0596879
155	238000	586000	-1	0.0207404
156	242000	586000	-1	0.00513655
157	246000	586000	-1	0.00081452
158	250000	586000	-2	0.0127458
159	254000	586000	-2	0.0229334
160	258000	586000	-3	0.0295882
161	262000	586000	-2	0.00608451
162	266000	586000	-1	0.00247059
163	270000	586000	0	0.0423883
164	274000	586000	0	0.0620061
165	122000	582000	0	0.0321875
166	126000	582000	0	0.0577264
167	158000	582000	0	0.0587701
168	162000	582000	0	0.0163179
169	166000	582000	0	0.0132522
170	170000	582000	0	0.000628147
171	174000	582000	0	0.0291377
172	178000	582000	0	0.158456
173	182000	582000	0	0.136703
174	186000	582000	-1	0.0581177
175	190000	582000	-1	0.0403427
176	194000	582000	0	0.0564798
177	198000	582000	0	0.0485609
178	202000	582000	0	0.0543355
179	206000	582000	0	0.00853785
180	210000	582000	0	0.00915699
181	214000	582000	0	0.0326461
182	218000	582000	0	0.0157826
183	222000	582000	0	0.00202933
184	226000	582000	0	0.00887358
185	230000	582000	0	0.229975
186	234000	582000	1	0.330921
187	238000	582000	0	0.23418
188	242000	582000	-1	0.0191267
189	246000	582000	-1	0.000906304
190	250000	582000	-1	0.0230915
191	254000	582000	-2	0.0016873
192	258000	582000	-2	0.000128531
193	262000	582000	-1	0.000361615
194	266000	582000	0	0.0178638
195	270000	582000	0	0.00591447
196	274000	582000	-1	0.00030948
197	278000	582000	0	0.00187001
198	118000	578000	0	0.0581759
199	122000	578000	0	0.0672663
200	158000	578000	0	0.191939
201	162000	578000	0	0.0354084
202	166000	578000	0	0.142665
203	170000	578000	0	0.00717213
204	174000	578000	0	0.0170995
205	178000	578000	0	0.0705649
206	182000	578000	0	0.255979
207	186000	578000	-1	0.203452
208	190000	578000	-1	0.000434515
209	194000	578000	0	0.0899226
210	198000	578000	0	0.053556
211	202000	578000	1	0.0415186
212	206000	578000	0	0.0987613
213	210000	578000	0	0.0388552
214	214000	578000	0	0.0108358
215	218000	578000	0	0.00425374
216	222000	578000	0	0.0931618
217	226000	578000	0	0.0271512
218	230000	578000	0	0.0674218
219	234000	578000	0	0.149044
220	238000	578000	0	0.118735
221	242000	578000	0	0.100484
222	246000	578000	0	0.133151
223	250000	578000	0	0.0214221
224	254000	578000	0	0.0732531
225	258000	578000	-1	0.0158487
226	262000	578000	0	0.0738583
227	266000	578000	-2	0.0653317
228	270000	578000	-1	0.039127
229	274000	578000	-1	0.0157672
230	278000	578000	-1	0.029297
231	118000	574000	0	0.0173392
232	122000	574000	0	0.0413642
233	158000	574000	0	0.0683854
234	162000	574000	0	0
235	166000	574000	0	0.00470151
236	170000	574000	0	0.0108133
237	174000	574000	0	0
238	178000	574000	0	0
239	182000	574000	0	0.0254067
240	186000	574000	-1	0.0304114
241	190000	574000	-1	0.0208175
242	194000	574000	0	0.01834
243	198000	574000	0	0.00958329
244	202000	574000	0	0.0169868
245	206000	574000	2	0
246	210000	574000	2	0.00290599
247	214000	574000	1	0.0681248
248	218000	574000	1	0.00284585
249	222000	574000	2	0.106859
250	226000	574000	0	0.114879
251	230000	574000	0	0.0271038
252	234000	574000	1	0.0658901
253	238000	574000	2	0.0439288
254	242000	574000	0	0.0419941
255	246000	574000	0	0.0957722
256	250000	574000	0	0.0826805
257	254000	574000	0	0.0596273
258	258000	574000	-1	0.0219247
259	262000	574000	-1	0.0250717
260	266000	574000	0	0.20493
261	270000	574000	-1	0.00264737
262	274000	574000	-2	0.00752449
263	114000	570000	0	0.0356175
264	118000	570000	0	0.0425705
265	122000	570000	0	0.0317014
266	154000	570000	0	0.0740138
267	158000	570000	0	0.00338734
268	162000	570000	0	0.0139727
269	166000	570000	0	0.000914956
270	170000	570000	0	0.0181856
271	174000	570000	0	0
272	178000	570000	0	0.00809652
273	182000	570000	0	0.00535734
274	186000	570000	-1	0.0236164
275	190000	570000	0	0.0337948
276	194000	570000	0	0.0212941
277	198000	570000	0	0.0576489
278	202000	570000	1	0.299622
279	206000	570000	2	0.14025
280	210000	570000	2	0.000161409
281	214000	570000	3	0.00952971
282	218000	570000	3	0.00815821
283	222000	570000	4	0.0156743
284	226000	570000	3	0.00116744
285	230000	570000	2	0
286	234000	570000	3	0.08902
287	238000	570000	3	0.0257088
288	242000	570000	0	0.0387375
289	246000	570000	0	0.000367361
290	250000	570000	0	1.54E-05
291	254000	570000	0	0.246545
292	258000	570000	0	0.0376999
293	262000	570000	0	0.0444114
294	266000	570000	-1	0.0382243
295	270000	570000	-1	0.00736658
296	274000	570000	0	0.0221369
297	278000	570000	0	0.000211514
298	110000	566000	0	0.0557781
299	114000	566000	0	0.00959788
300	118000	566000	0	1.27E-05
301	122000	566000	0	0.0374853
302	150000	566000	0	0.0687795
303	154000	566000	0	0.0801391
304	158000	566000	0	0.00183766
305	162000	566000	0	0.0389386
306	166000	566000	0	0.0263286
307	170000	566000	0	0.00529986
308	174000	566000	0	0.00302641
309	178000	566000	0	0
310	182000	566000	0	0.0125696
311	186000	566000	0	0.0713486
312	190000	566000	0	0.00580468
313	194000	566000	-1	0.003747
314	198000	566000	-1	0.0293931
315	202000	566000	1	0.0651459
316	206000	566000	1	0.0284114
317	210000	566000	3	0.00125043
318	214000	566000	5	0.00875154
319	218000	566000	5	0.0365264
320	222000	566000	5	0.00164165
321	226000	566000	8	0.0421941
322	230000	566000	7	5.43E-06
323	234000	566000	6	0.038386
324	238000	566000	6	0.0348993
325	242000	566000	8	0.0466717
326	246000	566000	0	0.00853565
327	250000	566000	0	0
328	254000	566000	0	0.0742646
329	258000	566000	0	0.0140978
330	262000	566000	0	0.0590147
331	266000	566000	0	0.00077952
332	270000	566000	0	0.0232991
333	274000	566000	0	0.000239748
334	278000	566000	0	0.0176242
335	110000	562000	0	0.0315879
336	114000	562000	0	0.0341258
337	118000	562000	0	0.0491489
338	146000	562000	0	0.0687795
339	154000	562000	0	0.0641232
340	158000	562000	0	0.0187097
341	162000	562000	0	0.0279952
342	166000	562000	0	0.0200916
343	170000	562000	0	0.0815503
344	174000	562000	0	0.135326
345	178000	562000	-1	0.0153708
346	182000	562000	0	0.0363441
347	186000	562000	0	0.0474235
348	190000	562000	0	0.00918899
349	194000	562000	-1	0.00777666
350	198000	562000	-1	6.69E-06
351	202000	562000	2	0.0144205
352	206000	562000	3	0
353	210000	562000	4	0.0125035
354	214000	562000	5	0
355	218000	562000	5	0
356	222000	562000	7	0.0403729
357	226000	562000	9	0.0354425
358	230000	562000	10	9.85E-06
359	234000	562000	10	0.0571413
360	238000	562000	7	0.0096795
361	242000	562000	10	0.0127171
362	246000	562000	9	0.0125294
363	250000	562000	1	0.000241962
364	254000	562000	2	0.00832426
365	258000	562000	1	0.00906139
366	262000	562000	1	0.0107771
367	266000	562000	2	0.0137007
368	270000	562000	0	0.00969549
369	274000	562000	1	0.00527285
370	278000	562000	1	0.00478499
371	110000	558000	0	0.0314155
372	114000	558000	0	0.0274842
373	142000	558000	0	0.0965694
374	154000	558000	0	0.0685467
375	158000	558000	0	0.00483656
376	162000	558000	0	0.00310851
377	166000	558000	0	0.00811211
378	170000	558000	0	0.02452
379	174000	558000	0	0.152452
380	178000	558000	0	0.0349513
381	182000	558000	0	0.0119764
382	186000	558000	0	2.34E-05
383	190000	558000	0	0.0191686
384	194000	558000	-1	0.00385283
385	198000	558000	-1	0.041502
386	202000	558000	0	0.0526094
387	206000	558000	3	0.0113411
388	210000	558000	3	0.00422957
389	214000	558000	4	0.0303076
390	218000	558000	6	0.012703
391	222000	558000	9	0.0481761
392	226000	558000	10	0.0221368
393	230000	558000	10	0.064226
394	234000	558000	11	0.289719
395	238000	558000	10	0.0280342
396	242000	558000	11	0.00143115
397	246000	558000	17	0.0722188
398	250000	558000	2	0.00169709
399	254000	558000	2	0.0240121
400	258000	558000	3	0.0450787
401	262000	558000	3	0.0743787
402	266000	558000	2	0
403	270000	558000	1	0.00258329
404	274000	558000	2	0.00796704
405	278000	558000	3	0.00347927
406	110000	554000	0	0.0955625
407	114000	554000	0	0.174965
408	138000	554000	0	0.0687795
409	158000	554000	0	0.0686166
410	162000	554000	0	0.0161486
411	166000	554000	0	0.0149398
412	170000	554000	0	0.0845291
413	174000	554000	0	0.00900536
414	178000	554000	0	0.0238157
415	182000	554000	0	0.115222
416	186000	554000	0	0.067513
417	190000	554000	0	0.304212
418	194000	554000	0	0.0558419
419	198000	554000	0	0
420	202000	554000	1	0.00144468
421	206000	554000	2	0
422	210000	554000	4	0
423	214000	554000	5	0.0186148
424	218000	554000	6	0.0618751
425	222000	554000	9	0.0209023
426	226000	554000	10	0.0189975
427	230000	554000	12	0.0209156
428	234000	554000	10	0.0584115
429	238000	554000	12	0.0112389
430	242000	554000	14	0.0082363
431	246000	554000	24	0.00530766
432	250000	554000	16	0.0153938
433	254000	554000	4	0.00612719
434	258000	554000	4	0.0374406
435	262000	554000	5	0.143892
436	266000	554000	4	0
437	270000	554000	5	0.00725393
438	274000	554000	4	0.00584063
439	110000	550000	0	0.0744801
440	114000	550000	0	0.353228
441	126000	550000	0	0.0593244
442	130000	550000	0	0.074842
443	134000	550000	0	0.0689104
444	154000	550000	0	0.0710878
445	158000	550000	0	0.013091
446	162000	550000	0	0.0205024
447	166000	550000	0	0.0390669
448	170000	550000	0	0.0479558
449	174000	550000	0	0.0345939
450	178000	550000	0	0.0173311
451	182000	550000	0	0.010029
452	186000	550000	0	0.0130781
453	190000	550000	0	0.0700782
454	194000	550000	1	0.114013
455	198000	550000	0	0.0089532
456	202000	550000	0	0.00589215
457	206000	550000	2	0.0106871
458	210000	550000	3	0
459	214000	550000	7	0
460	218000	550000	15	0.000530116
461	222000	550000	10	0.00178153
462	226000	550000	12	0.0309553
463	230000	550000	13	0.00235091
464	234000	550000	14	0.00830777
465	238000	550000	14	0.0207081
466	242000	550000	17	0.00805883
467	246000	550000	17	2.05E-06
468	250000	550000	16	0.034066
469	254000	550000	5	0.0483589
470	258000	550000	6	0.0486372
471	262000	550000	6	0.00637483
472	266000	550000	7	0.108892
473	270000	550000	6	0.00248366
474	274000	550000	7	0.000316165
475	110000	546000	0	0.0608308
476	114000	546000	0	0.11877
477	118000	546000	0	0.041504
478	122000	546000	0	0.0600179
479	126000	546000	0	0.0338637
480	130000	546000	0	0
481	134000	546000	0	0.0448671
482	154000	546000	0	0.0503543
483	158000	546000	0	0.0320917
484	162000	546000	0	0.0182414
485	166000	546000	0	0.0193652
486	170000	546000	0	0.0375396
487	174000	546000	0	0.0169186
488	178000	546000	0	0.0119641
489	182000	546000	0	0.0534042
490	186000	546000	0	0.0261714
491	190000	546000	0	0.00748535
492	194000	546000	0	0.0323075
493	198000	546000	0	0.0358004
494	202000	546000	0	0.000162562
495	206000	546000	2	0.0231754
496	210000	546000	4	0
497	214000	546000	8	0
498	218000	546000	17	0
499	222000	546000	11	0.0131439
500	226000	546000	12	0.000796449
501	230000	546000	13	0
502	234000	546000	14	0
503	238000	546000	16	0.000720405
504	242000	546000	22	4.20E-08
505	246000	546000	15	0.006073
506	250000	546000	17	1.42E-05
507	254000	546000	19	0.0158979
508	258000	546000	7	0.0170953
509	262000	546000	7	0.0269959
510	266000	546000	8	0.0910412
511	270000	546000	8	0.00358231
512	110000	542000	0	0.0177162
513	114000	542000	0	0.0482229
514	118000	542000	0	0.0391829
515	122000	542000	0	0.0185261
516	126000	542000	-1	0.00444648
517	130000	542000	-3	0.0244883
518	134000	542000	-3	0.0122579
519	154000	542000	0	0.0574226
520	158000	542000	0	0.0205913
521	162000	542000	0	0.00331425
522	166000	542000	3	0.00634832
523	170000	542000	0	0.0103996
524	174000	542000	0	0.0551086
525	178000	542000	0	0.0327071
526	182000	542000	-1	0.015556
527	186000	542000	0	0.0134446
528	190000	542000	-1	0.0144721
529	194000	542000	0	0.0582639
530	198000	542000	0	0.069661
531	202000	542000	0	0.00842319
532	206000	542000	3	0
533	210000	542000	5	0.0175255
534	214000	542000	6	0
535	218000	542000	11	0.0244363
536	222000	542000	9	0
537	226000	542000	9	0
538	230000	542000	12	0.0983164
539	234000	542000	13	0
540	238000	542000	15	0.0346274
541	242000	542000	16	0
542	246000	542000	18	0.014135
543	250000	542000	16	0
544	254000	542000	22	0.0184946
545	258000	542000	8	0.0255729
546	262000	542000	9	0.0329484
547	266000	542000	10	0.0039569
548	270000	542000	10	0.0510926
549	110000	538000	0	0.0145162
550	114000	538000	0	0.0151104
551	118000	538000	0	0.00995938
552	122000	538000	-1	0.00602575
553	126000	538000	-2	0.00980808
554	130000	538000	-3	0.0992076
555	134000	538000	-4	0
556	138000	538000	0	0.0614677
557	166000	538000	0	0.0448861
558	170000	538000	0	0.0685357
559	174000	538000	0	0.0424888
560	178000	538000	-1	0.058887
561	182000	538000	0	0
562	186000	538000	0	0
563	190000	538000	0	0.0395834
564	194000	538000	0	0.0396532
565	198000	538000	3	0.00514207
566	202000	538000	8	0
567	206000	538000	1	0.00566964
568	210000	538000	1	0.0166141
569	214000	538000	5	0.00452263
570	218000	538000	6	0.000114548
571	222000	538000	10	0.0194414
572	226000	538000	16	0
573	230000	538000	13	1.02E-05
574	234000	538000	14	0
575	238000	538000	14	0.000371648
576	242000	538000	16	9.97E-06
577	246000	538000	17	0.00137138
578	250000	538000	17	1.19E-05
579	254000	538000	18	0.00983168
580	258000	538000	20	0.00660794
581	262000	538000	11	0.0106367
582	266000	538000	12	0.063529
583	270000	538000	12	0.0152053
584	106000	534000	0	0.0858489
585	110000	534000	0	0.000615809
586	114000	534000	0	0.118984
587	118000	534000	0	0.0136324
588	122000	534000	0	0.00471113
589	126000	534000	-2	0
590	130000	534000	-3	0.0143498
591	134000	534000	-4	0.000456584
592	170000	534000	0	0.052013
593	174000	534000	-3	0.010955
594	178000	534000	-3	0.00342043
595	182000	534000	0	0.00321265
596	186000	534000	0	0.00799776
597	190000	534000	0	0.0374232
598	194000	534000	0	0.0280798
599	198000	534000	0	0.00874936
600	202000	534000	0	0.111768
601	206000	534000	1	0.0918898
602	210000	534000	6	0.0327235
603	214000	534000	7	0.0192657
604	218000	534000	4	0
605	222000	534000	9	9.94E-06
606	226000	534000	11	0.00372363
607	230000	534000	12	0.0180402
608	234000	534000	13	0.000423287
609	238000	534000	15	2.28E-08
610	242000	534000	15	0.00750248
611	246000	534000	15	0.016005
612	250000	534000	16	0.00861707
613	254000	534000	16	0.0138015
614	258000	534000	23	0.246006
615	262000	534000	14	0.0344918
616	266000	534000	13	0.0162398
617	270000	534000	14	0.00895537
618	106000	530000	0	0.0395725
619	110000	530000	0	0.00913952
620	114000	530000	0	0.0186943
621	118000	530000	0	0.0075166
622	122000	530000	0	0.0693204
623	126000	530000	-1	0
624	130000	530000	-2	0.0215296
625	134000	530000	-1	0.0823658
626	138000	530000	0	0.0810608
627	142000	530000	0	0.0738228
628	146000	530000	0	0.0973053
629	170000	530000	-3	0.019581
630	174000	530000	-3	0.00765016
631	178000	530000	-3	0.0110826
632	182000	530000	-2	0.00266155
633	186000	530000	-2	0.00557441
634	190000	530000	0	0.00688673
635	194000	530000	0	0.0389154
636	198000	530000	-1	0.000311601
637	202000	530000	-1	0.0299968
638	206000	530000	0	0.00198798
639	210000	530000	0	0.00343365
640	214000	530000	0	0.00786514
641	218000	530000	1	0.0202737
