ID	XLAMB	YLAMB	ALT	BETA
1	226000	618000	0	0
2	230000	618000	0	0
3	234000	618000	0	0
4	206000	614000	0	0
5	210000	614000	0	0
6	214000	614000	0	0
7	218000	614000	0	0
8	174000	610000	0	0
9	178000	610000	0	0
10	182000	610000	0	0
11	186000	610000	0	0
12	190000	610000	0	0
13	206000	610000	0	0.0319
14	210000	610000	0	0.0154
15	242000	610000	0	0.0497
16	246000	610000	0	0.0544
17	250000	610000	0	0.0412
18	158000	606000	0	0.0003
19	162000	606000	0	0
20	166000	606000	0	0
21	170000	606000	0	0.0397
22	174000	606000	0	0.1214
23	178000	606000	0	0.0458
24	182000	606000	0	0.0896
25	186000	606000	0	0.0168
26	190000	606000	0	0
27	194000	606000	0	0
28	206000	606000	0	0
29	210000	606000	0	0
30	226000	606000	0	0.0129
31	230000	606000	0	0.0326
32	234000	606000	0	0.0683
33	238000	606000	0	0.1428
34	242000	606000	0	0.1666
35	246000	606000	0	0.1805
36	250000	606000	0	0.2192
37	254000	606000	0	0.1737
38	142000	602000	0	0
39	146000	602000	0	0.0046
40	150000	602000	2	0.0445
41	154000	602000	1	0.0586
42	158000	602000	0	0.0116
43	186000	602000	0	0
44	190000	602000	0	0.0033
45	194000	602000	0	0.0476
46	198000	602000	0	0.0878
47	202000	602000	0	0.0926
48	206000	602000	0	0.0457
49	210000	602000	0	0.0622
50	214000	602000	0	0.1077
51	218000	602000	0	0.0762
52	222000	602000	0	0.146
53	226000	602000	0	0.165
54	230000	602000	0	0.1676
55	234000	602000	0	0.1843
56	238000	602000	0	0.1859
57	242000	602000	0	0.2005
58	246000	602000	0	0.171
59	250000	602000	0	0.1796
60	254000	602000	0	0.1122
61	142000	598000	2	0.0235
62	146000	598000	0	0.0684
63	150000	598000	0	0.0561
64	182000	598000	0	0.0091
65	186000	598000	0	0.0879
66	190000	598000	0	0.1634
67	194000	598000	0	0.1729
68	198000	598000	0	0.174
69	202000	598000	0	0.1718
70	206000	598000	0	0.1217
71	210000	598000	0	0.0031
72	214000	598000	0	0.1242
73	218000	598000	0	0.1792
74	222000	598000	0	0.1823
75	226000	598000	0	0.1792
76	230000	598000	0	0.1786
77	234000	598000	0	0.1655
78	238000	598000	0	0.182
79	242000	598000	0	0.1668
80	246000	598000	0	0.1689
81	250000	598000	0	0.1626
82	254000	598000	0	0.1517
83	138000	594000	0	0
84	174000	594000	0	0.0206
85	178000	594000	0	0.0786
86	182000	594000	0	0.1602
87	186000	594000	0	0.174
88	190000	594000	0	0.1655
89	194000	594000	0	0.2417
90	198000	594000	0	0.2133
91	202000	594000	0	0.1655
92	206000	594000	0	0.1194
93	210000	594000	0	0.041
94	214000	594000	0	0.1151
95	218000	594000	0	0.2078
96	222000	594000	0	0.1753
97	226000	594000	0	0.1662
98	230000	594000	0	0.2082
99	234000	594000	0	0.1673
100	238000	594000	-1	0.1702
101	242000	594000	0	0.1744
102	246000	594000	0	0.1835
103	250000	594000	0	0.1707
104	254000	594000	0	0.2723
105	258000	594000	0	0.3869
106	262000	594000	0	0.1427
107	130000	590000	0	0
108	134000	590000	0	0.0277
109	138000	590000	0	0
110	170000	590000	0	0.131
111	174000	590000	0	0.1689
112	178000	590000	0	0.1655
113	182000	590000	0	0.1822
114	186000	590000	0	0.1728
115	190000	590000	0	0.163
116	194000	590000	0	0.1921
117	198000	590000	0	0.1842
118	202000	590000	0	0.172
119	206000	590000	0	0.192
120	210000	590000	0	0.1655
121	214000	590000	0	0.1749
122	218000	590000	0	0.1849
123	222000	590000	0	0.1706
124	226000	590000	0	0.1699
125	230000	590000	0	0.1708
126	234000	590000	0	0.1935
127	238000	590000	-1	0.1845
128	242000	590000	-1	0.1879
129	246000	590000	-1	0.1769
130	250000	590000	-1	0.1476
131	254000	590000	-2	0.1615
132	258000	590000	-2	0.1673
133	262000	590000	-2	0.1949
134	266000	590000	-1	0.1664
135	270000	590000	0	0.0062
136	126000	586000	0	0
137	166000	586000	0	0.1312
138	170000	586000	0	0.1867
139	174000	586000	0	0.2076
140	178000	586000	0	0.1829
141	182000	586000	0	0.1966
142	186000	586000	0	0.1655
143	190000	586000	0	0.1869
144	194000	586000	-1	0.1518
145	198000	586000	0	0.1976
146	202000	586000	1	0.1789
147	206000	586000	0	0.2192
148	210000	586000	0	0.167
149	214000	586000	0	0.1714
150	218000	586000	0	0.1959
151	222000	586000	0	0.2382
152	226000	586000	0	0.1765
153	230000	586000	0	0.1977
154	234000	586000	0	0.2236
155	238000	586000	-1	0.1799
156	242000	586000	-1	0.1851
157	246000	586000	-1	0.1657
158	250000	586000	-2	0.1566
159	254000	586000	-2	0.186
160	258000	586000	-3	0.1655
161	262000	586000	-2	0.1713
162	266000	586000	-1	0.1604
163	270000	586000	0	0.0682
164	274000	586000	0	0.0181
165	122000	582000	0	0
166	126000	582000	0	0
167	158000	582000	0	0.0266
168	162000	582000	0	0.1597
169	166000	582000	0	0.1785
170	170000	582000	0	0.1661
171	174000	582000	0	0.1941
172	178000	582000	0	0.2813
173	182000	582000	0	0.2713
174	186000	582000	-1	0.187
175	190000	582000	-1	0.1652
176	194000	582000	0	0.1963
177	198000	582000	0	0.1988
178	202000	582000	0	0.2026
179	206000	582000	0	0.172
180	210000	582000	0	0.1745
181	214000	582000	0	0.1976
182	218000	582000	0	0.181
183	222000	582000	0	0.1632
184	226000	582000	0	0.1626
185	230000	582000	0	0.3353
186	234000	582000	1	0.4599
187	238000	582000	0	0.3465
188	242000	582000	-1	0.1395
189	246000	582000	-1	0.1219
190	250000	582000	-1	0.183
191	254000	582000	-2	0.1672
192	258000	582000	-2	0.162
193	262000	582000	-1	0.1659
194	266000	582000	0	0.1832
195	270000	582000	0	0.1702
196	274000	582000	-1	0.1658
197	278000	582000	0	0.1792
198	118000	578000	0	0.0034
199	122000	578000	0	0.0019
200	158000	578000	0	0.2314
201	162000	578000	0	0.1903
202	166000	578000	0	0.2838
203	170000	578000	0	0.1726
204	174000	578000	0	0.1823
205	178000	578000	0	0.2127
206	182000	578000	0	0.3846
207	186000	578000	-1	0.3087
208	190000	578000	-1	0.1646
209	194000	578000	0	0.23
210	198000	578000	0	0.1537
211	202000	578000	1	0.1904
212	206000	578000	0	0.2491
213	210000	578000	0	0.1952
214	214000	578000	0	0.1762
215	218000	578000	0	0.1697
216	222000	578000	0	0.2337
217	226000	578000	0	0.1048
218	230000	578000	0	0.1578
219	234000	578000	0	0.2716
220	238000	578000	0	0.2491
221	242000	578000	0	0.1899
222	246000	578000	0	0.245
223	250000	578000	0	0.1779
224	254000	578000	0	0.2146
225	258000	578000	-1	0.178
226	262000	578000	0	0.2185
227	266000	578000	-2	0.097
228	270000	578000	-1	0.1625
229	274000	578000	-1	0.1518
230	278000	578000	-1	0.1878
231	118000	574000	0	0.0619
232	122000	574000	0	0.0591
233	158000	574000	0	0.1949
234	162000	574000	0	0.1655
235	166000	574000	0	0.1701
236	170000	574000	0	0.1761
237	174000	574000	0	0.1655
238	178000	574000	0	0.1655
239	182000	574000	0	0.1784
240	186000	574000	-1	0.1899
241	190000	574000	-1	0.146
