ID	XLAMB	YLAMB	ALT	BETA
1	226000	618000	0	0.0498343
2	230000	618000	0	0.0544927
3	234000	618000	0	0.0589641
4	206000	614000	0	0.0522992
5	210000	614000	0	0.0428444
6	214000	614000	0	0.0430791
7	218000	614000	0	0.0413451
8	174000	610000	0	0.0573751
9	178000	610000	0	0.0616388
10	182000	610000	0	0.0570339
11	186000	610000	0	0.0551335
12	190000	610000	0	0.0487267
13	206000	610000	0	0.0242322
14	210000	610000	0	0.0360595
15	242000	610000	0	0.0716134
16	246000	610000	0	0.0442223
17	250000	610000	0	0.104064
18	158000	606000	0	0.0515088
19	162000	606000	0	0.0439778
20	166000	606000	0	0.058801
21	170000	606000	0	0.0580679
22	174000	606000	0	0.0230455
23	178000	606000	0	0.0307477
24	182000	606000	0	0.0547899
25	186000	606000	0	0.051936
26	190000	606000	0	0.0613606
27	194000	606000	0	0.0634442
28	206000	606000	0	0.0599646
29	210000	606000	0	0.0634442
30	226000	606000	0	0.0590014
31	230000	606000	0	0.0520967
32	234000	606000	0	0.0390692
33	238000	606000	0	0.0097467
34	242000	606000	0	0.00214482
35	246000	606000	0	0.0148515
36	250000	606000	0	0.104773
37	254000	606000	0	0.1746
38	142000	602000	0	0.0551697
39	146000	602000	0	0.037847
40	150000	602000	2	0.0282152
41	154000	602000	1	0.0192226
42	158000	602000	0	0.0358955
43	186000	602000	0	0.0634442
44	190000	602000	0	0.0623093
45	194000	602000	0	0.0467071
46	198000	602000	0	0.0317159
47	202000	602000	0	0.0298436
48	206000	602000	0	0.0468344
49	210000	602000	0	0.084758
50	214000	602000	0	0.0559282
51	218000	602000	0	0.0361158
52	222000	602000	0	0.0148486
53	226000	602000	0	0.00100864
54	230000	602000	0	0.00766935
55	234000	602000	0	0.018442
56	238000	602000	0	0.0188382
57	242000	602000	0	0.0548098
58	246000	602000	0	0.00555333
59	250000	602000	0	0.0139492
60	254000	602000	0	0.0299998
61	142000	598000	2	0.0272247
62	146000	598000	0	0.0575863
63	150000	598000	0	0.0511013
64	182000	598000	0	0.0603421
65	186000	598000	0	0.0316592
66	190000	598000	0	0.0127355
67	194000	598000	0	0.00740915
68	198000	598000	0	0.00844816
69	202000	598000	0	0.00632163
70	206000	598000	0	0.0423238
71	210000	598000	0	0.0396966
72	214000	598000	0	0.020923
73	218000	598000	0	0.0135228
74	222000	598000	0	0.0165693
75	226000	598000	0	0.013571
76	230000	598000	0	0.0129611
77	234000	598000	0	0.00019998
78	238000	598000	0	0.0195479
79	242000	598000	0	0.00019998
80	246000	598000	0	0.00510374
81	250000	598000	0	0.000196177
82	254000	598000	0	0.0183154
83	138000	594000	0	0.0634442
84	174000	594000	0	0.056321
85	178000	594000	0	0.0351921
86	182000	594000	0	0.0157887
87	186000	594000	0	0.00846209
88	190000	594000	0	0.00019998
89	194000	594000	0	0.0934168
90	198000	594000	0	0.053643
91	202000	594000	0	0.00019998
92	206000	594000	0	0.0188302
93	210000	594000	0	0.0492037
94	214000	594000	0	0.025002
95	218000	594000	0	0.013079
96	222000	594000	0	0.00142421
97	226000	594000	0	0.000882784
