ID	XLAMB	YLAMB	ALT	BETA
1	226000	618000	0	0.0383
2	230000	618000	0	0.0419
3	234000	618000	0	0.0453
4	206000	614000	0	0.0402
5	210000	614000	0	0.0329
6	214000	614000	0	0.0331
7	218000	614000	0	0.0317
8	174000	610000	0	0.0441
9	178000	610000	0	0.0474
10	182000	610000	0	0.0438
11	186000	610000	0	0.0424
12	190000	610000	0	0.0374
13	206000	610000	0	0.0197
14	210000	610000	0	0.0276
15	242000	610000	0	0.0598
16	246000	610000	0	0.0339
17	250000	610000	0	0.0924
18	158000	606000	0	0.0396
19	162000	606000	0	0.0337
20	166000	606000	0	0.0452
21	170000	606000	0	0.0482
22	174000	606000	0	0.0214
23	178000	606000	0	0.0236
24	182000	606000	0	0.048
25	186000	606000	0	0.0399
26	190000	606000	0	0.0472
27	194000	606000	0	0.0488
28	206000	606000	0	0.0461
29	210000	606000	0	0.0488
30	226000	606000	0	0.0453
31	230000	606000	0	0.04
32	234000	606000	0	0.0299
33	238000	606000	0	0.0073
34	242000	606000	0	0.0019
35	246000	606000	0	0.0146
36	250000	606000	0	0.1037
37	254000	606000	0	0.1676
38	142000	602000	0	0.0424
39	146000	602000	0	0.0296
40	150000	602000	2	0.0239
41	154000	602000	1	0.0147
42	158000	602000	0	0.0275
43	186000	602000	0	0.0488
44	190000	602000	0	0.0479
45	194000	602000	0	0.0358
46	198000	602000	0	0.0242
47	202000	602000	0	0.0228
48	206000	602000	0	0.0359
49	210000	602000	0	0.0774
50	214000	602000	0	0.051
51	218000	602000	0	0.0276
52	222000	602000	0	0.0123
53	226000	602000	0	0.0064
54	230000	602000	0	0.0095
55	234000	602000	0	0.0184
56	238000	602000	0	0.024
57	242000	602000	0	0.0545
58	246000	602000	0	0.0053
59	250000	602000	0	0.0137
60	254000	602000	0	0.0242
61	142000	598000	2	0.0238
62	146000	598000	0	0.0502
63	150000	598000	0	0.0404
64	182000	598000	0	0.0464
65	186000	598000	0	0.0242
66	190000	598000	0	0.0115
67	194000	598000	0	0.0072
68	198000	598000	0	0.0082
69	202000	598000	0	0.0061
70	206000	598000	0	0.0362
71	210000	598000	0	0.0304
72	214000	598000	0	0.0176
73	218000	598000	0	0.0133
74	222000	598000	0	0.0163
75	226000	598000	0	0.0133
76	230000	598000	0	0.0127
77	234000	598000	0	0
78	238000	598000	0	0.0193
79	242000	598000	0	0.0054
80	246000	598000	0	0.0049
81	250000	598000	0	0
82	254000	598000	0	0.016
83	138000	594000	0	0.0488
84	174000	594000	0	0.0433
85	178000	594000	0	0.0269
86	182000	594000	0	0.0141
87	186000	594000	0	0.0082
88	190000	594000	0	0
89	194000	594000	0	0.0931
90	198000	594000	0	0.0533
91	202000	594000	0	0
92	206000	594000	0	0.0144
93	210000	594000	0	0.0383
94	214000	594000	0	0.0276
95	218000	594000	0	0.0597
96	222000	594000	0	0.0143
97	226000	594000	0	0.0007
98	230000	594000	0	0.0415
99	234000	594000	0	0.0017
100	238000	594000	-1	0.006
101	242000	594000	0	0.0086
102	246000	594000	0	0.0174
103	250000	594000	0	0.0118
104	254000	594000	0	0.1161
105	258000	594000	0	0.337
106	262000	594000	0	0.1828
107	130000	590000	0	0.0315
108	134000	590000	0	0.0547
109	138000	590000	0	0.0418
110	170000	590000	0	0.0111
111	174000	590000	0	0.0049
112	178000	590000	0	0
113	182000	590000	0	0.0162
114	186000	590000	0	0.0071
115	190000	590000	0	0.0009
116	194000	590000	0	0.0341
117	198000	590000	0	0.0195
118	202000	590000	0	0.0063
119	206000	590000	0	0.0286
120	210000	590000	0	0
121	214000	590000	0	0.0394
122	218000	590000	0	0.037
123	222000	590000	0	0.0049
124	226000	590000	0	0.0043
125	230000	590000	0	0.0051
126	234000	590000	0	0.0285
127	238000	590000	-1	0.0202
128	242000	590000	-1	0.0219
129	246000	590000	-1	0.0287
130	250000	590000	-1	0.0381
131	254000	590000	-2	0.0157
132	258000	590000	-2	0.0026
133	262000	590000	-2	0.0792
134	266000	590000	-1	0.0266
135	270000	590000	0	0.0472
136	126000	586000	0	0.032
137	166000	586000	0	0.011
138	170000	586000	0	0.0206
139	174000	586000	0	0.0482
140	178000	586000	0	0.0169
141	182000	586000	0	0.0302
142	186000	586000	0	0
143	190000	586000	0	0.0513
144	194000	586000	-1	0.0172
145	198000	586000	0	0.0379
146	202000	586000	1	0.0175
147	206000	586000	0	0.063
148	210000	586000	0	0.0015
149	214000	586000	0	0.0182
150	218000	586000	0	0.0483
151	222000	586000	0	0.0922
152	226000	586000	0	0.0131
153	230000	586000	0	0.0406
154	234000	586000	0	0.0797
155	238000	586000	-1	0.0328
156	242000	586000	-1	0.0317
157	246000	586000	-1	0.0088
158	250000	586000	-2	0.018
159	254000	586000	-2	0.0258
160	258000	586000	-3	0.0264
161	262000	586000	-2	0.0058
162	266000	586000	-1	0.0018
163	270000	586000	0	0.03
164	274000	586000	0	0.0439
165	122000	582000	0	0.0227
166	126000	582000	0	0.0409
167	158000	582000	0	0.0416
168	162000	582000	0	0.0138
169	166000	582000	0	0.0127
170	170000	582000	0	0.0006
171	174000	582000	0	0.0282
172	178000	582000	0	0.158
173	182000	582000	0	0.1342
174	186000	582000	-1	0.075
175	190000	582000	-1	0.0579
176	194000	582000	0	0.0532
177	198000	582000	0	0.0475
178	202000	582000	0	0.0526
179	206000	582000	0	0.008
180	210000	582000	0	0.0087
181	214000	582000	0	0.0354
182	218000	582000	0	0.0151
183	222000	582000	0	0.002
184	226000	582000	0	0.0111
185	230000	582000	0	0.2369
186	234000	582000	1	0.3412
187	238000	582000	0	0.292
188	242000	582000	-1	0.0292
189	246000	582000	-1	0.0006
190	250000	582000	-1	0.0221
191	254000	582000	-2	0.0016
192	258000	582000	-2	0.0001
193	262000	582000	-1	0.0003
194	266000	582000	0	0.0401
195	270000	582000	0	0.0056
196	274000	582000	-1	0.0003
197	278000	582000	0	0.02
198	118000	578000	0	0.0412
199	122000	578000	0	0.0477
200	158000	578000	0	0.1874
201	162000	578000	0	0.0354
202	166000	578000	0	0.1401
203	170000	578000	0	0.0068
204	174000	578000	0	0.0232
205	178000	578000	0	0.0714
206	182000	578000	0	0.2587
207	186000	578000	-1	0.2097
208	190000	578000	-1	0.0004
209	194000	578000	0	0.0866
210	198000	578000	0	0.0516
211	202000	578000	1	0.043
212	206000	578000	0	0.0966
213	210000	578000	0	0.0385
214	214000	578000	0	0.0103
215	218000	578000	0	0.0041
216	222000	578000	0	0.1112
217	226000	578000	0	0.0195
218	230000	578000	0	0.0733
219	234000	578000	0	0.1624
220	238000	578000	0	0.1182
221	242000	578000	0	0.0962
222	246000	578000	0	0.1324
223	250000	578000	0	0.0206
224	254000	578000	0	0.0912
225	258000	578000	-1	0.0241
226	262000	578000	0	0.1395
227	266000	578000	-2	0.1288
228	270000	578000	-1	0.0431
229	274000	578000	-1	0.0161
230	278000	578000	-1	0.0431
231	118000	574000	0	0.0561
232	122000	574000	0	0.055
233	158000	574000	0	0.063
234	162000	574000	0	0
235	166000	574000	0	0.0045
236	170000	574000	0	0.0103
237	174000	574000	0	0
238	178000	574000	0	0
239	182000	574000	0	0.0269
240	186000	574000	-1	0.0299
241	190000	574000	-1	0.0167
242	194000	574000	0	0.0194
243	198000	574000	0	0.0076
244	202000	574000	0	0.0136
245	206000	574000	2	0
246	210000	574000	2	0.0024
247	214000	574000	1	0.0666
248	218000	574000	1	0.0027
249	222000	574000	2	0.1321
250	226000	574000	0	0.1324
251	230000	574000	0	0.0259
252	234000	574000	1	0.0979
253	238000	574000	2	0.1182
254	242000	574000	0	0.0394
255	246000	574000	0	0.1128
256	250000	574000	0	0.082
257	254000	574000	0	0.0687
258	258000	574000	-1	0.0213
259	262000	574000	-1	0.056
260	266000	574000	0	0.2281
261	270000	574000	-1	0.0019
262	274000	574000	-2	0.0094
263	114000	570000	0	0.0378
264	118000	570000	0	0.0869
265	122000	570000	0	0.1208
266	154000	570000	0	0.0567
267	158000	570000	0	0.0026
268	162000	570000	0	0.0133
269	166000	570000	0	0.0009
270	170000	570000	0	0.0174
271	174000	570000	0	0
272	178000	570000	0	0.0077
273	182000	570000	0	0.0051
274	186000	570000	-1	0.0279
275	190000	570000	0	0.0261
276	194000	570000	0	0.0339
277	198000	570000	0	0.0729
278	202000	570000	1	0.2954
279	206000	570000	2	0.1418
280	210000	570000	2	0.0002
281	214000	570000	3	0.0091
282	218000	570000	3	0.0081
283	222000	570000	4	0.067
284	226000	570000	3	0.0351
285	230000	570000	2	0.0043
286	234000	570000	3	0.1742
287	238000	570000	3	0.1095
288	242000	570000	0	0.1462
289	246000	570000	0	0.0218
290	250000	570000	0	0.0064
291	254000	570000	0	0.2808
292	258000	570000	0	0.0371
293	262000	570000	0	0.0424
294	266000	570000	-1	0.0388
295	270000	570000	-1	0.0204
296	274000	570000	0	0.027
297	278000	570000	0	0.004
298	110000	566000	0	0.0395
299	114000	566000	0	0.1161
300	118000	566000	0	0.0002
301	122000	566000	0	0.0268
302	150000	566000	0	0.0488
303	154000	566000	0	0.0662
304	158000	566000	0	0.0018
305	162000	566000	0	0.0386
306	166000	566000	0	0.0251
307	170000	566000	0	0.0051
308	174000	566000	0	0.0029
309	178000	566000	0	0
310	182000	566000	0	0.012
311	186000	566000	0	0.0673
312	190000	566000	0	0.0041
313	194000	566000	-1	0.006
314	198000	566000	-1	0.0303
315	202000	566000	1	0.0665
316	206000	566000	1	0.0278
317	210000	566000	3	0.0012
318	214000	566000	5	0.0124
319	218000	566000	5	0.0361
320	222000	566000	5	0.0976
321	226000	566000	8	0.1609
322	230000	566000	7	0.1071
323	234000	566000	6	0.1642
324	238000	566000	6	0.2164
325	242000	566000	8	0.147
326	246000	566000	0	0.1564
327	250000	566000	0	0
328	254000	566000	0	0.0939
329	258000	566000	0	0.0143
330	262000	566000	0	0.0585
331	266000	566000	0	0.0489
