ID	XLAMB	YLAMB	ALT	BETA
1	226000	618000	0	0.0498343
2	230000	618000	0	0.0544927
3	234000	618000	0	0.0589641
4	206000	614000	0	0.0522992
5	210000	614000	0	0.0428444
6	214000	614000	0	0.0430791
7	218000	614000	0	0.0413451
8	174000	610000	0	0.0573751
9	178000	610000	0	0.0616388
10	182000	610000	0	0.0570339
11	186000	610000	0	0.0551335
12	190000	610000	0	0.0487267
13	206000	610000	0	0.0411588
14	210000	610000	0	0.0471479
15	242000	610000	0	0.0922429
16	246000	610000	0	0.0834187
17	250000	610000	0	0.107217
18	158000	606000	0	0.051717
19	162000	606000	0	0.0439778
20	166000	606000	0	0.058801
21	170000	606000	0	0.0651213
22	174000	606000	0	0.0913
23	178000	606000	0	0.063509
24	182000	606000	0	0.0853642
25	186000	606000	0	0.0638731
26	190000	606000	0	0.0613606
27	194000	606000	0	0.0634442
28	206000	606000	0	0.0599646
29	210000	606000	0	0.0634442
30	226000	606000	0	0.0681308
31	230000	606000	0	0.0753304
32	234000	606000	0	0.0886425
33	238000	606000	0	0.117368
34	242000	606000	0	0.126513
35	246000	606000	0	0.133603
36	250000	606000	0	0.197342
37	254000	606000	0	0.20043
38	142000	602000	0	0.0551697
39	146000	602000	0	0.0373889
40	150000	602000	2	0.0470598
41	154000	602000	1	0.0625101
42	158000	602000	0	0.0442594
43	186000	602000	0	0.0634442
44	190000	602000	0	0.0646454
45	194000	602000	0	0.0808804
46	198000	602000	0	0.0960037
47	202000	602000	0	0.0978608
48	206000	602000	0	0.0795106
49	210000	602000	0	0.0824146
50	214000	602000	0	0.109316
51	218000	602000	0	0.0916121
52	222000	602000	0	0.118973
53	226000	602000	0	0.125612
54	230000	602000	0	0.129062
55	234000	602000	0	0.135384
56	238000	602000	0	0.135581
57	242000	602000	0	0.134793
58	246000	602000	0	0.129006
59	250000	602000	0	0.133156
60	254000	602000	0	0.105847
61	142000	598000	2	0.0276792
62	146000	598000	0	0.0820658
63	150000	598000	0	0.0845149
64	182000	598000	0	0.066721
65	186000	598000	0	0.0960601
66	190000	598000	0	0.126212
67	194000	598000	0	0.129921
68	198000	598000	0	0.130435
69	202000	598000	0	0.129385
70	206000	598000	0	0.11044
71	210000	598000	0	0.0419057
72	214000	598000	0	0.10838
73	218000	598000	0	0.132945
74	222000	598000	0	0.134455
75	226000	598000	0	0.132969
76	230000	598000	0	0.132667
77	234000	598000	0	0.126368
78	238000	598000	0	0.133024
79	242000	598000	0	0.126368
80	246000	598000	0	0.127522
81	250000	598000	0	0.124108
82	254000	598000	0	0.120981
83	138000	594000	0	0.0634442
84	174000	594000	0	0.0709378
85	178000	594000	0	0.0925373
86	182000	594000	0	0.125016
87	186000	594000	0	0.130442
88	190000	594000	0	0.126368
89	194000	594000	0	0.187751
90	198000	594000	0	0.158839
91	202000	594000	0	0.126368
92	206000	594000	0	0.107814
93	210000	594000	0	0.0787034
94	214000	594000	0	0.100791
95	218000	594000	0	0.125549
96	222000	594000	0	0.125223
97	226000	594000	0	0.126704
98	230000	594000	0	0.147078
99	234000	594000	0	0.127214
100	238000	594000	-1	0.127994
