ID	XLAMB	YLAMB	ALT	BETA
1	226000	618000	0	0.0751
2	230000	618000	0	0.082
3	234000	618000	0	0.0887
4	206000	614000	0	0.0788
5	210000	614000	0	0.0647
6	214000	614000	0	0.065
7	218000	614000	0	0.0625
8	174000	610000	0	0.0863
9	178000	610000	0	0.0926
10	182000	610000	0	0.0858
11	186000	610000	0	0.083
12	190000	610000	0	0.0735
13	206000	610000	0	0.0506
14	210000	610000	0	0.0626
15	242000	610000	0	0.1123
16	246000	610000	0	0.0953
17	250000	610000	0	0.1486
18	158000	606000	0	0.0778
19	162000	606000	0	0.0664
20	166000	606000	0	0.0884
21	170000	606000	0	0.0938
22	174000	606000	0	0.0836
23	178000	606000	0	0.0707
24	182000	606000	0	0.1064
25	186000	606000	0	0.0869
26	190000	606000	0	0.0922
27	194000	606000	0	0.0953
28	206000	606000	0	0.0902
29	210000	606000	0	0.0953
30	226000	606000	0	0.0953
31	230000	606000	0	0.0953
32	234000	606000	0	0.0953
33	238000	606000	0	0.0953
34	242000	606000	0	0.097
35	246000	606000	0	0.1151
36	250000	606000	0	0.1805
37	254000	606000	0	0.2156
38	142000	602000	0	0.083
39	146000	602000	0	0.0566
40	150000	602000	2	0.0554
41	154000	602000	1	0.0611
42	158000	602000	0	0.0604
43	186000	602000	0	0.0953
44	190000	602000	0	0.0953
45	194000	602000	0	0.0953
46	198000	602000	0	0.0953
47	202000	602000	0	0.0953
48	206000	602000	0	0.0944
49	210000	602000	0	0.104
50	214000	602000	0	0.106
51	218000	602000	0	0.0953
52	222000	602000	0	0.1014
53	226000	602000	0	0.1046
54	230000	602000	0	0.109
55	234000	602000	0	0.1204
56	238000	602000	0	0.1292
57	242000	602000	0	0.1473
58	246000	602000	0	0.1026
59	250000	602000	0	0.1139
60	254000	602000	0	0.1028
61	142000	598000	2	0.0452
62	146000	598000	0	0.0978
63	150000	598000	0	0.1027
64	182000	598000	0	0.0953
65	186000	598000	0	0.0953
66	190000	598000	0	0.1063
67	194000	598000	0	0.1051
68	198000	598000	0	0.1065
69	202000	598000	0	0.1036
70	206000	598000	0	0.1183
71	210000	598000	0	0.0616
72	214000	598000	0	0.0931
73	218000	598000	0	0.1134
74	222000	598000	0	0.1175
75	226000	598000	0	0.1134
76	230000	598000	0	0.1126
77	234000	598000	0	0.0953
78	238000	598000	0	0.1181
79	242000	598000	0	0.104
80	246000	598000	0	0.101
81	250000	598000	0	0.0936
82	254000	598000	0	0.1061
83	138000	594000	0	0.0953
84	174000	594000	0	0.0953
85	178000	594000	0	0.0953
86	182000	594000	0	0.1079
87	186000	594000	0	0.1065
88	190000	594000	0	0.0953
89	194000	594000	0	0.1898
90	198000	594000	0	0.156
91	202000	594000	0	0.0953
92	206000	594000	0	0.095
93	210000	594000	0	0.097
94	214000	594000	0	0.1018
95	218000	594000	0	0.1486
96	222000	594000	0	0.1072
97	226000	594000	0	0.0962
98	230000	594000	0	0.1514
99	234000	594000	0	0.0976
100	238000	594000	-1	0.1019
101	242000	594000	0	0.107
102	246000	594000	0	0.119
103	250000	594000	0	0.1042
104	254000	594000	0	0.2356
105	258000	594000	0	0.3952
