NR	STATCODE	XLAMB	YLAMB	TYPE	ALT	Beta
1	STA107	200900	347900	1	31	0.027876
2	STA131	187300	394700	1	27	0
3	STA133	189800	323700	1	98	0.033094
4	STA136	196049	322190	3	106	0.17609
5	STA137	196525	321840	2	111	0.187761
6	STA227	167100	364200	1	32	0.10002
7	STA230	138400	392200	1	13	0.022267
8	STA232	173900	405900	1	19	0.161431
9	STA235	83600	383300	1	19	0.085777
10	STA236	160900	386600	3	18	0.245604
11	STA237	159000	383900	3	19	0.261257
12	STA238	163000	382300	3	20	0.298658
13	STA240	116050	400660	3	5	0.215438
14	STA241	112990	401770	2	3	0.42931
15	STA301	53200	406100	1	0	0.122933
16	STA318	40800	368500	1	0	0.020541
17	STA404	79600	454700	2	4	0.239381
18	STA411	79000	445500	1	-1	0.000194
19	STA415	77400	436700	1	0	0.163077
20	STA416	84200	436900	2	1	0.294495
21	STA418	92600	436600	2	4	0.294304
22	STA433	82000	436400	3	1	0.278031
23	STA437	90400	422400	1	0	0.022054
24	STA441	105500	424200	2	1	0.264064
25	STA444	95200	479100	1	5	0.043774
26	STA445	81600	454700	3	4	0.290312
27	STA446	84482	450542	2	0	0.193154
28	STA447	94826	464771	3	1	0.264539
29	STA448	91335	438010	3	3	0.24147
30	STA518	115200	488600	2	1	0.313631
31	STA520	123100	489400	2	2	0.35478
32	STA537	104700	488400	3	2	0.316197
33	STA538	132200	535200	1	-3	0
34	STA544	123134	484634	3	4	0.29553
35	STA545	117800	483600	3	2	0.17569
36	STA620	123400	442300	1	0	0.036202
37	STA627	141900	459100	1	8	0.112414
38	STA631	170700	495700	1	-4	0
39	STA633	117400	461300	1	-1	0.014408
40	STA636	137000	457400	3	4	0.246756
41	STA637	137000	456300	3	4	0.280013
42	STA638	135500	456100	3	4	0.314734
43	STA639	136700	453300	3	4	0.318993
44	STA640	137000	456200	2	4	0.281652
45	STA641	127700	468300	3	0	0.003422
46	STA722	238500	456600	1	19	0
47	STA724	173000	442800	1	8	0.167181
48	STA727	193700	470600	3	20	0.232518
49	STA728	194600	469700	3	17	0.26896
50	STA729	194300	467100	3	21	0.346056
51	STA733	199400	459400	1	17	0.027518
52	STA738	176990	458220	1	19	0
53	STA741	187500	428200	3	24	0.230746
54	STA742	187200	427800	3	25	0.251076
55	STA807	224200	489500	1	9	0
56	STA818	197700	518700	1	0	0.019294
57	STA913	249500	573800	1	0	0.064877
58	STA918	167600	547900	1	0	0.004719
59	STA928	241400	536900	1	15	0
60	STA929	259100	544300	1	7	0.032718
61	STA934	214300	594200	1	0	0.026548
62	STA937	234600	581900	3	2	0.383246
63	STA938	236556	585140	2	0	0.109476
