ID	NAME	X	Y	ALT	TYPE	BETA
1	STA107	200838	347853	31	1	0.028525
2	STA131	187285	394618	27	1	0.045557
3	STA133	189755	323636	97	1	0.03081
4	STA137	196490	321749	111	2	0.197005
5	STA138	197149	323473	109	2	0.157483
6	STA227	167068	364101	32	1	0.10672
7	STA230	138400	392086	13	1	0.022655
8	STA235	83541	383218	19	1	0.17584
9	STA241	112979	401649	3	2	0.425372
10	STA245	102188	412464	0	4	0.213304
11	STA246	94639	407470	0	1	0.030679
12	STA247	155396	379703	22	2	0.208071
13	STA301	53178	406020	0	1	0.146627
14	STA318	40759	368430	0	1	0.022166
15	STA404	79708	454780	5	2	0.241495
16	STA411	78979	445392	0	1	0.000155
17	STA418	92555	436477	4	2	0.303486
18	STA437	90350	422303	0	1	0.025353
19	STA442	108143	423671	0	2	0.189958
20	STA444	95194	478981	5	1	0.035905
21	STA446	84459	450468	0	2	0.276389
22	STA520	122987	489222	2	2	0.354958
23	STA538	132268	535090	-3	1	0
24	STA549	144641	474269	7	2	0.17657
25	STA631	170741	495571	-4	1	0
26	STA633	117389	461117	-1	1	0.012347
27	STA643	137225	456930	4	2	0.234889
28	STA644	123099	442892	0	1	0.034183
29	STA722	238439	456540	19	1	0.000001
30	STA738	176971	458094	19	1	0
31	STA742	187340	427735	25	2	0.242716
32	STA807	224107	489307	9	1	0
33	STA818	197620	518588	0	1	0.018974
34	STA918	167499	547655	0	1	0.01848
35	STA929	258987	544168	7	1	0.032485
36	STA934	214232	594017	0	1	0.0259
37	STA938	236514	585007	0	2	0.128791
38	N01494	87163	437343	1	2	0.385949
39	N01495	75259	438704	0	2	0.118639
40	N01496	68053	443916	1	4	0.118254
41	N49003	124791	489031	1	2	0.283296
42	N49014	119485	485773	5	2	0.241118
43	N49019	122095	487128	5	2	0.37482
44	N49021	127783	481379	0	2	0.178594
45	N49022	114528	486601	0	2	0.139939
46	N49546	117210	492523	1	4	0.46421
47	N49551	101603	497430	8	4	0.341265
48	N49553	101651	500874	9	4	0.353615
49	N49561	113180	482962	-2	2	0.305952
50	N49565	112909	476955	-1	4	0.329814
51	N49701	116190	495621	1	2	0.229974
52	N49703	110150	490157	0	1	0.143823
53	N49704	113233	493421	0	4	0.302501
