ID	NAME	X	Y	ALT	TYPE	BETA
1	STA107	200838	347853	31	1	0.203532
2	STA131	187285	394618	27	1	0.160073
3	STA133	189755	323636	97	1	0.2033
4	STA137	196490	321749	111	2	0.357012
5	STA138	197149	323473	109	2	0.275673
6	STA227	167068	364101	32	1	0.297623
7	STA230	138400	392086	13	1	0.186489
8	STA235	83541	383218	19	1	0.25219
9	STA241	112979	401649	3	2	0.509637
10	STA245	102188	412464	0	4	0.426191
11	STA246	94639	407470	0	1	0.195661
12	STA247	155396	379703	22	2	0.34624
13	STA301	53178	406020	0	1	0.185673
14	STA318	40759	368430	0	1	0.171528
15	STA404	79708	454780	5	2	0.402925
16	STA411	78979	445392	0	1	0.165665
17	STA418	92555	436477	4	2	0.495144
18	STA437	90350	422303	0	1	0.188925
19	STA442	108143	423671	0	2	0.340167
20	STA444	95194	478981	5	1	0.093138
21	STA446	84459	450468	0	2	0.396703
22	STA520	122987	489222	2	2	0.512416
23	STA538	132268	535090	-3	1	0.165514
24	STA549	144641	474269	7	2	0.310499
25	STA631	170741	495571	-4	1	0.165514
26	STA633	117389	461117	-1	1	0.138538
27	STA643	137225	456930	4	2	0.395499
28	STA644	123099	442892	0	1	0.219173
29	STA722	238439	456540	19	1	0.188983
30	STA738	176971	458094	19	1	0.174583
31	STA742	187340	427735	25	2	0.42053
32	STA807	224107	489307	9	1	0.110207
33	STA818	197620	518588	0	1	0.117692
34	STA918	167499	547655	0	1	0.14781
35	STA929	258987	544168	7	1	0.193182
36	STA934	214232	594017	0	1	0.125192
37	STA938	236514	585007	0	2	0.276696
38	N01494	87163	437343	1	2	0.488985
39	N01495	75259	438704	0	2	0.377281
40	N01496	68053	443916	1	4	0.385917
41	N49003	124791	489031	1	2	0.431798
42	N49014	119485	485773	5	2	0.40282
43	N49019	122095	487128	5	2	0.511495
44	N49021	127783	481379	0	2	0.283542
45	N49022	114528	486601	0	2	0.284545
46	N49546	117210	492523	1	4	0.605942
47	N49551	101603	497430	8	4	0.526413
48	N49553	101651	500874	9	4	0.356791
49	N49561	113180	482962	-2	2	0.408805
50	N49565	112909	476955	-1	4	0.403511
51	N49701	116190	495621	1	2	0.381218
52	N49703	110150	490157	0	1	0.249762
53	N49704	113233	493421	0	4	0.425594
