ID	NAME	X	Y	ALT	TYPE	BETA
1	STA107	200838	347853	31	1	0.028751
2	STA131	187285	394618	27	1	0.045691
3	STA133	189755	323636	97	0	0.029991
4	STA137	196490	321749	111	2	0.214895
5	STA138	197149	323473	109	2	0.170316
6	STA227	167068	364101	32	1	0.10367
7	STA230	138400	392086	13	1	0.038618
8	STA235	83541	383218	19	1	0.175845
9	STA241	112979	401649	3	2	0.421819
10	STA247	155396	379703	22	0	0.205487
11	STA301	53178	406020	0	1	0.143648
12	STA318	40759	368430	0	1	0.021254
13	STA404	79708	454780	5	2	0.245895
14	STA411	78979	445392	0	0	0.000349
15	STA418	92555	436477	4	2	0.305498
16	STA437	90350	422303	0	1	0.024503
17	STA442	108143	423671	0	2	0.216734
18	STA444	95194	478981	5	1	0.039663
19	STA446	84459	450468	0	2	0.318373
20	STA520	122987	489222	2	2	0.372084
21	STA538	132268	535090	-3	1	0.0002
22	STA631	170741	495571	-4	1	0.0002
23	STA633	117389	461117	-1	1	0.011527
24	STA643	137225	456930	4	2	0.240968
25	STA644	123099	442892	0	1	0.03307
26	STA722	238439	456540	19	1	0.001026
27	STA738	176971	458094	19	1	0.001485
28	STA742	187340	427735	25	2	0.238228
29	STA807	224107	489307	9	1	0.000129
30	STA818	197620	518588	0	1	0.017596
31	STA918	167499	547655	0	1	0.0206
32	STA929	258987	544168	7	1	0.031365
33	STA934	214232	594017	0	1	0.024124
34	STA938	236514	585007	0	0	0.14857
35	N01494	87163	437343	1	2	0.402655
36	N01495	75259	438704	0	2	0.140914
37	N01496	68053	443916	1	4	0.138465
38	N49003	124791	489031	1	2	0.327372
39	N49701	116190	495621	1	2	0.240351
