ID	NAME	X	Y	ALT	TYPE	BETA
1	STA131	187285	394618	27	1	0.132465
2	STA133	189755	323636	97	1	0.14102
3	STA137	196490	321749	111	2	0.209926
4	STA138	197149	323473	109	2	0.180418
5	STA230	138400	392086	13	1	0.113612
6	STA235	83541	383218	19	1	0.2167
7	STA241	112979	401649	3	2	0.431921
8	STA245	102188	412464	0	4	0.252913
9	STA246	94639	407470	0	1	0.140958
10	STA247	155396	379703	22	2	0.244104
11	STA312	52303	367075	0	1	0.135009
12	STA318	40759	368430	0	1	0.130139
13	STA319	40873	387339	0	4	0.189898
14	STA404	79708	454780	5	2	0.24135
15	STA418	92555	436477	4	2	0.302583
16	STA432	68003	443897	1	4	0.133082
17	STA437	90350	422303	0	1	0.137762
18	STA442	108143	423671	0	2	0.208957
19	STA444	95194	478981	5	1	0.078612
20	STA446	84459	450468	0	2	0.280305
21	STA520	122987	489222	2	2	0.356129
22	STA538	132268	535090	-3	1	0.126368
23	STA546	117211	492522	1	4	0.463488
24	STA548	140544	475461	9	5	0.159815
25	STA549	144641	474269	7	2	0.197569
26	STA631	170741	495571	-4	1	0.126368
27	STA633	117389	461117	-1	1	0.11567
28	STA644	123099	442892	0	1	0.139511
29	STA722	238439	456540	19	1	0.123568
30	STA738	176971	458094	19	1	0.098932
31	STA742	187340	427735	25	2	0.245805
32	STA807	224107	489307	9	1	0.083594
33	STA818	197620	518588	0	1	0.09969
34	STA918	167499	547655	0	1	0.11859
35	STA929	258987	544168	7	1	0.13846
36	STA934	214232	594017	0	1	0.101534
37	N01494	87163	437343	1	2	0.389577
38	N01495	75259	438704	0	2	0.153178
39	N01496	68053	443916	1	4	0.132134
40	N49014	119485	485773	5	2	0.241035
41	N49016	119781	489582	2	2	0.418385
42	N49546	117210	492523	1	4	0.463523
43	N49551	101603	497430	8	4	0.339704
44	N49553	101651	500874	9	4	0.353337
45	N49556	119342	508457	-2	1	0.140317
46	N49561	113180	482962	-2	2	0.341553
47	N49564	109153	482270	-3	1	0.297583
48	N49565	112909	476955	-1	1	0.373173
49	N49570	104263	500324	5	2	0.395383
50	N49572	103448	498675	6	4	0.437763
51	N49573	100094	499208	0	4	0.247522
52	N49701	116190	495621	1	2	0.24742
53	N49703	110150	490157	0	1	0.201941
54	N49704	113233	493421	0	4	0.338277
