ID	NAME	X	Y	ALT	TYPE	BETA
1	STA131	187285	394618	27	1	0.355974
2	STA133	189755	323636	97	1	0.184357
3	STA137	196490	321749	111	2	0.356927
4	STA138	197149	323473	109	2	0.299325
5	STA230	138400	392086	13	1	0.299823
6	STA235	83541	383218	19	1	0.301535
7	STA241	112979	401649	3	2	0.51083
8	STA245	102188	412464	0	4	0.407202
9	STA246	94639	407470	0	1	0.135066
10	STA247	155396	379703	22	2	0.413614
11	STA312	52303	367075	0	1	0.430968
12	STA318	40759	368430	0	1	0.408698
13	STA319	40873	387339	0	4	0.184794
14	STA404	79708	454780	5	2	0.402925
15	STA418	92555	436477	4	2	0.495144
16	STA432	68003	443897	1	4	0.390628
17	STA437	90350	422303	0	1	0.12757
18	STA442	108143	423671	0	2	0.333624
19	STA444	95194	478981	5	1	0.071158
20	STA446	84459	450468	0	2	0.396268
21	STA520	122987	489222	2	2	0.515451
22	STA538	132268	535090	-3	1	0.09531
23	STA546	117211	492522	1	4	0.607187
24	STA548	140544	475461	9	5	0.274771
25	STA549	144641	474269	7	2	0.319289
26	STA631	170741	495571	-4	1	0.09531
27	STA633	117389	461117	-1	1	0.09531
28	STA644	123099	442892	0	1	0.192217
29	STA722	238439	456540	19	1	0.262695
30	STA738	176971	458094	19	1	0.338408
31	STA742	187340	427735	25	2	0.419987
32	STA807	224107	489307	9	1	0.062719
33	STA818	197620	518588	0	1	0.094367
34	STA918	167499	547655	0	1	0.105523
35	STA929	258987	544168	7	1	0.134888
36	STA934	214232	594017	0	1	0.107664
37	N01494	87163	437343	1	2	0.487573
38	N01495	75259	438704	0	2	0.362701
39	N01496	68053	443916	1	4	0.38544
40	N49014	119485	485773	5	2	0.40282
41	N49016	119781	489582	2	2	0.578851
42	N49546	117210	492523	1	4	0.607199
43	N49551	101603	497430	8	4	0.526413
44	N49553	101651	500874	9	4	0.366378
45	N49556	119342	508457	-2	1	0.318726
46	N49561	113180	482962	-2	2	0.38944
47	N49564	109153	482270	-3	1	0.280837
48	N49565	112909	476955	-1	1	0.383589
49	N49570	104263	500324	5	2	0.44051
50	N49572	103448	498675	6	4	0.543646
51	N49573	100094	499208	0	4	0.377407
52	N49701	116190	495621	1	2	0.373552
53	N49703	110150	490157	0	1	0.244185
54	N49704	113233	493421	0	4	0.44169
