ID	NAME	X	Y	ALT	TYPE	BETA
1	STA107	200838	347853	31	1	0.028525
2	STA131	187285	394618	27	1	0.045557
3	STA133	189755	323636	97	1	0.03081
4	STA136	196010	322089	106	5	0.199862
5	STA137	196490	321749	111	2	0.197005
6	STA138	197149	323473	109	2	0.157483
7	STA227	167068	364101	32	1	0.10672
8	STA230	138400	392086	13	1	0.022655
9	STA235	83541	383218	19	1	0.17584
10	STA236	160885	386525	18	5	0.242499
11	STA237	158976	383797	19	5	0.275174
12	STA240	116014	400562	5	5	0.277869
13	STA241	112979	401649	3	2	0.425372
14	STA245	102188	412464	0	4	0.213304
15	STA246	94639	407470	0	1	0.030679
16	STA247	155396	379703	22	2	0.208071
17	STA301	53178	406020	0	1	0.146627
18	STA318	40759	368430	0	1	0.022166
19	STA404	79708	454780	5	2	0.241495
20	STA411	78979	445392	0	1	0.000155
21	STA418	92555	436477	4	2	0.303486
22	STA433	81981	436202	1	5	0.284667
23	STA437	90350	422303	0	1	0.025353
24	STA442	108143	423671	0	2	0.189958
25	STA444	95194	478981	5	1	0.035905
26	STA445	81534	454521	4	5	0.297548
27	STA446	84459	450468	0	2	0.276389
28	STA520	122987	489222	2	2	0.354958
29	STA537	104619	488275	2	5	0.312742
30	STA538	132268	535090	-3	1	0
31	STA547	140924	471800	10	5	0.186946
32	STA548	140544	475461	9	5	0.159437
33	STA549	144641	474269	7	2	0.17657
34	STA631	170741	495571	-4	1	0
35	STA633	117389	461117	-1	1	0.012347
36	STA636	136972	457345	3	5	0.238066
37	STA639	136686	453198	4	5	0.3239
38	STA641	127645	468123	0	5	0.005812
39	STA643	137225	456930	4	2	0.234889
40	STA644	123099	442892	0	1	0.034183
41	STA722	238439	456540	19	1	0.000001
42	STA738	176971	458094	19	1	0
43	STA741	187395	428086	24	5	0.234103
44	STA742	187340	427735	25	2	0.242716
45	STA807	224107	489307	9	1	0
46	STA818	197620	518588	0	1	0.018974
47	STA918	167499	547655	0	1	0.01848
48	STA929	258987	544168	7	1	0.032485
49	STA934	214232	594017	0	1	0.0259
50	STA937	234562	581776	1	5	0.376349
51	STA938	236514	585007	0	2	0.128791
52	N01489	99388	431412	0	5	0.212595
53	N01491	89204	439216	0	5	0.385129
54	N01493	91295	437925	3	5	0.250781
55	N01494	87163	437343	1	2	0.385949
56	N01495	75259	438704	0	2	0.118639
57	N01496	68053	443916	1	4	0.118254
58	N49002	120155	488628	3	5	0.344553
59	N49003	124791	489031	1	2	0.283296
60	N49007	118074	488188	3	5	0.363052
61	N49012	120979	489130	2	5	0.383652
62	N49014	119485	485773	5	2	0.241118
63	N49017	121765	485571	5	5	0.275115
64	N49019	122095	487128	5	2	0.37482
65	N49020	119096	487453	4	5	0.270277
66	N49021	127783	481379	0	2	0.178594
67	N49022	114528	486601	0	2	0.139939
68	N49546	117210	492523	1	4	0.46421
69	N49551	101603	497430	8	4	0.341265
70	N49553	101651	500874	9	4	0.353615
71	N49561	113180	482962	-2	2	0.305952
72	N49564	109153	482270	-3	5	0.220562
73	N49565	112909	476955	-1	4	0.329814
74	N49701	116190	495621	1	2	0.229974
75	N49703	110150	490157	0	1	0.143823
76	N49704	113233	493421	0	4	0.302501
