ID	NAME	X	Y	ALT	TYPE	BETA
1	STA107	200838	347853	31	1	0.203532
2	STA131	187285	394618	27	1	0.160073
3	STA133	189755	323636	97	1	0.2033
4	STA136	196010	322089	106	5	0.355106
5	STA137	196490	321749	111	2	0.357012
6	STA138	197149	323473	109	2	0.275673
7	STA227	167068	364101	32	1	0.297623
8	STA230	138400	392086	13	1	0.186489
9	STA235	83541	383218	19	1	0.25219
10	STA236	160885	386525	18	5	0.394839
11	STA237	158976	383797	19	5	0.385785
12	STA240	116014	400562	5	5	0.384018
13	STA241	112979	401649	3	2	0.509637
14	STA245	102188	412464	0	4	0.426191
15	STA246	94639	407470	0	1	0.195661
16	STA247	155396	379703	22	2	0.34624
17	STA301	53178	406020	0	1	0.185673
18	STA318	40759	368430	0	1	0.171528
19	STA404	79708	454780	5	2	0.402925
20	STA411	78979	445392	0	1	0.165665
21	STA418	92555	436477	4	2	0.495144
22	STA433	81981	436202	1	5	0.420258
23	STA437	90350	422303	0	1	0.188925
24	STA442	108143	423671	0	2	0.340167
25	STA444	95194	478981	5	1	0.093138
26	STA445	81534	454521	4	5	0.430899
27	STA446	84459	450468	0	2	0.396703
28	STA520	122987	489222	2	2	0.512416
29	STA537	104619	488275	2	5	0.438827
30	STA538	132268	535090	-3	1	0.165514
31	STA547	140924	471800	10	5	0.29554
32	STA548	140544	475461	9	5	0.273836
33	STA549	144641	474269	7	2	0.310499
34	STA631	170741	495571	-4	1	0.165514
35	STA633	117389	461117	-1	1	0.138538
36	STA636	136972	457345	3	5	0.396072
37	STA639	136686	453198	4	5	0.454182
38	STA641	127645	468123	0	5	0.190528
39	STA643	137225	456930	4	2	0.395499
40	STA644	123099	442892	0	1	0.219173
41	STA722	238439	456540	19	1	0.188983
42	STA738	176971	458094	19	1	0.174583
43	STA741	187395	428086	24	5	0.417734
44	STA742	187340	427735	25	2	0.42053
45	STA807	224107	489307	9	1	0.110207
46	STA818	197620	518588	0	1	0.117692
47	STA918	167499	547655	0	1	0.14781
48	STA929	258987	544168	7	1	0.193182
49	STA934	214232	594017	0	1	0.125192
50	STA937	234562	581776	1	5	0.492022
51	STA938	236514	585007	0	2	0.276696
52	N01489	99388	431412	0	5	0.327568
53	N01491	89204	439216	0	5	0.45487
54	N01493	91295	437925	3	5	0.399603
55	N01494	87163	437343	1	2	0.488985
56	N01495	75259	438704	0	2	0.377281
57	N01496	68053	443916	1	4	0.385917
58	N49002	120155	488628	3	5	0.517838
59	N49003	124791	489031	1	2	0.431798
60	N49007	118074	488188	3	5	0.468433
61	N49012	120979	489130	2	5	0.554377
62	N49014	119485	485773	5	2	0.40282
63	N49017	121765	485571	5	5	0.428197
64	N49019	122095	487128	5	2	0.511495
65	N49020	119096	487453	4	5	0.416216
66	N49021	127783	481379	0	2	0.283542
67	N49022	114528	486601	0	2	0.284545
68	N49546	117210	492523	1	4	0.605942
69	N49551	101603	497430	8	4	0.526413
70	N49553	101651	500874	9	4	0.356791
71	N49561	113180	482962	-2	2	0.408805
72	N49564	109153	482270	-3	5	0.324602
73	N49565	112909	476955	-1	4	0.403511
74	N49701	116190	495621	1	2	0.381218
75	N49703	110150	490157	0	1	0.249762
76	N49704	113233	493421	0	4	0.425594
