ID	NAME	X	Y	ALT	TYPE	BETA
1	STA107	200838	347853	31	1	0.028751
2	STA131	187285	394618	27	1	0.045691
3	STA133	189755	323636	97	0	0.029991
4	STA137	196490	321749	111	2	0.214895
5	STA138	197149	323473	109	2	0.170316
6	STA227	167068	364101	32	1	0.10367
7	STA230	138400	392086	13	1	0.038618
8	STA235	83541	383218	19	1	0.175845
9	STA236	160885	386525	18	5	0.251918
10	STA241	112979	401649	3	2	0.421819
11	STA247	155396	379703	22	0	0.205487
12	STA301	53178	406020	0	1	0.143648
13	STA318	40759	368430	0	1	0.021254
14	STA404	79708	454780	5	2	0.245895
15	STA411	78979	445392	0	0	0.000349
16	STA418	92555	436477	4	2	0.305498
17	STA433	81981	436202	1	5	0.295887
18	STA437	90350	422303	0	1	0.024503
19	STA442	108143	423671	0	2	0.216734
20	STA444	95194	478981	5	1	0.039663
21	STA446	84459	450468	0	2	0.318373
22	STA520	122987	489222	2	2	0.372084
23	STA537	104619	488275	2	5	0.320743
24	STA538	132268	535090	-3	1	0.0002
25	STA631	170741	495571	-4	1	0.0002
26	STA633	117389	461117	-1	1	0.011527
27	STA639	136686	453198	4	5	0.334209
28	STA641	127645	468123	0	5	0.00935
29	STA643	137225	456930	4	2	0.240968
30	STA644	123099	442892	0	1	0.03307
31	STA722	238439	456540	19	1	0.001026
32	STA738	176971	458094	19	1	0.001485
33	STA742	187340	427735	25	2	0.238228
34	STA807	224107	489307	9	1	0.000129
35	STA818	197620	518588	0	1	0.017596
36	STA918	167499	547655	0	1	0.0206
37	STA929	258987	544168	7	1	0.031365
38	STA934	214232	594017	0	1	0.024124
39	STA938	236514	585007	0	0	0.14857
40	N01489	99388	431412	0	5	0.230512
41	N01493	91295	437925	3	5	0.270588
42	N01494	87163	437343	1	2	0.402655
43	N01495	75259	438704	0	2	0.140914
44	N01496	68053	443916	1	4	0.138465
45	N49003	124791	489031	1	2	0.327372
46	N49012	120979	489130	2	5	0.38615
47	N49014	119485	485773	5	2	0.246292
48	N49564	109153	482270	-3	5	0.221516
49	N49701	116190	495621	1	2	0.240351
