ID	NAME	X	Y	ALT	TYPE	BETA
1	STA107	200838	347853	31	1	0.105767
2	STA131	187285	394618	27	1	0.045557
3	STA133	189755	323636	97	0	0.060738
4	STA137	196490	321749	111	2	0.218569
5	STA138	197149	323473	109	2	0.170145
6	STA227	167068	364101	32	1	0.222911
7	STA230	138400	392086	13	1	0.157375
8	STA235	83541	383218	19	1	0.227626
9	STA236	160885	386525	18	5	0.252537
10	STA241	112979	401649	3	2	0.422235
11	STA247	155396	379703	22	0	0.271358
12	STA301	53178	406020	0	1	0.136911
13	STA318	40759	368430	0	1	0.019906
14	STA404	79708	454780	5	2	0.244808
15	STA411	78979	445392	0	0	0.000149
16	STA418	92555	436477	4	2	0.402675
17	STA433	81981	436202	1	5	0.350488
18	STA437	90350	422303	0	1	0.024096
19	STA442	108143	423671	0	2	0.215541
20	STA444	95194	478981	5	1	0.039166
21	STA446	84459	450468	0	2	0.317804
22	STA520	122987	489222	2	2	0.459595
23	STA537	104619	488275	2	5	0.324449
24	STA538	132268	535090	-3	1	0
25	STA631	170741	495571	-4	1	0
26	STA633	117389	461117	-1	1	0.008686
27	STA639	136686	453198	4	5	0.34669
28	STA641	127645	468123	0	5	0.046715
29	STA643	137225	456930	4	2	0.239924
30	STA644	123099	442892	0	1	0.077576
31	STA722	238439	456540	19	1	0.109052
32	STA738	176971	458094	19	1	0.1697
33	STA742	187340	427735	25	2	0.268924
34	STA807	224107	489307	9	1	0
35	STA818	197620	518588	0	1	0.020761
36	STA918	167499	547655	0	1	0.017957
37	STA929	258987	544168	7	1	0.031035
38	STA934	214232	594017	0	1	0.033429
39	STA938	236514	585007	0	0	0.147985
40	N01489	99388	431412	0	5	0.232434
41	N01493	91295	437925	3	5	0.269693
42	N01494	87163	437343	1	2	0.414608
43	N01495	75259	438704	0	2	0.295734
44	N01496	68053	443916	1	4	0.34173
45	N49003	124791	489031	1	2	0.394021
46	N49012	120979	489130	2	5	0.498979
47	N49014	119485	485773	5	2	0.245207
48	N49564	109153	482270	-3	5	0.221384
49	N49701	116190	495621	1	2	0.250509
