ID	NAME	X	Y	ALT	TYPE	BETA
1	STA131	187285	394618	27	1	0.132465
2	STA133	189755	323636	97	1	0.14102
3	STA136	196010	322089	106	5	0.22096
4	STA137	196490	321749	111	2	0.209926
5	STA138	197149	323473	109	2	0.180418
6	STA230	138400	392086	13	1	0.113612
7	STA235	83541	383218	19	1	0.2167
8	STA236	160885	386525	18	5	0.243672
9	STA237	158976	383797	19	5	0.275758
10	STA240	116014	400562	5	5	0.30687
11	STA241	112979	401649	3	2	0.431921
12	STA245	102188	412464	0	4	0.252913
13	STA246	94639	407470	0	1	0.140958
14	STA247	155396	379703	22	2	0.244104
15	STA312	52303	367075	0	1	0.135009
16	STA318	40759	368430	0	1	0.130139
17	STA319	40873	387339	0	4	0.189898
18	STA404	79708	454780	5	2	0.24135
19	STA418	92555	436477	4	2	0.302583
20	STA432	68003	443897	1	4	0.133082
21	STA433	81981	436202	1	5	0.296375
22	STA437	90350	422303	0	1	0.137762
23	STA442	108143	423671	0	2	0.208957
24	STA444	95194	478981	5	1	0.078612
25	STA445	81534	454521	4	5	0.296606
26	STA446	84459	450468	0	2	0.280305
27	STA447	94798	464655	1	5	0.284956
28	STA520	122987	489222	2	2	0.356129
29	STA537	104619	488275	2	5	0.318455
30	STA538	132268	535090	-3	1	0.126368
31	STA544	123109	484508	4	5	0.301656
32	STA545	117752	483537	2	5	0.207941
33	STA546	117211	492522	1	4	0.463488
34	STA547	140924	471800	10	5	0.18684
35	STA548	140544	475461	9	5	0.159815
36	STA549	144641	474269	7	2	0.197569
37	STA550	104248	487107	3	5	0.2336
38	STA631	170741	495571	-4	1	0.126368
39	STA633	117389	461117	-1	1	0.11567
40	STA636	136972	457345	3	5	0.243174
41	STA639	136686	453198	4	5	0.327319
42	STA641	127645	468123	0	5	0.118202
43	STA644	123099	442892	0	1	0.139511
44	STA722	238439	456540	19	1	0.123568
45	STA728	194571	469589	17	5	0.266226
46	STA738	176971	458094	19	1	0.098932
47	STA741	187395	428086	24	5	0.24408
48	STA742	187340	427735	25	2	0.245805
49	STA807	224107	489307	9	1	0.083594
50	STA818	197620	518588	0	1	0.09969
51	STA918	167499	547655	0	1	0.11859
52	STA929	258987	544168	7	1	0.13846
53	STA934	214232	594017	0	1	0.101534
54	STA937	234562	581776	1	5	0.375974
55	N01489	99388	431412	0	5	0.262588
56	N01491	89204	439216	0	5	0.397603
57	N01493	91295	437925	3	5	0.252395
58	N01494	87163	437343	1	2	0.389577
59	N01495	75259	438704	0	2	0.153178
60	N01496	68053	443916	1	4	0.132134
61	N49007	118074	488188	3	5	0.363816
62	N49012	120979	489130	2	5	0.382783
63	N49014	119485	485773	5	2	0.241035
64	N49016	119781	489582	2	2	0.418385
65	N49017	121765	485571	5	5	0.274212
66	N49546	117210	492523	1	4	0.463523
67	N49551	101603	497430	8	4	0.339704
68	N49553	101651	500874	9	4	0.353337
69	N49556	119342	508457	-2	1	0.140317
70	N49561	113180	482962	-2	2	0.341553
71	N49564	109153	482270	-3	1	0.297583
72	N49565	112909	476955	-1	1	0.373173
73	N49570	104263	500324	5	2	0.395383
74	N49572	103448	498675	6	4	0.437763
75	N49573	100094	499208	0	4	0.247522
76	N49701	116190	495621	1	2	0.24742
77	N49703	110150	490157	0	1	0.201941
78	N49704	113233	493421	0	4	0.338277
