ID	NAME	X	Y	ALT	TYPE	BETA
1	STA131	187285	394618	27	1	0.355974
2	STA133	189755	323636	97	1	0.184357
3	STA136	196010	322089	106	5	0.357381
4	STA137	196490	321749	111	2	0.356927
5	STA138	197149	323473	109	2	0.299325
6	STA230	138400	392086	13	1	0.299823
7	STA235	83541	383218	19	1	0.301535
8	STA236	160885	386525	18	5	0.396459
9	STA237	158976	383797	19	5	0.385785
10	STA240	116014	400562	5	5	0.443211
11	STA241	112979	401649	3	2	0.51083
12	STA245	102188	412464	0	4	0.407202
13	STA246	94639	407470	0	1	0.135066
14	STA247	155396	379703	22	2	0.413614
15	STA312	52303	367075	0	1	0.430968
16	STA318	40759	368430	0	1	0.408698
17	STA319	40873	387339	0	4	0.184794
18	STA404	79708	454780	5	2	0.402925
19	STA418	92555	436477	4	2	0.495144
20	STA432	68003	443897	1	4	0.390628
21	STA433	81981	436202	1	5	0.436186
22	STA437	90350	422303	0	1	0.12757
23	STA442	108143	423671	0	2	0.333624
24	STA444	95194	478981	5	1	0.071158
25	STA445	81534	454521	4	5	0.430899
26	STA446	84459	450468	0	2	0.396268
27	STA447	94798	464655	1	5	0.412363
28	STA520	122987	489222	2	2	0.515451
29	STA537	104619	488275	2	5	0.442393
30	STA538	132268	535090	-3	1	0.09531
31	STA544	123109	484508	4	5	0.44199
32	STA545	117752	483537	2	5	0.343876
33	STA546	117211	492522	1	4	0.607187
34	STA547	140924	471800	10	5	0.295787
35	STA548	140544	475461	9	5	0.274771
36	STA549	144641	474269	7	2	0.319289
37	STA550	104248	487107	3	5	0.397364
38	STA631	170741	495571	-4	1	0.09531
39	STA633	117389	461117	-1	1	0.09531
40	STA636	136972	457345	3	5	0.393365
41	STA639	136686	453198	4	5	0.452598
42	STA641	127645	468123	0	5	0.129989
43	STA644	123099	442892	0	1	0.192217
44	STA722	238439	456540	19	1	0.262695
45	STA728	194571	469589	17	5	0.420485
46	STA738	176971	458094	19	1	0.338408
47	STA741	187395	428086	24	5	0.420572
48	STA742	187340	427735	25	2	0.419987
49	STA807	224107	489307	9	1	0.062719
50	STA818	197620	518588	0	1	0.094367
51	STA918	167499	547655	0	1	0.105523
52	STA929	258987	544168	7	1	0.134888
53	STA934	214232	594017	0	1	0.107664
54	STA937	234562	581776	1	5	0.492022
55	N01489	99388	431412	0	5	0.315341
56	N01491	89204	439216	0	5	0.462753
57	N01493	91295	437925	3	5	0.40169
58	N01494	87163	437343	1	2	0.487573
59	N01495	75259	438704	0	2	0.362701
60	N01496	68053	443916	1	4	0.38544
61	N49007	118074	488188	3	5	0.469462
62	N49012	120979	489130	2	5	0.554377
63	N49014	119485	485773	5	2	0.40282
64	N49016	119781	489582	2	2	0.578851
65	N49017	121765	485571	5	5	0.428197
66	N49546	117210	492523	1	4	0.607199
67	N49551	101603	497430	8	4	0.526413
68	N49553	101651	500874	9	4	0.366378
69	N49556	119342	508457	-2	1	0.318726
70	N49561	113180	482962	-2	2	0.38944
71	N49564	109153	482270	-3	1	0.280837
72	N49565	112909	476955	-1	1	0.383589
73	N49570	104263	500324	5	2	0.44051
74	N49572	103448	498675	6	4	0.543646
75	N49573	100094	499208	0	4	0.377407
76	N49701	116190	495621	1	2	0.373552
77	N49703	110150	490157	0	1	0.244185
78	N49704	113233	493421	0	4	0.44169
